dataset,model,winter_season,train_start,train_end,val_start,val_end,train_days,test_days,rmse_train,rmse_val,rmse_average,train_day_count,test_day_count,R1,C1,g
EOH0003_merged_30min.parquet,1C1R1P1S,2021-2022,03/12/2021 00:00,30/01/2022 23:30,14/12/2021 00:00,08/02/2022 23:30,"2021-12-03,2021-12-07,2021-12-18,2021-12-20,2022-01-16,2022-01-19,2022-01-26,2022-01-27,2022-01-28,2022-01-30","2021-12-14,2021-12-17,2021-12-24,2022-01-09,2022-02-08",0.504570743,0.509574863,0.507072803,10,5,0.007548173,40919537.22,13.4398995
EOH0014_merged_30min.parquet,1C1R1P1S,2021-2022,23/12/2021 00:00,19/02/2022 23:30,25/12/2021 00:00,28/02/2022 23:30,"2021-12-23,2021-12-24,2021-12-29,2022-01-01,2022-01-18,2022-01-21,2022-01-24,2022-02-09,2022-02-12,2022-02-19","2021-12-25,2022-01-17,2022-01-20,2022-02-07,2022-02-28",0.709357904,0.935807673,0.822582789,10,5,0.006439442,18186501.93,0.249881313
EOH0018_merged_30min.parquet,1C1R1P1S,2021-2022,04/12/2021 00:00,17/02/2022 23:30,07/12/2021 00:00,06/02/2022 23:30,"2021-12-04,2021-12-05,2021-12-10,2021-12-26,2021-12-29,2022-01-15,2022-01-23,2022-01-31,2022-02-01,2022-02-17","2021-12-07,2021-12-21,2022-01-16,2022-01-27,2022-02-06",0.702985324,0.893721278,0.798353301,10,5,0.005211947,22677365.05,2.288106416
EOH0021_merged_30min.parquet,1C1R1P1S,2021-2022,02/12/2021 00:00,22/02/2022 23:30,20/12/2021 00:00,18/02/2022 23:30,"2021-12-02,2021-12-08,2021-12-13,2022-01-06,2022-01-10,2022-01-12,2022-02-06,2022-02-09,2022-02-14,2022-02-22","2021-12-20,2021-12-26,2022-01-25,2022-02-15,2022-02-18",0.361006367,0.491844247,0.426425307,10,5,0.004268305,91300424.44,1.00E-06
EOH0025_merged_30min.parquet,1C1R1P1S,2021-2022,16/12/2021 00:00,27/02/2022 23:30,12/01/2022 00:00,15/02/2022 23:30,"2021-12-16,2021-12-26,2022-01-15,2022-01-17,2022-01-23,2022-01-24,2022-01-31,2022-02-11,2022-02-12,2022-02-27","2022-01-12,2022-01-22,2022-02-01,2022-02-07,2022-02-15",0.345745758,0.295474104,0.320609931,10,5,0.017065773,34220796.79,1.00E-06
EOH0026_merged_30min.parquet,1C1R1P1S,2021-2022,13/12/2021 00:00,24/02/2022 23:30,20/12/2021 00:00,26/02/2022 23:30,"2021-12-13,2021-12-18,2021-12-21,2021-12-24,2021-12-30,2022-01-22,2022-02-05,2022-02-18,2022-02-23,2022-02-24","2021-12-20,2021-12-22,2021-12-23,2022-01-12,2022-02-26",0.400908838,0.322205771,0.361557305,10,5,0.00507101,47646063,1.00E-06
EOH0027_merged_30min.parquet,1C1R1P1S,2021-2022,02/12/2021 00:00,27/02/2022 23:30,13/12/2021 00:00,22/02/2022 23:30,"2021-12-02,2021-12-19,2021-12-20,2021-12-25,2021-12-31,2022-01-20,2022-02-05,2022-02-13,2022-02-23,2022-02-27","2021-12-13,2022-01-03,2022-02-12,2022-02-20,2022-02-22",0.622174762,0.793277054,0.707725908,10,5,0.006010373,41120466.07,1.00E-06
EOH0031_merged_30min.parquet,1C1R1P1S,2021-2022,07/12/2021 00:00,28/02/2022 23:30,04/12/2021 00:00,06/02/2022 23:30,"2021-12-07,2021-12-11,2021-12-22,2022-01-05,2022-01-18,2022-01-23,2022-02-14,2022-02-15,2022-02-26,2022-02-28","2021-12-04,2021-12-15,2021-12-23,2022-02-01,2022-02-06",0.161769354,0.208386869,0.185078111,10,5,0.004958209,148959168.6,0.520547766
EOH0033_merged_30min.parquet,1C1R1P1S,2021-2022,02/12/2021 00:00,26/02/2022 23:30,06/12/2021 00:00,14/02/2022 23:30,"2021-12-02,2021-12-10,2021-12-14,2021-12-23,2021-12-29,2021-12-30,2022-02-06,2022-02-08,2022-02-19,2022-02-26","2021-12-06,2021-12-11,2022-01-12,2022-02-07,2022-02-14",0.806176188,0.972932695,0.889554442,10,5,0.003825954,32421906.39,11.22335069
EOH0038_merged_30min.parquet,1C1R1P1S,2021-2022,07/12/2021 00:00,22/02/2022 23:30,17/12/2021 00:00,24/02/2022 23:30,"2021-12-07,2021-12-09,2021-12-12,2021-12-22,2021-12-30,2022-01-27,2022-01-30,2022-02-02,2022-02-03,2022-02-22","2021-12-17,2021-12-28,2021-12-31,2022-02-19,2022-02-24",0.430097042,0.59526968,0.512683361,10,5,0.00593432,238594435.1,11.94459868
EOH0043_merged_30min.parquet,1C1R1P1S,2021-2022,03/12/2021 00:00,26/02/2022 23:30,05/12/2021 00:00,18/02/2022 23:30,"2021-12-03,2022-01-03,2022-01-11,2022-01-14,2022-01-15,2022-01-28,2022-01-31,2022-02-13,2022-02-16,2022-02-26","2021-12-05,2022-01-05,2022-01-16,2022-01-20,2022-02-18",0.64822939,0.755528213,0.701878801,10,5,0.004479932,32975228.13,1.00E-06
EOH0047_merged_30min.parquet,1C1R1P1S,2021-2022,07/12/2021 00:00,19/02/2022 23:30,13/12/2021 00:00,13/02/2022 23:30,"2021-12-07,2021-12-20,2021-12-23,2021-12-25,2021-12-26,2022-01-20,2022-01-21,2022-02-02,2022-02-03,2022-02-19","2021-12-13,2021-12-16,2022-01-23,2022-02-05,2022-02-13",0.35857286,0.61919506,0.48888396,10,5,0.003282921,68140307.71,7.556107679
EOH0048_merged_30min.parquet,1C1R1P1S,2021-2022,04/12/2021 00:00,27/02/2022 23:30,02/12/2021 00:00,24/01/2022 23:30,"2021-12-04,2021-12-10,2021-12-12,2021-12-17,2021-12-24,2022-01-02,2022-01-08,2022-01-25,2022-02-24,2022-02-27","2021-12-02,2021-12-11,2021-12-28,2022-01-04,2022-01-24",0.497762234,0.560683479,0.529222856,10,5,0.00584428,38649540.01,6.220221709
EOH0063_merged_30min.parquet,1C1R1P1S,2021-2022,17/12/2021 00:00,20/02/2022 23:30,07/12/2021 00:00,22/02/2022 23:30,"2021-12-17,2021-12-22,2021-12-23,2021-12-24,2022-01-06,2022-01-09,2022-01-14,2022-01-19,2022-01-23,2022-02-20","2021-12-07,2021-12-11,2022-01-28,2022-02-06,2022-02-22",0.61919718,0.693598548,0.656397864,10,5,0.009769971,33475641.67,1.00E-06
EOH0065_merged_30min.parquet,1C1R1P1S,2021-2022,11/12/2021 00:00,17/02/2022 23:30,12/01/2022 00:00,27/02/2022 23:30,"2021-12-11,2021-12-31,2022-01-14,2022-01-21,2022-01-24,2022-01-27,2022-01-31,2022-02-07,2022-02-10,2022-02-17","2022-01-12,2022-01-22,2022-01-26,2022-02-13,2022-02-27",0.749807461,0.8368368,0.79332213,10,5,0.007988376,37025688.31,1.00E-06
EOH0066_merged_30min.parquet,1C1R1P1S,2021-2022,16/12/2021 00:00,25/02/2022 23:30,03/12/2021 00:00,08/02/2022 23:30,"2021-12-16,2021-12-20,2021-12-29,2022-01-08,2022-01-19,2022-01-26,2022-02-03,2022-02-07,2022-02-23,2022-02-25","2021-12-03,2021-12-14,2022-01-13,2022-01-14,2022-02-08",0.345741421,0.392107782,0.368924601,10,5,0.005835398,54005412.04,5.301471678
EOH0067_merged_30min.parquet,1C1R1P1S,2021-2022,15/12/2021 00:00,28/02/2022 23:30,05/12/2021 00:00,20/02/2022 23:30,"2021-12-15,2021-12-28,2022-01-02,2022-01-13,2022-01-17,2022-01-25,2022-02-07,2022-02-09,2022-02-26,2022-02-28","2021-12-05,2021-12-18,2021-12-23,2022-01-10,2022-02-20",0.655779556,0.753303584,0.70454157,10,5,0.010103915,21538954.21,1.00E-06
