dataset,model,winter_season,train_start,train_end,val_start,val_end,train_days,test_days,rmse_train,rmse_val,rmse_average,train_day_count,test_day_count,R1,C1,g
EOH0003_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-03 00:00:00,2022-01-30 23:30:00,2021-12-14 00:00:00,2022-02-08 23:30:00,"2021-12-03,2021-12-07,2021-12-18,2021-12-20,2022-01-16,2022-01-19,2022-01-26,2022-01-27,2022-01-28,2022-01-30","2021-12-14,2021-12-17,2021-12-24,2022-01-09,2022-02-08",0.5045707429333658,0.5095748626637281,0.5070728027985469,10,5,0.0075481727942352,40919537.22155187,13.439899501960063
EOH0014_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-23 00:00:00,2022-02-19 23:30:00,2021-12-25 00:00:00,2022-02-28 23:30:00,"2021-12-23,2021-12-24,2021-12-29,2022-01-01,2022-01-18,2022-01-21,2022-01-24,2022-02-09,2022-02-12,2022-02-19","2021-12-25,2022-01-17,2022-01-20,2022-02-07,2022-02-28",0.7093579043939614,0.9358076731021958,0.8225827887480786,10,5,0.0064394423116764,18186501.93069228,0.249881312705493
EOH0018_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-04 00:00:00,2022-02-17 23:30:00,2021-12-07 00:00:00,2022-02-06 23:30:00,"2021-12-04,2021-12-05,2021-12-10,2021-12-26,2021-12-29,2022-01-15,2022-01-23,2022-01-31,2022-02-01,2022-02-17","2021-12-07,2021-12-21,2022-01-16,2022-01-27,2022-02-06",0.7029853241550553,0.8937212776258503,0.7983533008904529,10,5,0.0052119465925656,22677365.053361323,2.2881064157932443
EOH0021_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-02 00:00:00,2022-02-22 23:30:00,2021-12-20 00:00:00,2022-02-18 23:30:00,"2021-12-02,2021-12-08,2021-12-13,2022-01-06,2022-01-10,2022-01-12,2022-02-06,2022-02-09,2022-02-14,2022-02-22","2021-12-20,2021-12-26,2022-01-25,2022-02-15,2022-02-18",0.3610063671824254,0.4918442468700085,0.4264253070262169,10,5,0.0042683053906745,91300424.44482107,1.0000955961084074e-06
EOH0025_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-16 00:00:00,2022-02-27 23:30:00,2022-01-12 00:00:00,2022-02-15 23:30:00,"2021-12-16,2021-12-26,2022-01-15,2022-01-17,2022-01-23,2022-01-24,2022-01-31,2022-02-11,2022-02-12,2022-02-27","2022-01-12,2022-01-22,2022-02-01,2022-02-07,2022-02-15",0.3457457576566134,0.2954741040386942,0.3206099308476537,10,5,0.0170657734162636,34220796.79393737,1.0006152239505531e-06
EOH0026_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-13 00:00:00,2022-02-24 23:30:00,2021-12-20 00:00:00,2022-02-26 23:30:00,"2021-12-13,2021-12-18,2021-12-21,2021-12-24,2021-12-30,2022-01-22,2022-02-05,2022-02-18,2022-02-23,2022-02-24","2021-12-20,2021-12-22,2021-12-23,2022-01-12,2022-02-26",0.4009088379748266,0.3222057712095647,0.3615573045921956,10,5,0.005071009913081,47646063.00480843,1.0021775626582872e-06
EOH0027_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-02 00:00:00,2022-02-27 23:30:00,2021-12-13 00:00:00,2022-02-22 23:30:00,"2021-12-02,2021-12-19,2021-12-20,2021-12-25,2021-12-31,2022-01-20,2022-02-05,2022-02-13,2022-02-23,2022-02-27","2021-12-13,2022-01-03,2022-02-12,2022-02-20,2022-02-22",0.6221747621853557,0.79327705355182,0.7077259078685878,10,5,0.0060103734684145,41120466.0694096,1.000011903023971e-06
EOH0031_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-07 00:00:00,2022-02-28 23:30:00,2021-12-04 00:00:00,2022-02-06 23:30:00,"2021-12-07,2021-12-11,2021-12-22,2022-01-05,2022-01-18,2022-01-23,2022-02-14,2022-02-15,2022-02-26,2022-02-28","2021-12-04,2021-12-15,2021-12-23,2022-02-01,2022-02-06",0.1617693542433099,0.208386868615362,0.1850781114293359,10,5,0.004958209368028,148959168.64413187,0.5205477658157518
EOH0033_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-02 00:00:00,2022-02-26 23:30:00,2021-12-06 00:00:00,2022-02-14 23:30:00,"2021-12-02,2021-12-10,2021-12-14,2021-12-23,2021-12-29,2021-12-30,2022-02-06,2022-02-08,2022-02-19,2022-02-26","2021-12-06,2021-12-11,2022-01-12,2022-02-07,2022-02-14",0.8061761883765641,0.9729326952954652,0.8895544418360146,10,5,0.003825953570726,32421906.394511152,11.223350691121654
EOH0038_merged_30min.parquet,1C1R1P1S,2021-2022,2021-12-07 00:00:00,2022-02-22 23:30:00,2021-12-17 00:00:00,2022-02-24 23:30:00,"2021-12-07,2021-12-09,2021-12-12,2021-12-22,2021-12-30,2022-01-27,2022-01-30,2022-02-02,2022-02-03,2022-02-22","2021-12-17,2021-12-28,2021-12-31,2022-02-19,2022-02-24",0.4300970420093841,0.5952696796803797,0.512683360844882,10,5,0.0059343200145918,238594435.08726072,11.944598680748246
