time,Q_hp,Q_bo,Tin,T_set,T_low,T_high,total_heat_W,total_heat_kW,hp_capacity_kW
2022-02-09 00:00:00,6204.926345959615,0.0,18.13,18.0,15.0,,6204.926345959615,6.204926345959615,11.0
2022-02-09 00:30:00,11000.0,0.0,18.178700077739915,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 01:00:00,11000.0,0.0,18.363894588851416,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 01:30:00,11000.0,0.0,18.54760475542626,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 02:00:00,11000.0,0.0,18.729989873600886,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 02:30:00,11000.0,0.0,18.909308787083255,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 03:00:00,11000.0,0.0,19.08363731584198,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 03:30:00,11000.0,0.0,19.251147985916223,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 04:00:00,11000.0,0.0,19.40979374836274,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 04:30:00,11000.0,0.0,19.56266872254881,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 05:00:00,11000.0,0.0,19.713259958908235,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 05:30:00,11000.0,0.0,19.85973202884578,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 06:00:00,11000.0,0.0,20.0,21.0,20.0,22.0,11000.0,11.0,11.0
2022-02-09 06:30:00,11000.0,0.0,20.136039874957348,21.0,20.0,22.0,11000.0,11.0,11.0
2022-02-09 07:00:00,11000.0,0.0,20.270098091392985,21.0,20.0,22.0,11000.0,11.0,11.0
2022-02-09 07:30:00,0.0,0.0,20.40051593021187,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 08:00:00,0.0,0.0,20.21224684105007,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 08:30:00,0.0,0.0,20.023703111455905,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 09:00:00,0.0,0.0,19.867838596259652,18.0,15.0,,0.0,0.0,11.0
2022-02-09 09:30:00,0.0,0.0,19.716602883037087,18.0,15.0,,0.0,0.0,11.0
2022-02-09 10:00:00,0.0,0.0,19.651314335134806,18.0,15.0,,0.0,0.0,11.0
2022-02-09 10:30:00,0.0,0.0,19.589154693792693,18.0,15.0,,0.0,0.0,11.0
2022-02-09 11:00:00,0.0,0.0,19.592158317365943,18.0,15.0,,0.0,0.0,11.0
2022-02-09 11:30:00,0.0,0.0,19.59639640389206,18.0,15.0,,0.0,0.0,11.0
2022-02-09 12:00:00,0.0,0.0,19.643401424771408,18.0,15.0,,0.0,0.0,11.0
2022-02-09 12:30:00,0.0,0.0,19.690537719316776,18.0,15.0,,0.0,0.0,11.0
2022-02-09 13:00:00,11000.0,0.0,19.739449290687176,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 13:30:00,11000.0,0.0,20.09715345835034,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 14:00:00,11000.0,0.0,20.429290969583008,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 14:30:00,11000.0,0.0,20.757832238079605,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 15:00:00,11000.0,0.0,21.033089678636923,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 15:30:00,11000.0,0.0,21.30675700212046,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 16:00:00,0.0,0.0,21.529660848487318,18.0,15.0,,0.0,0.0,11.0
2022-02-09 16:30:00,0.0,0.0,21.43397319225693,18.0,15.0,,0.0,0.0,11.0
2022-02-09 17:00:00,0.0,0.0,21.256138310084353,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 17:30:00,0.0,0.0,21.076305350382928,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 18:00:00,0.0,0.0,20.87287520816305,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 18:30:00,0.0,0.0,20.6698438985558,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 19:00:00,0.0,0.0,20.46759717021835,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 19:30:00,0.0,0.0,20.26488793518497,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 20:00:00,5006.671008285386,0.0,20.06034806132439,21.0,20.0,22.0,5006.671008285386,5.0066710082853865,11.0
2022-02-09 20:30:00,6987.611854655875,0.0,20.0,21.0,20.0,22.0,6987.611854655875,6.987611854655874,11.0
2022-02-09 21:00:00,7013.704702181888,0.0,20.0,21.0,20.0,22.0,7013.704702181888,7.013704702181888,11.0
2022-02-09 21:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-09 22:00:00,11000.0,0.0,19.79494480077137,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 22:30:00,11000.0,0.0,19.904542902337237,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 23:00:00,11000.0,0.0,20.017184883742544,18.0,15.0,,11000.0,11.0,11.0
2022-02-09 23:30:00,11000.0,0.0,20.127185530154193,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 00:00:00,0.0,0.0,20.228135643368113,18.0,15.0,,0.0,0.0,11.0
2022-02-10 00:30:00,0.0,0.0,20.012212282448296,18.0,15.0,,0.0,0.0,11.0
2022-02-10 01:00:00,0.0,0.0,19.802284219849405,18.0,15.0,,0.0,0.0,11.0
2022-02-10 01:30:00,0.0,0.0,19.598013802306554,18.0,15.0,,0.0,0.0,11.0
2022-02-10 02:00:00,558.916274469894,0.0,19.39908218663884,18.0,15.0,,558.916274469894,0.558916274469894,11.0
2022-02-10 02:30:00,11000.0,0.0,19.21701341034688,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 03:00:00,11000.0,0.0,19.32804411475008,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 03:30:00,11000.0,0.0,19.436241493803593,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 04:00:00,11000.0,0.0,19.547003218038427,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 04:30:00,11000.0,0.0,19.660255393454307,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 05:00:00,11000.0,0.0,19.77594747161242,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 05:30:00,11000.0,0.0,19.89053233786803,18.0,15.0,,11000.0,11.0,11.0
2022-02-10 06:00:00,11000.0,0.0,20.0,21.0,20.0,22.0,11000.0,11.0,11.0
2022-02-10 06:30:00,11000.0,0.0,20.107612518249763,21.0,20.0,22.0,11000.0,11.0,11.0
2022-02-10 07:00:00,11000.0,0.0,20.217053011764268,21.0,20.0,22.0,11000.0,11.0,11.0
2022-02-10 07:30:00,0.0,0.0,20.327167711372397,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-10 08:00:00,2684.948066708711,0.0,20.123590273542767,21.0,20.0,22.0,2684.948066708711,2.684948066708711,11.0
2022-02-10 08:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0,11.0
2022-02-10 09:00:00,0.0,0.0,19.828513630681464,18.0,15.0,,0.0,0.0,11.0
2022-02-10 09:30:00,0.0,0.0,19.66286004430237,18.0,15.0,,0.0,0.0,11.0
2022-02-10 10:00:00,0.0,0.0,19.5560512606118,18.0,15.0,,0.0,0.0,11.0
2022-02-10 10:30:00,0.0,0.0,19.45547287979459,18.0,15.0,,0.0,0.0,11.0
2022-02-10 11:00:00,0.0,0.0,19.43519977885482,18.0,15.0,,0.0,0.0,11.0
2022-02-10 11:30:00,0.0,0.0,19.419680152598957,18.0,15.0,,0.0,0.0,11.0
2022-02-10 12:00:00,0.0,0.0,19.46351959504719,18.0,15.0,,0.0,0.0,11.0
