time,Q_hp,Q_bo,Tin,T_set,T_low,T_high,total_heat_W,total_heat_kW
2022-02-09 00:00:00,4000.0,0.0,18.13,18.0,15.0,,4000.0,4.0
2022-02-09 00:30:00,4000.0,0.0,18.12026991798963,18.0,15.0,,4000.0,4.0
2022-02-09 01:00:00,4000.0,0.0,18.111105967382603,18.0,15.0,,4000.0,4.0
2022-02-09 01:30:00,4000.0,0.0,18.102584579080165,18.0,15.0,,4000.0,4.0
2022-02-09 02:00:00,4000.0,0.0,18.094829378234046,18.0,15.0,,4000.0,4.0
2022-02-09 02:30:00,4000.0,0.0,18.086228582117972,18.0,15.0,,4000.0,4.0
2022-02-09 03:00:00,4000.0,0.0,18.07500191347286,18.0,15.0,,4000.0,4.0
2022-02-09 03:30:00,4000.0,0.0,18.05945594181782,18.0,15.0,,4000.0,4.0
2022-02-09 04:00:00,4000.0,6257.361710069434,18.037695310117016,18.0,15.0,,10257.361710069434,10.257361710069434
2022-02-09 04:30:00,4000.0,24000.0,18.180147591277866,18.0,15.0,,28000.0,28.0
2022-02-09 05:00:00,4000.0,24000.0,18.79592971574413,18.0,15.0,,28000.0,28.0
2022-02-09 05:30:00,4000.0,24000.0,19.4031667734447,18.0,15.0,,28000.0,28.0
2022-02-09 06:00:00,4000.0,2040.3851065436356,20.0,21.0,20.0,22.0,6040.385106543636,6.040385106543636
2022-02-09 06:30:00,4000.0,2055.7368138628667,20.0,21.0,20.0,22.0,6055.736813862866,6.055736813862866
2022-02-09 07:00:00,4000.0,2128.401561840657,20.0,21.0,20.0,22.0,6128.401561840657,6.128401561840658
2022-02-09 07:30:00,4000.0,2266.32858060203,20.0,21.0,20.0,22.0,6266.32858060203,6.26632858060203
2022-02-09 08:00:00,4000.0,2347.9484911827494,20.0,21.0,20.0,22.0,6347.948491182749,6.347948491182749
2022-02-09 08:30:00,4000.0,0.0,20.0,21.0,20.0,22.0,4000.0,4.0
2022-02-09 09:00:00,4000.0,0.0,19.94139833370534,18.0,15.0,,4000.0,4.0
2022-02-09 09:30:00,4000.0,0.0,19.886024372426554,18.0,15.0,,4000.0,4.0
2022-02-09 10:00:00,4000.0,0.0,19.84934215073905,18.0,15.0,,4000.0,4.0
2022-02-09 10:30:00,4000.0,0.0,19.815223595602255,18.0,15.0,,4000.0,4.0
2022-02-09 11:00:00,4000.0,0.0,19.789360456132822,18.0,15.0,,4000.0,4.0
2022-02-09 11:30:00,4000.0,0.0,19.7649216030623,18.0,15.0,,4000.0,4.0
2022-02-09 12:00:00,4000.0,0.0,19.751621289313338,18.0,15.0,,4000.0,4.0
2022-02-09 12:30:00,4000.0,0.0,19.739060900019886,18.0,15.0,,4000.0,4.0
2022-02-09 13:00:00,4000.0,0.0,19.723052100079524,18.0,15.0,,4000.0,4.0
2022-02-09 13:30:00,4000.0,0.0,19.703677931386068,18.0,15.0,,4000.0,4.0
2022-02-09 14:00:00,4000.0,0.0,19.679281456519412,18.0,15.0,,4000.0,4.0
2022-02-09 14:30:00,4000.0,0.0,19.6552660442548,18.0,15.0,,4000.0,4.0
2022-02-09 15:00:00,4000.0,0.0,19.626384992784782,18.0,15.0,,4000.0,4.0
2022-02-09 15:30:00,4000.0,0.0,19.599178593670963,18.0,15.0,,4000.0,4.0
2022-02-09 16:00:00,0.0,3623.3672968335045,19.5645668796208,18.0,15.0,,3623.3672968335045,3.6233672968335044
2022-02-09 16:30:00,0.0,24000.0,19.51759619410088,18.0,15.0,,24000.0,24.0
2022-02-09 17:00:00,0.0,6314.0218591149305,20.0,21.0,20.0,22.0,6314.0218591149305,6.314021859114931
2022-02-09 17:30:00,0.0,6522.684578156425,20.0,21.0,20.0,22.0,6522.684578156425,6.522684578156425
2022-02-09 18:00:00,0.0,6587.1617488972215,20.0,21.0,20.0,22.0,6587.1617488972215,6.587161748897222
2022-02-09 18:30:00,0.0,6638.334106628035,20.0,21.0,20.0,22.0,6638.334106628035,6.638334106628036
2022-02-09 19:00:00,0.0,6731.7236594867345,20.0,21.0,20.0,22.0,6731.7236594867345,6.731723659486734
2022-02-09 19:30:00,4000.0,2871.93591966913,20.0,21.0,20.0,22.0,6871.935919669129,6.871935919669129
2022-02-09 20:00:00,4000.0,2894.707618859287,20.0,21.0,20.0,22.0,6894.707618859287,6.894707618859288
2022-02-09 20:30:00,4000.0,2783.407740794863,20.0,21.0,20.0,22.0,6783.407740794863,6.783407740794862
2022-02-09 21:00:00,4000.0,2808.7380578715142,20.0,21.0,20.0,22.0,6808.738057871515,6.808738057871515
2022-02-09 21:30:00,4000.0,0.0,20.0,21.0,20.0,22.0,4000.0,4.0
2022-02-09 22:00:00,4000.0,0.0,19.91986944600804,18.0,15.0,,4000.0,4.0
2022-02-09 22:30:00,4000.0,0.0,19.839774505778504,18.0,15.0,,4000.0,4.0
2022-02-09 23:00:00,4000.0,0.0,19.764410005761487,18.0,15.0,,4000.0,4.0
2022-02-09 23:30:00,4000.0,0.0,19.688566025478202,18.0,15.0,,4000.0,4.0
