time,Q_hp,Q_bo,Tin,T_set,T_low,T_high,total_heat_W,total_heat_kW
2022-02-09 00:00:00,2715.3639087737806,0.0,18.13,18.0,15.0,,2715.3639087737806,2.7153639087737806
2022-02-09 00:30:00,4000.0,0.0,18.20978314295564,18.0,15.0,,4000.0,4.0
2022-02-09 01:00:00,4000.0,0.0,18.394252712868035,18.0,15.0,,4000.0,4.0
2022-02-09 01:30:00,4000.0,0.0,18.577079634527163,18.0,15.0,,4000.0,4.0
2022-02-09 02:00:00,4000.0,0.0,18.758443150313106,18.0,15.0,,4000.0,4.0
2022-02-09 02:30:00,4000.0,0.0,18.936407492713922,18.0,15.0,,4000.0,4.0
2022-02-09 03:00:00,4000.0,0.0,19.108835669261666,18.0,15.0,,4000.0,4.0
2022-02-09 03:30:00,4000.0,0.0,19.273700964523005,18.0,15.0,,4000.0,4.0
2022-02-09 04:00:00,4000.0,0.0,19.428734823104904,18.0,15.0,,4000.0,4.0
2022-02-09 04:30:00,4000.0,0.0,19.57739238478775,18.0,15.0,,4000.0,4.0
2022-02-09 05:00:00,4000.0,0.0,19.723561507689613,18.0,15.0,,4000.0,4.0
2022-02-09 05:30:00,4000.0,0.0,19.865202352262195,18.0,15.0,,4000.0,4.0
2022-02-09 06:00:00,4000.0,0.0,20.0,21.0,20.0,22.0,4000.0,4.0
2022-02-09 06:30:00,4000.0,0.0,20.130161286153886,21.0,20.0,22.0,4000.0,4.0
2022-02-09 07:00:00,4000.0,0.0,20.258191085643478,21.0,20.0,22.0,4000.0,4.0
2022-02-09 07:30:00,0.0,0.0,20.382245508003294,21.0,20.0,22.0,0.0,0.0
2022-02-09 08:00:00,444.9005469555747,0.0,20.172941368996437,21.0,20.0,22.0,444.9005469555747,0.44490054695557474
2022-02-09 08:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0
2022-02-09 09:00:00,0.0,0.0,19.801909949715583,18.0,15.0,,0.0,0.0
2022-02-09 09:30:00,0.0,0.0,19.60949960435879,18.0,15.0,,0.0,0.0
2022-02-09 10:00:00,2555.079941452154,0.0,19.45117979223903,18.0,15.0,,2555.079941452154,2.5550799414521537
2022-02-09 10:30:00,4000.0,0.0,19.506581658314637,18.0,15.0,,4000.0,4.0
2022-02-09 11:00:00,4000.0,0.0,19.697473507340938,18.0,15.0,,4000.0,4.0
2022-02-09 11:30:00,4000.0,0.0,19.88738548640515,18.0,15.0,,4000.0,4.0
2022-02-09 12:00:00,4000.0,0.0,20.09278866444114,18.0,15.0,,4000.0,4.0
2022-02-09 12:30:00,4000.0,0.0,20.29635378092848,18.0,15.0,,4000.0,4.0
2022-02-09 13:00:00,4000.0,0.0,20.49393801569127,18.0,15.0,,4000.0,4.0
2022-02-09 13:30:00,4000.0,0.0,20.68474656951665,18.0,15.0,,4000.0,4.0
2022-02-09 14:00:00,4000.0,0.0,20.864444554602333,18.0,15.0,,4000.0,4.0
2022-02-09 14:30:00,4000.0,0.0,21.042050259852946,18.0,15.0,,4000.0,4.0
