time,Q_hp,Q_bo,Tin,T_set,T_low,T_high,total_heat_W,total_heat_kW
2022-02-09 00:00:00,4000.0,0.0,18.13,18.0,15.0,,4000.0,4.0
2022-02-09 00:30:00,4000.0,0.0,18.15780719860011,18.0,15.0,,4000.0,4.0
2022-02-09 01:00:00,4000.0,0.0,18.18572770292608,18.0,15.0,,4000.0,4.0
2022-02-09 01:30:00,4000.0,0.0,18.213812500125556,18.0,15.0,,4000.0,4.0
2022-02-09 02:00:00,4000.0,0.0,18.242142417520665,18.0,15.0,,4000.0,4.0
2022-02-09 02:30:00,4000.0,0.0,18.269707336963545,18.0,15.0,,4000.0,4.0
2022-02-09 03:00:00,4000.0,0.0,18.295387301432875,18.0,15.0,,4000.0,4.0
2022-02-09 03:30:00,4000.0,0.0,18.318112694102826,18.0,15.0,,4000.0,4.0
2022-02-09 04:00:00,4000.0,0.0,18.336682894070382,18.0,15.0,,4000.0,4.0
2022-02-09 04:30:00,4000.0,15756.786935327396,18.352844443323825,18.0,15.0,,19756.786935327396,19.756786935327398
2022-02-09 05:00:00,4000.0,24000.0,18.76763918365034,18.0,15.0,,28000.0,28.0
2022-02-09 05:30:00,4000.0,24000.0,19.387130159925157,18.0,15.0,,28000.0,28.0
2022-02-09 06:00:00,4000.0,17.557570507478545,20.0,21.0,20.0,22.0,4017.5575705074784,4.017557570507479
2022-02-09 06:30:00,4000.0,27.768238680594422,20.0,21.0,20.0,22.0,4027.7682386805945,4.027768238680594
2022-02-09 07:00:00,4000.0,76.09873469994412,20.0,21.0,20.0,22.0,4076.098734699944,4.076098734699944
2022-02-09 07:30:00,4000.0,167.40705801499635,20.0,21.0,20.0,22.0,4167.407058014996,4.167407058014996
2022-02-09 08:00:00,4000.0,221.69377713530693,20.0,21.0,20.0,22.0,4221.693777135307,4.2216937771353065
2022-02-09 08:30:00,4000.0,0.0,20.0,21.0,20.0,22.0,4000.0,4.0
2022-02-09 09:00:00,4000.0,0.0,20.00518514060618,18.0,15.0,,4000.0,4.0
2022-02-09 09:30:00,4000.0,0.0,20.01198747878506,18.0,15.0,,4000.0,4.0
2022-02-09 10:00:00,4000.0,0.0,20.05031419137365,18.0,15.0,,4000.0,4.0
2022-02-09 10:30:00,4000.0,0.0,20.0897680044521,18.0,15.0,,4000.0,4.0
2022-02-09 11:00:00,4000.0,0.0,20.151418263048242,18.0,15.0,,4000.0,4.0
2022-02-09 11:30:00,4000.0,0.0,20.21339834058251,18.0,15.0,,4000.0,4.0
2022-02-09 12:00:00,4000.0,0.0,20.29150072057425,18.0,15.0,,4000.0,4.0
2022-02-09 12:30:00,4000.0,0.0,20.369477449494635,18.0,15.0,,4000.0,4.0
2022-02-09 13:00:00,4000.0,0.0,20.446649690940944,18.0,15.0,,4000.0,4.0
2022-02-09 13:30:00,4000.0,0.0,20.521103381485784,18.0,15.0,,4000.0,4.0
2022-02-09 14:00:00,4000.0,0.0,20.58683616185995,18.0,15.0,,4000.0,4.0
2022-02-09 14:30:00,4000.0,0.0,20.65222587203503,18.0,15.0,,4000.0,4.0
2022-02-09 15:00:00,4000.0,0.0,20.700199712052616,18.0,15.0,,4000.0,4.0
2022-02-09 15:30:00,4000.0,0.0,20.748729707585838,18.0,15.0,,4000.0,4.0
2022-02-09 16:00:00,0.0,0.0,20.779813450021006,18.0,15.0,,0.0,0.0
2022-02-09 16:30:00,0.0,0.0,20.707740366371805,18.0,15.0,,0.0,0.0
2022-02-09 17:00:00,0.0,0.0,20.605211279357658,21.0,20.0,22.0,0.0,0.0
2022-02-09 17:30:00,0.0,0.0,20.501047823495757,21.0,20.0,22.0,0.0,0.0
2022-02-09 18:00:00,0.0,0.0,20.387934453259753,21.0,20.0,22.0,0.0,0.0
2022-02-09 18:30:00,0.0,0.0,20.274466243264726,21.0,20.0,22.0,0.0,0.0
2022-02-09 19:00:00,0.0,0.0,20.160869606080627,21.0,20.0,22.0,0.0,0.0
2022-02-09 19:30:00,4000.0,0.0,20.046434226598148,21.0,20.0,22.0,4000.0,4.0
2022-02-09 20:00:00,4000.0,0.0,20.031681954072987,21.0,20.0,22.0,4000.0,4.0
2022-02-09 20:30:00,4000.0,0.0,20.0166414668598,21.0,20.0,22.0,4000.0,4.0
2022-02-09 21:00:00,4000.0,388.43276896169306,20.003573053600526,21.0,20.0,22.0,4388.432768961693,4.388432768961693
2022-02-09 21:30:00,4000.0,0.0,20.0,21.0,20.0,22.0,4000.0,4.0
2022-02-09 22:00:00,4000.0,0.0,19.98353947583389,18.0,15.0,,4000.0,4.0
2022-02-09 22:30:00,4000.0,0.0,19.966689721482055,18.0,15.0,,4000.0,4.0
2022-02-09 23:00:00,4000.0,0.0,19.952405584144948,18.0,15.0,,4000.0,4.0
2022-02-09 23:30:00,4000.0,0.0,19.93742506827422,18.0,15.0,,4000.0,4.0
2022-02-10 00:00:00,4000.0,0.0,19.918054719922285,18.0,15.0,,4000.0,4.0
2022-02-10 00:30:00,4000.0,0.0,19.897357139484274,18.0,15.0,,4000.0,4.0
2022-02-10 01:00:00,4000.0,0.0,19.878840604751947,18.0,15.0,,4000.0,4.0
2022-02-10 01:30:00,4000.0,0.0,19.862335856363067,18.0,15.0,,4000.0,4.0
2022-02-10 02:00:00,4000.0,0.0,19.847683349154142,18.0,15.0,,4000.0,4.0
2022-02-10 02:30:00,4000.0,0.0,19.832384254599745,18.0,15.0,,4000.0,4.0
2022-02-10 03:00:00,4000.0,0.0,19.813598171317178,18.0,15.0,,4000.0,4.0
2022-02-10 03:30:00,4000.0,0.0,19.794024135175714,18.0,15.0,,4000.0,4.0
2022-02-10 04:00:00,4000.0,0.0,19.776748870262185,18.0,15.0,,4000.0,4.0
2022-02-10 04:30:00,4000.0,0.0,19.761731655284834,18.0,15.0,,4000.0,4.0
2022-02-10 05:00:00,4000.0,0.0,19.748944962129436,18.0,15.0,,4000.0,4.0
