time,Q_hp,Q_bo,Tin,T_set,T_low,T_high,total_heat_W,total_heat_kW,hp_capacity_kW
2022-02-09 00:00:00,0.0,0.0,21.0,18.0,15.0,,0.0,0.0,4.0
2022-02-09 00:30:00,0.0,0.0,20.83445686095497,18.0,15.0,,0.0,0.0,4.0
2022-02-09 01:00:00,0.0,0.0,20.670728252708415,18.0,15.0,,0.0,0.0,4.0
2022-02-09 01:30:00,0.0,0.0,20.50886739942632,18.0,15.0,,0.0,0.0,4.0
2022-02-09 02:00:00,0.0,0.0,20.348967222607488,18.0,15.0,,0.0,0.0,4.0
2022-02-09 02:30:00,0.0,0.0,20.18966851650858,18.0,15.0,,0.0,0.0,4.0
2022-02-09 03:00:00,0.0,0.0,20.029468886184787,18.0,15.0,,0.0,0.0,4.0
2022-02-09 03:30:00,0.0,0.0,19.86693622909387,18.0,15.0,,0.0,0.0,4.0
2022-02-09 04:00:00,1028.6681255949077,0.0,19.700467198382686,18.0,15.0,,1028.6681255949077,1.0286681255949077,4.0
2022-02-09 04:30:00,4000.0,0.0,19.609872211252622,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 05:00:00,4000.0,0.0,19.743451541128874,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 05:30:00,4000.0,0.0,19.87402857887537,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 06:00:00,2368.970205136506,0.0,20.0,21.0,20.0,22.0,2368.970205136506,2.368970205136506,4.0
2022-02-09 06:30:00,2373.5393903078193,0.0,20.0,21.0,20.0,22.0,2373.5393903078193,2.3735393903078195,4.0
2022-02-09 07:00:00,2395.166866785198,0.0,20.0,21.0,20.0,22.0,2395.166866785198,2.395166866785198,4.0
2022-02-09 07:30:00,2436.269195379119,0.0,20.0,21.0,20.0,22.0,2436.269195379119,2.436269195379119,4.0
2022-02-09 08:00:00,2460.5620298731205,0.0,20.0,21.0,20.0,22.0,2460.5620298731205,2.4605620298731203,4.0
2022-02-09 08:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0,4.0
2022-02-09 09:00:00,0.0,0.0,19.815407363129083,18.0,15.0,,0.0,0.0,4.0
2022-02-09 09:30:00,0.0,0.0,19.63460016146097,18.0,15.0,,0.0,0.0,4.0
2022-02-09 10:00:00,0.0,0.0,19.46344105610372,18.0,15.0,,0.0,0.0,4.0
2022-02-09 10:30:00,0.0,0.0,19.295584660037505,18.0,15.0,,0.0,0.0,4.0
2022-02-09 11:00:00,0.0,0.0,19.12965753592167,18.0,15.0,,0.0,0.0,4.0
2022-02-09 11:30:00,0.0,0.0,18.966127630461557,18.0,15.0,,0.0,0.0,4.0
2022-02-09 12:00:00,2005.171984010188,0.0,18.80972284428681,18.0,15.0,,2005.171984010188,2.005171984010188,4.0
2022-02-09 12:30:00,4000.0,0.0,18.806214632637428,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 13:00:00,4000.0,0.0,18.949325675444648,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 13:30:00,4000.0,0.0,19.088251005676653,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 14:00:00,4000.0,0.0,19.223349131034755,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 14:30:00,4000.0,0.0,19.35739376924945,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 15:00:00,4000.0,0.0,19.490838266755574,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 15:30:00,4000.0,0.0,19.624287544199316,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 16:00:00,4000.0,0.0,19.754470449159896,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 16:30:00,4000.0,0.0,19.88133609885816,18.0,15.0,,4000.0,4.0,4.0
2022-02-09 17:00:00,2478.8521448924066,0.0,20.0,21.0,20.0,22.0,2478.8521448924066,2.478852144892407,4.0
2022-02-09 17:30:00,2512.5187726009112,0.0,20.0,21.0,20.0,22.0,2512.5187726009112,2.5125187726009113,4.0
2022-02-09 18:00:00,2531.709350320294,0.0,20.0,21.0,20.0,22.0,2531.709350320294,2.5317093503202943,4.0
2022-02-09 18:30:00,2546.9399675579098,0.0,20.0,21.0,20.0,22.0,2546.9399675579098,2.54693996755791,4.0
2022-02-09 19:00:00,2574.735844016519,0.0,20.0,21.0,20.0,22.0,2574.735844016519,2.574735844016519,4.0
2022-02-09 19:30:00,2616.4677352475524,0.0,20.0,21.0,20.0,22.0,2616.4677352475524,2.6164677352475523,4.0
2022-02-09 20:00:00,2623.2453599182813,0.0,20.0,21.0,20.0,22.0,2623.2453599182813,2.6232453599182812,4.0
2022-02-09 20:30:00,2590.118767426521,0.0,20.0,21.0,20.0,22.0,2590.118767426521,2.590118767426521,4.0
2022-02-09 21:00:00,2597.657922959089,0.0,20.0,21.0,20.0,22.0,2597.657922959089,2.597657922959089,4.0
2022-02-09 21:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0,4.0
2022-02-09 22:00:00,0.0,0.0,19.800233062786603,18.0,15.0,,0.0,0.0,4.0
2022-02-09 22:30:00,0.0,0.0,19.60152536764838,18.0,15.0,,0.0,0.0,4.0
2022-02-09 23:00:00,0.0,0.0,19.407797284148668,18.0,15.0,,0.0,0.0,4.0
2022-02-09 23:30:00,0.0,0.0,19.214686399974976,18.0,15.0,,0.0,0.0,4.0
2022-02-10 00:00:00,188.5693506279828,0.0,19.017265510436356,18.0,15.0,,188.5693506279828,0.1885693506279828,4.0
2022-02-10 00:30:00,4000.0,0.0,18.83381476403856,18.0,15.0,,4000.0,4.0,4.0
2022-02-10 01:00:00,4000.0,0.0,18.94177549962599,18.0,15.0,,4000.0,4.0,4.0
2022-02-10 01:30:00,4000.0,0.0,19.051325576104908,18.0,15.0,,4000.0,4.0,4.0
2022-02-10 02:00:00,4000.0,0.0,19.162256277575125,18.0,15.0,,4000.0,4.0,4.0
2022-02-10 02:30:00,4000.0,0.0,19.271245779214357,18.0,15.0,,4000.0,4.0,4.0
2022-02-10 03:00:00,4000.0,0.0,19.374524712275658,18.0,15.0,,4000.0,4.0,4.0
2022-02-10 03:30:00,4000.0,0.0,19.47570456430214,18.0,15.0,,4000.0,4.0,4.0
2022-02-10 04:00:00,4000.0,0.0,19.578904975501466,18.0,15.0,,4000.0,4.0,4.0
