Dwelling ID,Device(HHP/mHP+capacity),Tariff Type,Weather(mild/extreme),Peak Electricity Consumption (Feb 11) 1600-1900,Total Electricity Consumption (Feb10-12),Total gas Consumption (Feb10-12),R(K/W),C(J/K),g(m^2)
EOH0003,HHP 4 kW,Time-of-use,mild,0.0,31.064,0.0,0.0075481727942352,40919537.22155187,13.439899501960063
EOH0014,HHP 4 kW,Time-of-use,mild,0.0,49.187,4.439,0.0064394423116764,18186501.93069228,0.249881312705493
EOH0018,HHP 4 kW,Time-of-use,mild,0.0,57.359,10.818,0.0052119465925656,22677365.053361323,2.2881064157932443
EOH0021,HHP 4 kW,Time-of-use,mild,0.0,65.622,38.559,0.0042683053906745,91300424.44482107,1.0000955961084074e-06
EOH0025,HHP 4 kW,Time-of-use,mild,0.0,18.655,0.0,0.0170657734162636,34220796.79393737,1.0006152239505531e-06
EOH0026,HHP 4 kW,Time-of-use,mild,0.0,61.798,10.145,0.005071009913081,47646063.00480843,1.0021775626582872e-06
EOH0027,HHP 4 kW,Time-of-use,mild,0.0,54.347,0.0,0.0060103734684145,41120466.0694096,1.000011903023971e-06
EOH0031,HHP 4 kW,Time-of-use,mild,0.0,62.439,7.45,0.004958209368028,148959168.64413187,0.5205477658157518
EOH0033,HHP 4 kW,Time-of-use,mild,0.0,63.163,36.046,0.003825953570726,32421906.394511152,11.223350691121654
EOH0038,HHP 4 kW,Time-of-use,mild,0.0,41.924,0.0,0.0059343200145918,238594435.08726072,11.944598680748246
EOH0043,HHP 4 kW,Time-of-use,mild,0.0,64.779,28.835,0.0044799323553269,32975228.13416697,1.000742514932405e-06
EOH0047,HHP 4 kW,Time-of-use,mild,0.0,70.171,79.401,0.0032829212592816,68140307.7053986,7.556107679045704
EOH0048,HHP 4 kW,Time-of-use,mild,0.0,48.988,0.0,0.0058442802526198,38649540.01070935,6.220221708964809
EOH0063,HHP 4 kW,Time-of-use,mild,0.0,33.747,0.0,0.0097699708942495,33475641.67061139,1.0041739498291418e-06
EOH0065,HHP 4 kW,Time-of-use,mild,0.0,40.777,0.0,0.0079883755677829,37025688.30917975,1.001100273409355e-06
EOH0066,HHP 4 kW,Time-of-use,mild,0.0,50.044,0.0,0.0058353980123242,54005412.040207945,5.301471678317495
EOH0067,HHP 4 kW,Time-of-use,mild,0.0,32.465,0.0,0.0101039145446718,21538954.213134307,1.0000555502838396e-06
EOH0069,HHP 4 kW,Time-of-use,mild,0.0,62.46,7.04,0.004919876763262,100691010.893368,1.1989577171652064
EOH0073,HHP 4 kW,Time-of-use,mild,0.0,64.333,19.417,0.0043124210396602,42654702.60589152,5.4860240113550285
EOH0075,HHP 4 kW,Time-of-use,mild,0.0,32.854,0.0,0.0100040915750112,24035870.17020053,1.0001001299660414e-06
EOH0079,HHP 4 kW,Time-of-use,mild,0.0,59.184,1.776,0.0054680875306251,47013294.59744448,0.1581316965202175
EOH0082,HHP 4 kW,Time-of-use,mild,0.0,49.035,84.831,0.0038392970637075,15071675.466388129,8.215712287993622
EOH0094,HHP 4 kW,Time-of-use,mild,0.0,68.235,56.431,0.0037253953221537,47484135.71848264,3.5797227372287246
EOH0102,HHP 4 kW,Time-of-use,mild,0.0,59.942,2.465,0.0054044947441644,43664636.34911576,1.0007008018594884e-06
EOH0105,HHP 4 kW,Time-of-use,mild,0.0,61.306,4.975,0.0050896626655237,52562942.79052511,1.5241652178734464
EOH0107,HHP 4 kW,Time-of-use,mild,0.0,50.508,0.0,0.0064538597744434,44071428.9084319,1.000259393546631e-06
EOH0121,HHP 4 kW,Time-of-use,mild,0.0,40.16,0.0,0.0064238801270344,38605643.711444914,9.729621935203458
