Dwelling ID,Technology,Capacity kW,Flat,Time-of-use,HP Heat Proportion (Flat),HP Heat Proportion (Time-of-use),R(K/W),C(J/K),g(m^2),HTC (1/R),Thermal Constant (R*C),Peak Demand Reduction (Flat -> Time-of-use) [kWh]
EOH0003,HHP,4.0,1.994,0.0,1.0,1.0,0.0075481727942352,40919537.22155187,13.439899501960063,132.48239372099889,308867.73760841246,1.994
EOH0014,HHP,4.0,2.91,0.0,0.9904127525608792,0.9258654966279017,0.0064394423116764,18186501.93069228,0.249881312705493,155.29295109713732,117110.93003388442,2.91
EOH0018,HHP,4.0,3.317,0.0,0.9357541328191145,0.8470980105858733,0.0052119465925656,22677365.053361323,2.2881064157932443,191.86689315397345,118193.21551823277,3.317
EOH0021,HHP,4.0,3.429,0.0,0.8208753579203651,0.7050563512564998,0.0042683053906745,91300424.44482107,1.0000955961084074e-06,234.28501676211476,389698.09382869967,3.429
EOH0025,HHP,4.0,1.81,0.0,1.0,1.0,0.0170657734162636,34220796.79393737,1.0006152239505531e-06,58.59681689240084,584004.364209335,1.81
EOH0026,HHP,4.0,3.388,0.0,0.926242438133483,0.8176939622618297,0.005071009913081,47646063.00480843,1.0021775626582872e-06,197.19937786365492,241613.65781666548,3.388
EOH0027,HHP,4.0,3.037,0.0,0.9843564502020558,0.9225147137936295,0.0060103734684145,41120466.0694096,1.000011903023971e-06,166.37901209553186,247149.35827241815,3.037
EOH0031,HHP,4.0,3.428,0.0,0.9916153742289667,0.8735061684908432,0.004958209368028,148959168.64413187,0.5205477658157518,201.68571469536877,738570.7454249974,3.428
EOH0033,HHP,4.0,3.429,0.0,0.7991500525821849,0.7121414411368279,0.003825953570726,32421906.394511152,11.223350691121654,261.37274839178025,124044.70853982407,3.429
EOH0038,HHP,4.0,3.004,0.0,1.0,1.0,0.0059343200145918,238594435.08726072,11.944598680748246,168.51130332390514,1415895.7315085554,3.004
EOH0043,HHP,4.0,3.429,0.0,0.8565319114667661,0.742792994680896,0.0044799323553269,32975228.13416697,1.000742514932405e-06,223.21765613512935,147726.79144254047,3.429
EOH0047,HHP,4.0,3.429,0.0,0.6824781453720796,0.5830159148477908,0.0032829212592816,68140307.7053986,7.556107679045704,304.6067575251042,223699.2647800429,3.429
EOH0048,HHP,4.0,3.061,0.0,0.975650284917605,0.971937107312505,0.0058442802526198,38649540.01070935,6.220221708964809,171.10746863169894,225878.74345742754,3.061
EOH0063,HHP,4.0,2.308,0.0,1.0,1.0,0.0097699708942495,33475641.67061139,1.0041739498291418e-06,102.35445026643725,327056.044788199,2.308
EOH0065,HHP,4.0,2.568,0.0,1.0,1.0,0.0079883755677829,37025688.30917975,1.001100273409355e-06,125.18189605819207,295775.1038693965,2.568
EOH0066,HHP,4.0,3.069,0.0,1.0,0.9662705468521847,0.0058353980123242,54005412.040207945,5.301471678317495,171.36791661648914,315143.0740741789,3.069
EOH0067,HHP,4.0,2.27,0.0,1.0,1.0,0.0101039145446718,21538954.213134307,1.0000555502838396e-06,98.97154173056029,217627.75275110765,2.27
EOH0069,HHP,4.0,3.429,0.0,0.9427170577400997,0.8390632136058663,0.004919876763262,100691010.893368,1.1989577171652064,203.25712372863896,495387.36476364214,3.429
EOH0073,HHP,4.0,3.429,0.0,0.8676411754609742,0.7576934058457349,0.0043124210396602,42654702.60589152,5.4860240113550285,231.88830376330685,183945.03695809533,3.429
EOH0075,HHP,4.0,2.281,0.0,1.0,1.0,0.0100040915750112,24035870.17020053,1.0001001299660414e-06,99.95910098402717,240457.04626776613,2.281
EOH0079,HHP,4.0,3.224,0.0,0.9529889983485446,0.873415080781623,0.0054680875306251,47013294.59744448,0.1581316965202175,182.87929635348797,257072.80996189057,3.224
EOH0082,HHP,4.0,3.429,0.0,0.634774510984887,0.5541278046994438,0.0038392970637075,15071675.466388129,8.215712287993622,260.4643463130015,57864.639363256305,3.429
EOH0094,HHP,4.0,3.429,0.0,0.7518308845833958,0.6423019381251648,0.0037253953221537,47484135.71848264,3.5797227372287246,268.42788845879767,176897.17708214666,3.429
EOH0102,HHP,4.0,3.25,0.0,0.9489179314221473,0.8593131557197405,0.0054044947441644,43664636.34911576,1.0007008018594884e-06,185.03117263269945,235985.29765464595,3.25
EOH0105,HHP,4.0,3.373,0.0,0.9290016781910956,0.8390871201278982,0.0050896626655237,52562942.79052511,1.5241652178734464,196.47667551207053,267527.6475109938,3.373
EOH0107,HHP,4.0,2.907,0.0,1.0,0.9615440654041004,0.0064538597744434,44071428.9084319,1.000259393546631e-06,154.94603771217558,284430.8222343707,2.907
EOH0121,HHP,4.0,2.869,0.0,1.0,0.9922443093253309,0.0064238801270344,38605643.711444914,9.729621935203458,155.66915637039642,247998.02742932155,2.869
EOH0126,HHP,4.0,2.819,0.0,0.9975987965509987,0.9977371473547382,0.006663243550914,20650169.81163496,6.776990288555568,150.07705967206158,137597.11082265564,2.819
EOH0132,HHP,4.0,3.171,0.0,0.9709084765104574,0.8995880962583106,0.0055929556296863,50543489.63949615,1.56615434898233,178.79634064897604,282687.49492321117,3.171
EOH0144,HHP,4.0,2.114,0.0,1.0,1.0,0.0116095776999444,14076799.141877752,1.988119870834928,86.13577735948044,163425.69340414042,2.114
EOH0159,HHP,4.0,3.07,0.0,1.0,0.9777626844129806,0.0058044981665213,69993423.80450253,7.279598599863007,172.28018190577035,406276.7001417833,3.07
EOH0166,HHP,4.0,2.942,0.0,1.0,0.9604882852329607,0.0063287761277723,71002036.44126587,1.0011933383108524e-06,158.00843319638727,449355.99325270235,2.942
EOH0174,HHP,4.0,3.429,0.0,0.8898882841592667,0.7825397638330042,0.0044776073830866,67184395.80382225,5.150489175833156,223.33356063716747,300825.34667940694,3.429
EOH0177,HHP,4.0,3.407,0.0,1.0,0.8976045367521954,0.0050286196639995,168942384.15255257,1.0063663080067017e-06,198.8617288277182,849546.9950324834,3.407
EOH0184,HHP,4.0,0.214,0.0,1.0,1.0,0.0101167598484148,73551700.94144517,12.89618320988265,98.8458770380608,744104.8948670255,0.214
EOH0185,HHP,4.0,2.498,0.0,1.0,1.0,0.0084029985702487,27205725.61055793,1.0010798170641676e-06,119.00513746849339,228609.67340809674,2.498
EOH0200,HHP,4.0,2.699,0.0,1.0,1.0,0.0072432079011423,39407554.303105205,3.255967467273289,138.06037513327396,285437.10869294585,2.699
EOH0201,HHP,4.0,2.664,0.0,1.0,1.0,0.0074048308952958,17798594.142502557,3.5426866978316816,135.04697327190658,131795.5797992338,2.664
EOH0204,HHP,4.0,3.406,0.0,0.9070780558940859,0.9079595073224707,0.0049123032878493,46237590.11008706,11.652490241576867,203.57049257799778,227133.06592000893,3.406
EOH0218,HHP,4.0,3.141,0.0,0.9863084152818674,0.8960718421108615,0.0056980343188189,55416863.05225457,1.0072161501738114e-06,175.49911847622602,315767.1875130337,3.141
EOH0222,HHP,4.0,2.706,0.0,1.0,0.9449939112370934,0.0072157345643695,15174554.530549608,3.016396618165248,138.586029056264,109495.5576249966,2.706
EOH0226,HHP,4.0,2.804,0.0,1.0,1.0,0.0067883647607448,35985950.76324489,3.415279530230162,147.31088196419822,244285.76004310907,2.804
EOH0227,HHP,4.0,3.429,0.0,0.8503332186101812,0.7365178277327488,0.0043122825017492,25981134.667334024,2.541394983660319,231.89575348886999,112037.99240153404,3.429
EOH0231,HHP,4.0,3.055,0.0,1.0,1.0,0.0058650746399756,163921009.81183007,6.192789359276109,170.50081395113503,961408.957606556,3.055
EOH0233,HHP,4.0,3.429,0.0,0.8864340065875652,0.7730417522109981,0.004700065252843,28143780.873904563,1.0003648643308915e-06,212.76300353385835,132277.60656906624,3.429
EOH0238,HHP,4.0,0.0,0.0,1.0,1.0,0.0050514464515221,122949765.70188834,29.99999999278397,197.9631001925558,621074.1576702775,0.0
EOH0240,HHP,4.0,3.429,0.0,0.8637630429444245,0.7515544204605694,0.0045567237724542,61829606.67755748,1.005627532341684e-06,219.45591831681543,281740.4385891191,3.429
