,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-03 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-03 00:30:00,0.0,0.0,20.85059288537549,15.0,15.0,,0.0,0.0
2022-01-03 01:00:00,0.0,0.0,20.702364511240603,15.0,15.0,,0.0,0.0
2022-01-03 01:30:00,0.0,0.0,20.555300900435377,15.0,15.0,,0.0,0.0
2022-01-03 02:00:00,0.0,0.0,20.409388241536934,15.0,15.0,,0.0,0.0
2022-01-03 02:30:00,0.0,0.0,20.264612886894202,15.0,15.0,,0.0,0.0
2022-01-03 03:00:00,931.8631146983973,0.0,20.121554236061463,15.0,15.0,,266.2466041995421,0.0
2022-01-03 03:30:00,4000.0,0.0,20.035440734133765,15.0,15.0,,1142.857142857143,0.0
2022-01-03 04:00:00,4000.0,0.0,20.131660804480003,15.0,15.0,,1142.857142857143,0.0
2022-01-03 04:30:00,4000.0,0.0,20.226147040000004,15.0,15.0,,1142.857142857143,0.0
2022-01-03 05:00:00,4000.0,0.0,20.318920000000002,15.0,15.0,,1142.857142857143,0.0
2022-01-03 05:30:00,4000.0,0.0,20.41,15.0,15.0,,1142.857142857143,0.0
2022-01-03 06:00:00,4000.0,0.0,20.5,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-03 06:30:00,4000.0,0.0,20.58893280632411,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-03 07:00:00,4000.0,0.0,20.676218188067303,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-03 07:30:00,0.0,0.0,20.7618756799084,21.0,20.5,21.5,0.0,0.0
2022-01-03 08:00:00,4000.0,0.0,20.6081775493166,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-03 08:30:00,4000.0,0.0,20.69227030564881,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-03 09:00:00,4000.0,0.0,20.77418014392175,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-03 09:30:00,4000.0,0.0,20.853932948539278,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-03 10:00:00,4000.0,0.0,20.93244362503881,15.0,15.0,,1142.857142857143,0.0
2022-01-03 10:30:00,4000.0,0.0,21.009726902212265,15.0,15.0,,1142.857142857143,0.0
