,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-03 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-03 00:30:00,0.0,0.0,20.85059288537549,15.0,15.0,,0.0,0.0
2022-01-03 01:00:00,0.0,0.0,20.702364511240603,15.0,15.0,,0.0,0.0
2022-01-03 01:30:00,0.0,0.0,20.555300900435377,15.0,15.0,,0.0,0.0
2022-01-03 02:00:00,0.0,0.0,20.409388241536934,15.0,15.0,,0.0,0.0
2022-01-03 02:30:00,0.0,0.0,20.264612886894202,15.0,15.0,,0.0,0.0
2022-01-03 03:00:00,0.0,0.0,20.121554236061463,15.0,15.0,,0.0,0.0
2022-01-03 03:30:00,0.0,0.0,19.980191932867058,15.0,15.0,,0.0,0.0
2022-01-03 04:00:00,3464.5615749704916,0.0,19.83991297714136,15.0,15.0,,989.8747357058547,0.0
2022-01-03 04:30:00,7000.0,0.0,19.906113311896828,15.0,15.0,,2000.0,0.0
2022-01-03 05:00:00,7000.0,0.0,20.180546750886194,15.0,15.0,,2000.0,0.0
2022-01-03 05:30:00,7000.0,0.0,20.4511331530496,15.0,15.0,,2000.0,0.0
2022-01-03 06:00:00,7000.0,0.0,20.718511020800005,21.0,20.5,21.5,2000.0,0.0
2022-01-03 06:30:00,7000.0,0.0,20.982718400000003,21.0,20.5,21.5,2000.0,0.0
2022-01-03 07:00:00,7000.0,0.0,21.2432,21.0,20.5,21.5,2000.0,0.0
2022-01-03 07:30:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2022-01-03 08:00:00,0.0,0.0,21.337549407114622,21.0,20.5,21.5,0.0,0.0
2022-01-03 08:30:00,0.0,0.0,21.175839335093496,21.0,20.5,21.5,0.0,0.0
2022-01-03 09:00:00,0.0,0.0,21.014861003056815,21.0,20.5,21.5,0.0,0.0
2022-01-03 09:30:00,0.0,0.0,20.85460573424586,21.0,20.5,21.5,0.0,0.0
2022-01-03 10:00:00,0.0,0.0,20.69595428285164,15.0,15.0,,0.0,0.0
2022-01-03 10:30:00,0.0,0.0,20.538887631276324,15.0,15.0,,0.0,0.0
2022-01-03 11:00:00,0.0,0.0,20.384276315490435,15.0,15.0,,0.0,0.0
2022-01-03 11:30:00,706.0885057769383,0.0,20.232091220840353,15.0,15.0,,201.73957307912522,0.0
