,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-03 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-03 00:30:00,0.0,0.0,20.85059288537549,15.0,15.0,,0.0,0.0
2022-01-03 01:00:00,0.0,0.0,20.702364511240603,15.0,15.0,,0.0,0.0
2022-01-03 01:30:00,0.0,0.0,20.555300900435377,15.0,15.0,,0.0,0.0
2022-01-03 02:00:00,0.0,0.0,20.409388241536934,15.0,15.0,,0.0,0.0
2022-01-03 02:30:00,0.0,0.0,20.264612886894202,15.0,15.0,,0.0,0.0
2022-01-03 03:00:00,0.0,0.0,20.121554236061463,15.0,15.0,,0.0,0.0
2022-01-03 03:30:00,0.0,0.0,19.980191932867058,15.0,15.0,,0.0,0.0
2022-01-03 04:00:00,7000.0,0.0,19.83991297714136,15.0,15.0,,2000.0,0.0
2022-01-03 04:30:00,7000.0,0.0,20.115724285712805,15.0,15.0,,2000.0,0.0
2022-01-03 05:00:00,7000.0,0.0,20.387672219083797,15.0,15.0,,2000.0,0.0
2022-01-03 05:30:00,7000.0,0.0,20.655802588027466,15.0,15.0,,2000.0,0.0
2022-01-03 06:00:00,7000.0,0.0,20.920753545481688,21.0,20.0,22.0,2000.0,0.0
2022-01-03 06:30:00,7000.0,0.0,21.182562791977954,21.0,20.0,22.0,2000.0,0.0
2022-01-03 07:00:00,7000.0,0.0,21.44067469563039,21.0,20.0,22.0,2000.0,0.0
2022-01-03 07:30:00,0.0,0.0,21.695133098449,21.0,20.0,22.0,0.0,0.0
2022-01-03 08:00:00,0.0,0.0,21.530368674356716,21.0,20.0,22.0,0.0,0.0
2022-01-03 08:30:00,0.0,0.0,21.366372207862366,21.0,20.0,22.0,0.0,0.0
2022-01-03 09:00:00,0.0,0.0,21.20313459274937,21.0,20.0,22.0,0.0,0.0
2022-01-03 09:30:00,0.0,0.0,21.04064683078001,21.0,20.0,22.0,0.0,0.0
2022-01-03 10:00:00,0.0,0.0,20.87978935847827,15.0,15.0,,0.0,0.0
2022-01-03 10:30:00,0.0,0.0,20.720542844346117,15.0,15.0,,0.0,0.0
2022-01-03 11:00:00,0.0,0.0,20.563777514176003,15.0,15.0,,0.0,0.0
2022-01-03 11:30:00,0.0,0.0,20.40946394681423,15.0,15.0,,0.0,0.0
