,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2018-02-01 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2018-02-01 00:30:00,0.0,0.0,20.778260869565216,15.0,15.0,,0.0,0.0
2018-02-01 01:00:00,0.0,0.0,20.559743942258116,15.0,15.0,,0.0,0.0
2018-02-01 01:30:00,2055.8370726870494,0.0,20.34441101013648,15.0,15.0,,587.3820207677284,0.0
2018-02-01 02:00:00,4000.0,0.0,20.254704777171643,15.0,15.0,,1142.857142857143,0.0
2018-02-01 02:30:00,4000.0,0.0,20.282514601948264,15.0,15.0,,1142.857142857143,0.0
2018-02-01 03:00:00,4000.0,0.0,20.311773322083262,15.0,15.0,,1142.857142857143,0.0
2018-02-01 03:30:00,4000.0,0.0,20.34246375699927,15.0,15.0,,1142.857142857143,0.0
2018-02-01 04:00:00,4000.0,0.0,20.3721973883392,15.0,15.0,,1142.857142857143,0.0
2018-02-01 04:30:00,4000.0,0.0,20.4009855616,15.0,15.0,,1142.857142857143,0.0
2018-02-01 05:00:00,4000.0,0.0,20.4323968,15.0,15.0,,1142.857142857143,0.0
2018-02-01 05:30:00,4000.0,0.0,20.4664,15.0,15.0,,1142.857142857143,0.0
2018-02-01 06:00:00,3439.9999999999955,0.0,20.5,21.0,20.5,21.5,982.8571428571415,0.0
2018-02-01 06:30:00,3460.0000000000214,0.0,20.5,21.0,20.5,21.5,988.5714285714347,0.0
2018-02-01 07:00:00,3480.0000000000473,0.0,20.5,21.0,20.5,21.5,994.2857142857277,0.0
2018-02-01 07:30:00,3460.0000000000214,0.0,20.5,21.0,20.5,21.5,988.5714285714347,0.0
2018-02-01 08:00:00,3439.9999999999955,0.0,20.5,21.0,20.5,21.5,982.8571428571415,0.0
2018-02-01 08:30:00,3060.0000000000387,0.0,20.5,21.0,20.5,21.5,874.2857142857254,0.0
2018-02-01 09:00:00,2680.0000000000223,0.0,20.5,21.0,20.5,21.5,765.714285714292,0.0
2018-02-01 09:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-01 10:00:00,0.0,0.0,20.381422924901184,15.0,15.0,,0.0,0.0
2018-02-01 10:30:00,0.0,0.0,20.304568107609864,15.0,15.0,,0.0,0.0
2018-02-01 11:00:00,0.0,0.0,20.262122635978127,15.0,15.0,,0.0,0.0
2018-02-01 11:30:00,0.0,0.0,20.25367849404953,15.0,15.0,,0.0,0.0
2018-02-01 12:00:00,0.0,0.0,20.243852266847362,15.0,15.0,,0.0,0.0
2018-02-01 12:30:00,0.0,0.0,20.232660342734547,15.0,15.0,,0.0,0.0
2018-02-01 13:00:00,1366.1153842049057,0.0,20.233755279381963,15.0,15.0,,390.3186812014016,0.0
2018-02-01 13:30:00,4000.0,0.0,20.327986366041756,15.0,15.0,,1142.857142857143,0.0
2018-02-01 14:00:00,4000.0,0.0,20.560065579092644,15.0,15.0,,1142.857142857143,0.0
2018-02-01 14:30:00,4000.0,0.0,20.772199188826725,15.0,15.0,,1142.857142857143,0.0
2018-02-01 15:00:00,4000.0,0.0,20.968181016627202,15.0,15.0,,1142.857142857143,0.0
2018-02-01 15:30:00,4000.0,0.0,21.1482025856,15.0,15.0,,1142.857142857143,0.0
2018-02-01 16:00:00,4000.0,0.0,21.296148799999997,15.0,15.0,,1142.857142857143,0.0
2018-02-01 16:30:00,4000.0,0.0,21.412399999999998,15.0,15.0,,1142.857142857143,0.0
2018-02-01 17:00:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2018-02-01 17:30:00,0.0,0.0,21.322134387351777,21.0,20.5,21.5,0.0,0.0
2018-02-01 18:00:00,0.0,0.0,21.1368916871065,21.0,20.5,21.5,0.0,0.0
2018-02-01 18:30:00,0.0,0.0,20.944359374611164,21.0,20.5,21.5,0.0,0.0
2018-02-01 19:00:00,0.0,0.0,20.749959856335142,21.0,20.5,21.5,0.0,0.0
2018-02-01 19:30:00,0.0,2384.7454490260466,20.55371527305844,21.0,20.5,21.5,0.0,2649.7171655844963
2018-02-01 20:00:00,0.0,3299.9999999999923,20.5,21.0,20.5,21.5,0.0,3666.666666666658
2018-02-01 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-01 21:00:00,0.0,0.0,20.304347826086957,15.0,15.0,,0.0,0.0
2018-02-01 21:30:00,0.0,0.0,20.111015638425847,15.0,15.0,,0.0,0.0
2018-02-01 22:00:00,0.0,0.0,19.921161698049254,15.0,15.0,,0.0,0.0
2018-02-01 22:30:00,0.0,0.0,19.734744760918236,15.0,15.0,,0.0,0.0
2018-02-01 23:00:00,0.0,0.0,19.548759645176123,15.0,15.0,,0.0,0.0
2018-02-01 23:30:00,0.0,0.0,19.36320123041119,15.0,15.0,,0.0,0.0
2018-02-02 00:00:00,4000.0,0.0,19.36320123041119,15.0,15.0,,1142.857142857143,0.0
2018-02-02 00:30:00,4000.0,0.0,19.412254180248212,15.0,15.0,,1142.857142857143,0.0
2018-02-02 01:00:00,4000.0,0.0,19.458946818427087,15.0,15.0,,1142.857142857143,0.0
2018-02-02 01:30:00,4000.0,0.0,19.50330713283309,15.0,15.0,,1142.857142857143,0.0
2018-02-02 02:00:00,4000.0,0.0,19.546548550230327,15.0,15.0,,1142.857142857143,0.0
2018-02-02 02:30:00,4000.0,0.0,19.588684338172257,15.0,15.0,,1142.857142857143,0.0
2018-02-02 03:00:00,4000.0,0.0,19.629134721514088,15.0,15.0,,1142.857142857143,0.0
2018-02-02 03:30:00,4000.0,0.0,19.6679196852906,15.0,15.0,,1142.857142857143,0.0
2018-02-02 04:00:00,4000.0,0.0,19.707430519061855,15.0,15.0,,1142.857142857143,0.0
2018-02-02 04:30:00,4000.0,0.0,19.747658615673767,15.0,15.0,,1142.857142857143,0.0
2018-02-02 05:00:00,4000.0,0.0,19.788595470033368,15.0,15.0,,1142.857142857143,0.0
2018-02-02 05:30:00,4000.0,10602.788701690242,19.830232677898586,15.0,15.0,,1142.857142857143,11780.87633521138
2018-02-02 06:00:00,3439.9999999999955,0.0,20.5,21.0,20.5,21.5,982.8571428571415,0.0
2018-02-02 06:30:00,3450.000000000038,0.0,20.5,21.0,20.5,21.5,985.7142857142966,0.0
2018-02-02 07:00:00,3460.0000000000214,0.0,20.5,21.0,20.5,21.5,988.5714285714347,0.0
2018-02-02 07:30:00,3450.000000000038,0.0,20.5,21.0,20.5,21.5,985.7142857142966,0.0
2018-02-02 08:00:00,3439.9999999999955,0.0,20.5,21.0,20.5,21.5,982.8571428571415,0.0
2018-02-02 08:30:00,3080.000000000005,0.0,20.5,21.0,20.5,21.5,880.0000000000015,0.0
2018-02-02 09:00:00,2720.0000000000146,0.0,20.5,21.0,20.5,21.5,777.1428571428613,0.0
2018-02-02 09:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-02 10:00:00,0.0,0.0,20.378458498023715,15.0,15.0,,0.0,0.0
2018-02-02 10:30:00,0.0,0.0,20.29808151978628,15.0,15.0,,0.0,0.0
2018-02-02 11:00:00,0.0,0.0,20.24563391283229,15.0,15.0,,0.0,0.0
2018-02-02 11:30:00,0.0,0.0,20.220784498846132,15.0,15.0,,0.0,0.0
2018-02-02 12:00:00,0.0,0.0,20.206901678701712,15.0,15.0,,0.0,0.0
2018-02-02 12:30:00,2363.4322486288597,0.0,20.20385541373687,15.0,15.0,,675.2663567511028,0.0
2018-02-02 13:00:00,4000.0,0.0,20.343044810923523,15.0,15.0,,1142.857142857143,0.0
2018-02-02 13:30:00,4000.0,0.0,20.5796885483434,15.0,15.0,,1142.857142857143,0.0
2018-02-02 14:00:00,4000.0,0.0,20.77647089757253,15.0,15.0,,1142.857142857143,0.0
2018-02-02 14:30:00,4000.0,0.0,20.93386452329301,15.0,15.0,,1142.857142857143,0.0
2018-02-02 15:00:00,4000.0,0.0,21.076941228550403,15.0,15.0,,1142.857142857143,0.0
2018-02-02 15:30:00,4000.0,0.0,21.2058707792,15.0,15.0,,1142.857142857143,0.0
2018-02-02 16:00:00,4000.0,0.0,21.3199316,15.0,15.0,,1142.857142857143,0.0
2018-02-02 16:30:00,4000.0,0.0,21.4193,15.0,15.0,,1142.857142857143,0.0
2018-02-02 17:00:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2018-02-02 17:30:00,0.0,0.0,21.325098814229246,21.0,20.5,21.5,0.0,0.0
2018-02-02 18:00:00,0.0,0.0,21.147232029870796,21.0,20.5,21.5,0.0,0.0
2018-02-02 18:30:00,0.0,0.0,20.96643481212529,21.0,20.5,21.5,0.0,0.0
2018-02-02 19:00:00,0.0,0.0,20.785409893404434,21.0,20.5,21.5,0.0,0.0
2018-02-02 19:30:00,0.0,1294.0004380034086,20.604159973719796,21.0,20.5,21.5,0.0,1437.7782644482318
2018-02-02 20:00:00,0.0,3060.0000000000387,20.5,21.0,20.5,21.5,0.0,3400.0000000000427
2018-02-02 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-02 21:00:00,0.0,0.0,20.316798418972333,15.0,15.0,,0.0,0.0
2018-02-02 21:30:00,0.0,0.0,20.133990532581358,15.0,15.0,,0.0,0.0
2018-02-02 22:00:00,0.0,0.0,19.94564281875628,15.0,15.0,,0.0,0.0
2018-02-02 22:30:00,0.0,0.0,19.751820967150472,15.0,15.0,,0.0,0.0
2018-02-02 23:00:00,0.0,0.0,19.56029739837003,15.0,15.0,,0.0,0.0
2018-02-02 23:30:00,0.0,0.0,19.371044860049434,15.0,15.0,,0.0,0.0
2018-02-03 00:00:00,4000.0,0.0,19.371044860049434,15.0,15.0,,1142.857142857143,0.0
2018-02-03 00:30:00,4000.0,0.0,19.417633260918414,15.0,15.0,,1142.857142857143,0.0
2018-02-03 01:00:00,4000.0,0.0,19.46011191790357,15.0,15.0,,1142.857142857143,0.0
2018-02-03 01:30:00,4000.0,0.0,19.49852956314582,15.0,15.0,,1142.857142857143,0.0
2018-02-03 02:00:00,4000.0,0.0,19.5335272363101,15.0,15.0,,1142.857142857143,0.0
2018-02-03 02:30:00,4000.0,0.0,19.565145490425,15.0,15.0,,1142.857142857143,0.0
2018-02-03 03:00:00,4000.0,0.0,19.596981709906128,15.0,15.0,,1142.857142857143,0.0
2018-02-03 03:30:00,4000.0,0.0,19.62903331018392,15.0,15.0,,1142.857142857143,0.0
2018-02-03 04:00:00,4000.0,0.0,19.660704851960396,15.0,15.0,,1142.857142857143,0.0
2018-02-03 04:30:00,4000.0,0.0,19.6920008418581,15.0,15.0,,1142.857142857143,0.0
2018-02-03 05:00:00,4000.0,0.0,19.722925733061363,15.0,15.0,,1142.857142857143,0.0
2018-02-03 05:30:00,4000.0,12071.934567500683,19.75348392594996,15.0,15.0,,1142.857142857143,13413.260630556313
2018-02-03 06:00:00,3619.9999999999905,0.0,20.5,21.0,20.5,21.5,1034.2857142857115,0.0
2018-02-03 06:30:00,3619.9999999999905,0.0,20.5,21.0,20.5,21.5,1034.2857142857115,0.0
2018-02-03 07:00:00,3619.9999999999905,0.0,20.5,21.0,20.5,21.5,1034.2857142857115,0.0
2018-02-03 07:30:00,3615.000000000029,0.0,20.5,21.0,20.5,21.5,1032.857142857151,0.0
2018-02-03 08:00:00,3610.0000000000073,0.0,20.5,21.0,20.5,21.5,1031.4285714285736,0.0
2018-02-03 08:30:00,3455.0,0.0,20.5,21.0,20.5,21.5,987.1428571428571,0.0
2018-02-03 09:00:00,3299.9999999999923,0.0,20.5,21.0,20.5,21.5,942.8571428571406,0.0
2018-02-03 09:30:00,2651.5718742893214,0.0,20.5,21.0,20.5,21.5,757.5919640826633,0.0
2018-02-03 10:00:00,4000.0,0.0,20.476081336420318,15.0,15.0,,1142.857142857143,0.0
2018-02-03 10:30:00,4000.0,0.0,20.546918316620864,15.0,15.0,,1142.857142857143,0.0
2018-02-03 11:00:00,4000.0,0.0,20.629365925514687,15.0,15.0,,1142.857142857143,0.0
2018-02-03 11:30:00,4000.0,0.0,20.723286487662733,15.0,15.0,,1142.857142857143,0.0
2018-02-03 12:00:00,4000.0,0.0,20.813721825753692,15.0,15.0,,1142.857142857143,0.0
2018-02-03 12:30:00,4000.0,0.0,20.90071326655503,15.0,15.0,,1142.857142857143,0.0
2018-02-03 13:00:00,4000.0,0.0,20.985487417544494,15.0,15.0,,1142.857142857143,0.0
2018-02-03 13:30:00,4000.0,0.0,21.06807057069614,15.0,15.0,,1142.857142857143,0.0
2018-02-03 14:00:00,4000.0,0.0,21.14759937815824,15.0,15.0,,1142.857142857143,0.0
2018-02-03 14:30:00,4000.0,0.0,21.224110057468618,15.0,15.0,,1142.857142857143,0.0
2018-02-03 15:00:00,4000.0,0.0,21.2949704125184,15.0,15.0,,1142.857142857143,0.0
2018-02-03 15:30:00,4000.0,0.0,21.360247443200002,15.0,15.0,,1142.857142857143,0.0
2018-02-03 16:00:00,4000.0,0.0,21.4161536,15.0,15.0,,1142.857142857143,0.0
2018-02-03 16:30:00,4000.0,0.0,21.4628,15.0,15.0,,1142.857142857143,0.0
2018-02-03 17:00:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2018-02-03 17:30:00,0.0,0.0,21.29071146245059,21.0,20.5,21.5,0.0,0.0
2018-02-03 18:00:00,0.0,0.0,21.07945796684841,21.0,20.5,21.5,0.0,0.0
2018-02-03 18:30:00,0.0,0.0,20.86626281309131,21.0,20.5,21.5,0.0,0.0
2018-02-03 19:00:00,0.0,886.7389148335661,20.65559566510999,21.0,20.5,21.5,0.0,985.2654609261846
2018-02-03 19:30:00,0.0,3480.0000000000473,20.5,21.0,20.5,21.5,0.0,3866.6666666667193
2018-02-03 20:00:00,0.0,3480.0000000000473,20.5,21.0,20.5,21.5,0.0,3866.6666666667193
2018-02-03 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-03 21:00:00,0.0,0.0,20.294268774703557,15.0,15.0,,0.0,0.0
2018-02-03 21:30:00,0.0,0.0,20.09156993547782,15.0,15.0,,0.0,0.0
2018-02-03 22:00:00,0.0,0.0,19.890681754424726,15.0,15.0,,0.0,0.0
2018-02-03 22:30:00,0.0,0.0,19.69158276128925,15.0,15.0,,0.0,0.0
2018-02-03 23:00:00,0.0,0.0,19.49484462577989,15.0,15.0,,0.0,0.0
2018-02-03 23:30:00,0.0,0.0,19.30043935353744,15.0,15.0,,0.0,0.0
2018-02-04 00:00:00,4000.0,0.0,19.30043935353744,15.0,15.0,,1142.857142857143,0.0
2018-02-04 00:30:00,4000.0,0.0,19.341936120096282,15.0,15.0,,1142.857142857143,0.0
2018-02-04 01:00:00,4000.0,0.0,19.382940830134665,15.0,15.0,,1142.857142857143,0.0
2018-02-04 01:30:00,4000.0,0.0,19.423459318314887,15.0,15.0,,1142.857142857143,0.0
2018-02-04 02:00:00,4000.0,0.0,19.464090235489017,15.0,15.0,,1142.857142857143,0.0
2018-02-04 02:30:00,4000.0,0.0,19.504832248506933,15.0,15.0,,1142.857142857143,0.0
2018-02-04 03:00:00,4000.0,0.0,19.543312498524635,15.0,15.0,,1142.857142857143,0.0
2018-02-04 03:30:00,4000.0,0.0,19.57955780486624,15.0,15.0,,1142.857142857143,0.0
