,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2018-02-01 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2018-02-01 00:30:00,0.0,0.0,20.778260869565216,15.0,15.0,,0.0,0.0
2018-02-01 01:00:00,0.0,0.0,20.559743942258116,15.0,15.0,,0.0,0.0
2018-02-01 01:30:00,0.0,0.0,20.34441101013648,15.0,15.0,,0.0,0.0
2018-02-01 02:00:00,3686.9006255216495,0.0,20.132817203692174,15.0,15.0,,1053.4001787204713,0.0
2018-02-01 02:30:00,8000.0,0.0,20.143509131643746,15.0,15.0,,2285.714285714286,0.0
2018-02-01 03:00:00,8000.0,0.0,20.41157028818552,15.0,15.0,,2285.714285714286,0.0
2018-02-01 03:30:00,8000.0,0.0,20.67823151006474,15.0,15.0,,2285.714285714286,0.0
2018-02-01 04:00:00,8000.0,0.0,20.941137855795198,15.0,15.0,,2285.714285714286,0.0
2018-02-01 04:30:00,8000.0,0.0,21.2003338496,15.0,15.0,,2285.714285714286,0.0
2018-02-01 05:00:00,8000.0,0.0,21.4594208,15.0,15.0,,2285.714285714286,0.0
2018-02-01 05:30:00,0.0,0.0,21.7184,15.0,15.0,,0.0,0.0
2018-02-01 06:00:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2018-02-01 06:30:00,0.0,0.0,21.284189723320157,21.0,20.5,21.5,0.0,0.0
2018-02-01 07:00:00,0.0,0.0,21.069752691027823,21.0,20.5,21.5,0.0,0.0
2018-02-01 07:30:00,0.0,0.0,20.856672619592707,21.0,20.5,21.5,0.0,0.0
2018-02-01 08:00:00,999.8580435984785,0.0,20.647008517384094,21.0,20.5,21.5,285.67372674242245,0.0
2018-02-01 08:30:00,3229.999999999991,0.0,20.5,21.0,20.5,21.5,922.8571428571403,0.0
2018-02-01 09:00:00,3010.000000000003,0.0,20.5,21.0,20.5,21.5,860.0000000000009,0.0
2018-02-01 09:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-01 10:00:00,0.0,0.0,20.344960474308298,15.0,15.0,,0.0,0.0
2018-02-01 10:30:00,0.0,0.0,20.215178334296738,15.0,15.0,,0.0,0.0
2018-02-01 11:00:00,0.0,0.0,20.106352108988872,15.0,15.0,,0.0,0.0
2018-02-01 11:30:00,0.0,0.0,20.01823330927754,15.0,15.0,,0.0,0.0
2018-02-01 12:00:00,0.0,0.0,19.931900503238676,15.0,15.0,,0.0,0.0
2018-02-01 12:30:00,0.0,0.0,19.847332513081692,15.0,15.0,,0.0,0.0
2018-02-01 13:00:00,0.0,0.0,19.770733708578746,15.0,15.0,,0.0,0.0
2018-02-01 13:30:00,0.0,0.0,19.702009593457255,15.0,15.0,,0.0,0.0
2018-02-01 14:00:00,3676.076234013638,0.0,19.62550355084709,15.0,15.0,,1050.307495432468,0.0
2018-02-01 14:30:00,8000.0,0.0,19.75925704040307,15.0,15.0,,2285.714285714286,0.0
2018-02-01 15:00:00,8000.0,0.0,20.140669012256,15.0,15.0,,2285.714285714286,0.0
2018-02-01 15:30:00,8000.0,0.0,20.510443688,15.0,15.0,,2285.714285714286,0.0
2018-02-01 16:00:00,8000.0,0.0,20.859973999999998,15.0,15.0,,2285.714285714286,0.0
2018-02-01 16:30:00,8000.0,0.0,21.1895,15.0,15.0,,2285.714285714286,0.0
2018-02-01 17:00:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2018-02-01 17:30:00,0.0,0.0,21.317391304347822,21.0,20.5,21.5,0.0,0.0
2018-02-01 18:00:00,0.0,0.0,21.129833304691523,21.0,20.5,21.5,0.0,0.0
2018-02-01 18:30:00,0.0,0.0,20.93738468843036,21.0,20.5,21.5,0.0,0.0
2018-02-01 19:00:00,0.0,0.0,20.743067873943044,21.0,20.5,21.5,0.0,0.0
2018-02-01 19:30:00,2498.2497703715167,0.0,20.54690501377771,21.0,20.5,21.5,713.7856486775762,0.0
2018-02-01 20:00:00,3299.9999999999923,0.0,20.5,21.0,20.5,21.5,942.8571428571406,0.0
2018-02-01 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-01 21:00:00,0.0,0.0,20.304347826086957,15.0,15.0,,0.0,0.0
2018-02-01 21:30:00,0.0,0.0,20.111015638425847,15.0,15.0,,0.0,0.0
2018-02-01 22:00:00,0.0,0.0,19.921161698049254,15.0,15.0,,0.0,0.0
2018-02-01 22:30:00,0.0,0.0,19.734744760918236,15.0,15.0,,0.0,0.0
2018-02-01 23:00:00,0.0,0.0,19.548759645176123,15.0,15.0,,0.0,0.0
2018-02-01 23:30:00,0.0,0.0,19.36320123041119,15.0,15.0,,0.0,0.0
2018-02-02 00:00:00,0.0,0.0,19.36320123041119,15.0,15.0,,0.0,0.0
2018-02-02 00:30:00,0.0,0.0,19.175100030050583,15.0,15.0,,0.0,0.0
2018-02-02 01:00:00,0.0,0.0,18.987450622579626,15.0,15.0,,0.0,0.0
2018-02-02 01:30:00,0.0,0.0,18.80024765077038,15.0,15.0,,0.0,0.0
2018-02-02 02:00:00,8000.0,0.0,18.614671591670337,15.0,15.0,,2285.714285714286,0.0
2018-02-02 02:30:00,8000.0,0.0,18.9050114542197,15.0,15.0,,2285.714285714286,0.0
2018-02-02 03:00:00,8000.0,0.0,19.190722780849505,15.0,15.0,,2285.714285714286,0.0
2018-02-02 03:30:00,8000.0,0.0,19.471860455384885,15.0,15.0,,2285.714285714286,0.0
2018-02-02 04:00:00,8000.0,0.0,19.750850252356607,15.0,15.0,,2285.714285714286,0.0
2018-02-02 04:30:00,8000.0,0.0,20.02771764066858,15.0,15.0,,2285.714285714286,0.0
2018-02-02 05:00:00,8000.0,0.0,20.302487787221917,15.0,15.0,,2285.714285714286,0.0
2018-02-02 05:30:00,2186.9073250672677,0.0,20.575185560495964,15.0,15.0,,624.8306643049336,0.0
2018-02-02 06:00:00,3439.9999999999955,0.0,20.5,21.0,20.5,21.5,982.8571428571415,0.0
2018-02-02 06:30:00,3450.000000000038,0.0,20.5,21.0,20.5,21.5,985.7142857142966,0.0
2018-02-02 07:00:00,3460.0000000000214,0.0,20.5,21.0,20.5,21.5,988.5714285714347,0.0
2018-02-02 07:30:00,3455.0,0.0,20.5,21.0,20.5,21.5,987.1428571428571,0.0
2018-02-02 08:00:00,3450.000000000038,0.0,20.5,21.0,20.5,21.5,985.7142857142966,0.0
2018-02-02 08:30:00,3240.0000000000337,0.0,20.5,21.0,20.5,21.5,925.7142857142953,0.0
2018-02-02 09:00:00,3030.0000000000296,0.0,20.5,21.0,20.5,21.5,865.7142857142942,0.0
2018-02-02 09:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-02 10:00:00,0.0,0.0,20.34318181818182,15.0,15.0,,0.0,0.0
2018-02-02 10:30:00,0.0,0.0,20.21104922745239,15.0,15.0,,0.0,0.0
2018-02-02 11:00:00,0.0,0.0,20.09693599550631,15.0,15.0,,0.0,0.0
2018-02-02 11:30:00,0.0,0.0,20.00062845405762,15.0,15.0,,0.0,0.0
2018-02-02 12:00:00,0.0,0.0,19.912281081084604,15.0,15.0,,0.0,0.0
2018-02-02 12:30:00,0.0,0.0,19.831799487237753,15.0,15.0,,0.0,0.0
2018-02-02 13:00:00,0.0,0.0,19.75419909806102,15.0,15.0,,0.0,0.0
2018-02-02 13:30:00,0.0,0.0,19.67944574907215,15.0,15.0,,0.0,0.0
2018-02-02 14:00:00,6038.130401596582,0.0,19.587347578134537,15.0,15.0,,1725.1801147418805,0.0
2018-02-02 14:30:00,8000.0,0.0,19.836102176116928,15.0,15.0,,2285.714285714286,0.0
2018-02-02 15:00:00,8000.0,0.0,20.191998197744,15.0,15.0,,2285.714285714286,0.0
2018-02-02 15:30:00,8000.0,0.0,20.537448811999997,15.0,15.0,,2285.714285714286,0.0
2018-02-02 16:00:00,8000.0,0.0,20.870651,15.0,15.0,,2285.714285714286,0.0
2018-02-02 16:30:00,8000.0,0.0,21.19175,15.0,15.0,,2285.714285714286,0.0
2018-02-02 17:00:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2018-02-02 17:30:00,0.0,0.0,21.321245059288536,21.0,20.5,21.5,0.0,0.0
2018-02-02 18:00:00,0.0,0.0,21.141497094158634,21.0,20.5,21.5,0.0,0.0
2018-02-02 18:30:00,0.0,0.0,20.96076787960339,21.0,20.5,21.5,0.0,0.0
2018-02-02 19:00:00,0.0,0.0,20.77981015771086,21.0,20.5,21.5,0.0,0.0
2018-02-02 19:30:00,1386.2226990965808,0.0,20.598626638054206,21.0,20.5,21.5,396.0636283133088,0.0
2018-02-02 20:00:00,3060.0000000000387,0.0,20.5,21.0,20.5,21.5,874.2857142857254,0.0
2018-02-02 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-02 21:00:00,0.0,0.0,20.316798418972333,15.0,15.0,,0.0,0.0
2018-02-02 21:30:00,0.0,0.0,20.133990532581358,15.0,15.0,,0.0,0.0
2018-02-02 22:00:00,0.0,0.0,19.94564281875628,15.0,15.0,,0.0,0.0
2018-02-02 22:30:00,0.0,0.0,19.751820967150472,15.0,15.0,,0.0,0.0
2018-02-02 23:00:00,0.0,0.0,19.56029739837003,15.0,15.0,,0.0,0.0
2018-02-02 23:30:00,0.0,0.0,19.371044860049434,15.0,15.0,,0.0,0.0
2018-02-03 00:00:00,0.0,0.0,19.371044860049434,15.0,15.0,,0.0,0.0
2018-02-03 00:30:00,0.0,0.0,19.180479110720785,15.0,15.0,,0.0,0.0
2018-02-03 01:00:00,0.0,0.0,18.98861572205611,15.0,15.0,,0.0,0.0
2018-02-03 01:30:00,0.0,0.0,18.79547008108311,15.0,15.0,,0.0,0.0
2018-02-03 02:00:00,8000.0,0.0,18.601650277750107,15.0,15.0,,2285.714285714286,0.0
2018-02-03 02:30:00,8000.0,0.0,18.881472606472435,15.0,15.0,,2285.714285714286,0.0
2018-02-03 03:00:00,8000.0,0.0,19.158569769241534,15.0,15.0,,2285.714285714286,0.0
2018-02-03 03:30:00,8000.0,0.0,19.432974080278196,15.0,15.0,,2285.714285714286,0.0
2018-02-03 04:00:00,8000.0,0.0,19.704124585255133,15.0,15.0,,2285.714285714286,0.0
2018-02-03 04:30:00,8000.0,0.0,19.9720598668529,15.0,15.0,,2285.714285714286,0.0
2018-02-03 05:00:00,8000.0,0.0,20.2368180502499,15.0,15.0,,2285.714285714286,0.0
2018-02-03 05:30:00,3656.053190877828,0.0,20.498436808547332,15.0,15.0,,1044.5866259650936,0.0
2018-02-03 06:00:00,3619.9999999999905,0.0,20.5,21.0,20.5,21.5,1034.2857142857115,0.0
2018-02-03 06:30:00,3619.9999999999905,0.0,20.5,21.0,20.5,21.5,1034.2857142857115,0.0
2018-02-03 07:00:00,3619.9999999999905,0.0,20.5,21.0,20.5,21.5,1034.2857142857115,0.0
2018-02-03 07:30:00,3617.5000000000396,0.0,20.5,21.0,20.5,21.5,1033.5714285714398,0.0
2018-02-03 08:00:00,3615.000000000029,0.0,20.5,21.0,20.5,21.5,1032.857142857151,0.0
2018-02-03 08:30:00,3527.5000000000123,0.0,20.5,21.0,20.5,21.5,1007.8571428571464,0.0
2018-02-03 09:00:00,3439.9999999999955,0.0,20.5,21.0,20.5,21.5,982.8571428571415,0.0
2018-02-03 09:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-03 10:00:00,0.0,0.0,20.304199604743083,15.0,15.0,,0.0,0.0
2018-02-03 10:30:00,0.0,0.0,20.118873127216485,15.0,15.0,,0.0,0.0
2018-02-03 11:00:00,0.0,0.0,19.94315526404791,15.0,15.0,,0.0,0.0
2018-02-03 11:30:00,0.0,0.0,19.776932079098724,15.0,15.0,,0.0,0.0
2018-02-03 12:00:00,0.0,0.0,19.61238347737028,15.0,15.0,,0.0,0.0
2018-02-03 12:30:00,0.0,0.0,19.449489602144546,15.0,15.0,,0.0,0.0
2018-02-03 13:00:00,5339.077604067925,0.0,19.288527274846388,15.0,15.0,,1525.450744019407,0.0
2018-02-03 13:30:00,8000.0,0.0,19.446019694753424,15.0,15.0,,2285.714285714286,0.0
2018-02-03 14:00:00,8000.0,0.0,19.75836926359034,15.0,15.0,,2285.714285714286,0.0
2018-02-03 14:30:00,8000.0,0.0,20.065977533192033,15.0,15.0,,2285.714285714286,0.0
2018-02-03 15:00:00,8000.0,0.0,20.367566732403194,15.0,15.0,,2285.714285714286,0.0
2018-02-03 15:30:00,8000.0,0.0,20.663208233599995,15.0,15.0,,2285.714285714286,0.0
2018-02-03 16:00:00,8000.0,0.0,20.950452799999997,15.0,15.0,,2285.714285714286,0.0
2018-02-03 16:30:00,8000.0,0.0,21.2294,15.0,15.0,,2285.714285714286,0.0
2018-02-03 17:00:00,0.0,0.0,21.5,21.0,20.5,21.5,0.0,0.0
2018-02-03 17:30:00,0.0,0.0,21.288043478260867,21.0,20.5,21.5,0.0,0.0
2018-02-03 18:00:00,0.0,0.0,21.07548762673999,21.0,20.5,21.5,0.0,0.0
2018-02-03 18:30:00,0.0,0.0,20.862339552114612,21.0,20.5,21.5,0.0,0.0
2018-02-03 19:00:00,951.3512497594431,0.0,20.651718925014436,21.0,20.5,21.5,271.8146427884123,0.0
2018-02-03 19:30:00,3480.0000000000473,0.0,20.5,21.0,20.5,21.5,994.2857142857277,0.0
2018-02-03 20:00:00,3480.0000000000473,0.0,20.5,21.0,20.5,21.5,994.2857142857277,0.0
2018-02-03 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2018-02-03 21:00:00,0.0,0.0,20.294268774703557,15.0,15.0,,0.0,0.0
2018-02-03 21:30:00,0.0,0.0,20.09156993547782,15.0,15.0,,0.0,0.0
2018-02-03 22:00:00,0.0,0.0,19.890681754424726,15.0,15.0,,0.0,0.0
2018-02-03 22:30:00,0.0,0.0,19.69158276128925,15.0,15.0,,0.0,0.0
2018-02-03 23:00:00,0.0,0.0,19.49484462577989,15.0,15.0,,0.0,0.0
2018-02-03 23:30:00,0.0,0.0,19.30043935353744,15.0,15.0,,0.0,0.0
2018-02-04 00:00:00,0.0,0.0,19.30043935353744,15.0,15.0,,0.0,0.0
2018-02-04 00:30:00,0.0,0.0,19.104781969898653,15.0,15.0,,0.0,0.0
2018-02-04 01:00:00,0.0,0.0,18.911444634287207,15.0,15.0,,0.0,0.0
2018-02-04 01:30:00,0.0,0.0,18.72039983625218,15.0,15.0,,0.0,0.0
2018-02-04 02:00:00,8000.0,0.0,18.53221327692903,15.0,15.0,,2285.714285714286,0.0
2018-02-04 02:30:00,8000.0,0.0,18.821159364554376,15.0,15.0,,2285.714285714286,0.0
2018-02-04 03:00:00,8000.0,0.0,19.104900557860052,15.0,15.0,,2285.714285714286,0.0
2018-02-04 03:30:00,8000.0,0.0,19.383498574960523,15.0,15.0,,2285.714285714286,0.0
2018-02-04 04:00:00,8000.0,0.0,19.657014402134905,15.0,15.0,,2285.714285714286,0.0
2018-02-04 04:30:00,8000.0,0.0,19.92550830250485,15.0,15.0,,2285.714285714286,0.0
2018-02-04 05:00:00,8000.0,0.0,20.189632709985027,15.0,15.0,,2285.714285714286,0.0
