,Baseload(W),HHP(W),HP(W),Load R1,Load R11,Load R15,Load R16,Load R17,Load R18
2022-01-03 00:00:00,275.99999999999994,0.0,0.0,16007.999999999996,1103.9999999999998,4139.999999999999,4415.999999999999,2759.9999999999995,3863.999999999999
2022-01-03 00:30:00,293.41604278074857,0.0,0.0,17018.130481283417,1173.6641711229943,4401.240641711229,4694.656684491977,2934.1604278074856,4107.82459893048
2022-01-03 01:00:00,287.0233957219251,0.0,0.0,16647.356951871658,1148.0935828877004,4305.350935828877,4592.374331550802,2870.2339572192514,4018.3275401069513
2022-01-03 01:30:00,283.23684664481624,0.0,0.0,16427.73710539934,1132.947386579265,4248.552699672244,4531.78954631706,2832.3684664481625,3965.3158530274272
2022-01-03 02:00:00,274.8097291702605,1142.857142857143,1700.781321004844,109005.03912867904,7902.364200700417,27402.169040035762,29377.760090210864,18082.13796730794,26542.42634615606
2022-01-03 02:30:00,266.38261169570467,1142.857142857143,2000.0,122878.7629069223,9065.53044678282,30567.167746864143,32833.55035855985,20092.397545528474,30015.07084945415
2022-01-03 03:00:00,257.95549422114885,1142.857142857143,2000.0,122389.99009339805,9031.821976884596,30440.760984745804,32698.716478966955,20008.126370782917,29897.09120481037
2022-01-03 03:30:00,249.52837674659304,1142.857142857143,2000.0,121901.21727987382,8998.113506986372,30314.354222627466,32563.88259937406,19923.85519603736,29779.111560166588
2022-01-03 04:00:00,241.84989858012165,1142.857142857143,2000.0,121455.86554621848,8967.399594320486,30199.177050130398,32441.026948710518,19847.070414372647,29671.61286583599
2022-01-03 04:30:00,234.3429835884196,1142.857142857143,2000.0,121020.46447669977,8937.371934353678,30086.573325254867,32320.916308843283,19772.001264455626,29566.51605595216
2022-01-03 05:00:00,240.57754010695183,1142.857142857143,2000.0,121382.06875477463,8962.310160427807,30180.09167303285,32420.6692131398,19834.34682964095,29653.799847211612
2022-01-03 05:30:00,255.31229946524067,0.0,0.0,14808.113368983959,1021.2491978609627,3829.68449197861,4084.9967914438507,2553.1229946524068,3574.3721925133696
2022-01-03 06:00:00,301.97647058823543,0.0,0.0,17514.635294117656,1207.9058823529417,4529.647058823532,4831.623529411767,3019.764705882354,4227.670588235296
2022-01-03 06:30:00,355.6759358288771,0.0,0.0,20629.20427807487,1422.7037433155083,5335.139037433156,5690.814973262033,3556.7593582887707,4979.463101604279
2022-01-03 07:00:00,409.3754010695187,0.0,0.0,23743.773262032086,1637.5016042780749,6140.631016042781,6550.0064171122995,4093.7540106951874,5731.255614973262
2022-01-03 07:30:00,433.5330882352941,0.0,0.0,25144.919117647056,1734.1323529411764,6502.996323529412,6936.529411764705,4335.3308823529405,6069.463235294117
2022-01-03 08:00:00,434.3276616431696,0.0,0.0,25191.004375303837,1737.3106465726785,6514.9149246475445,6949.242586290714,4343.276616431696,6080.587263004375
2022-01-03 08:30:00,428.3903743315508,651.6954539505949,0.0,31363.596250735896,1713.5614973262032,9032.637430775641,9461.027805107193,6238.990105167293,7300.856148542901
2022-01-03 09:00:00,422.4530870199319,1142.857142857143,0.0,35930.85047572748,1689.8123480797276,10908.224876727549,11330.677963747483,7653.102298770747,8200.057503993332
2022-01-03 09:30:00,409.29545454545456,1142.857142857143,0.0,35167.707792207795,1637.1818181818182,10710.860389610389,11120.155844155845,7521.5259740259735,8015.85064935065
2022-01-03 10:00:00,381.6770053475936,1142.857142857143,0.0,33565.837738731854,1526.7080213903744,10296.583651642475,10678.260656990069,7245.3414820473645,7629.192360580597
2022-01-03 10:30:00,356.4385026737968,1142.857142857143,0.0,32102.004583651644,1425.7540106951872,9918.006111535524,10274.44461420932,6992.956455309397,7275.853323147441
2022-01-03 11:00:00,343.6624331550802,1142.857142857143,0.0,31360.99255156608,1374.6497326203207,9726.365068754774,10070.027501909855,6865.19576012223,7096.988349885409
2022-01-03 11:30:00,338.7042112299465,1142.857142857143,0.0,31073.41567990833,1354.816844919786,9651.991739877769,9990.695951107715,6815.613540870893,7027.573242933537
2022-01-03 12:00:00,343.89304812834223,1142.857142857143,0.0,31374.368220015276,1375.572192513369,9729.824293353704,10073.717341482046,6867.501909854851,7100.216959511077
2022-01-03 12:30:00,351.22660427807483,1142.857142857143,199.942266293028,41396.94325876511,2204.6754822844114,12039.192564823,12590.361435394105,8340.433335403373,9602.193941123669
2022-01-03 13:00:00,348.27165775401073,1142.857142857143,2000.0,127628.32757830404,9393.086631016044,31795.503437738735,34143.77509549275,20911.288006111536,31161.517494270436
2022-01-03 13:30:00,335.16921313980146,1142.857142857143,2000.0,126868.38579067992,9340.676852559205,31598.96676852559,33934.13598166539,20780.263559969444,30978.083269671508
2022-01-03 14:00:00,324.1155080213904,1142.857142857143,2000.0,126227.27089381206,9296.462032085561,31433.161191749427,33757.27669977082,20669.72650878533,30823.331398013754
2022-01-03 14:30:00,322.3766711229946,1142.857142857143,2000.0,126126.41835370511,9289.506684491978,31407.07863827349,33729.455309396486,20652.338139801373,30798.98768143621
2022-01-03 15:00:00,328.1005347593582,1142.857142857143,2000.0,126458.40244461421,9312.402139037433,31492.936592818944,33821.0371275783,20709.57677616501,30879.1217723453
2022-01-03 15:30:00,344.7786096256684,1142.857142857143,2000.0,127425.7307868602,9379.114438502675,31743.107715813596,34087.88632543926,20876.357524828112,31112.614820473646
2022-01-03 16:00:00,379.1515151515149,1142.857142857143,2000.0,129419.3593073593,9516.60606060606,32258.701298701293,34637.852813852805,21220.08658008658,31593.835497835495
2022-01-03 16:30:00,435.269875222816,1142.857142857143,2000.0,132674.22419149475,9741.079500891265,33100.47669977081,35535.746574993624,21781.270180799587,32379.492538833707
2022-01-03 17:00:00,491.3882352941173,0.0,0.0,28500.517647058805,1965.5529411764692,7370.823529411759,7862.211764705877,4913.882352941173,6879.435294117642
2022-01-03 17:30:00,540.5368983957217,0.0,0.0,31351.140106951858,2162.1475935828867,8108.053475935825,8648.590374331547,5405.368983957216,7567.516577540104
2022-01-03 18:00:00,562.2331550802139,0.0,0.0,32609.52299465241,2248.9326203208557,8433.497326203209,8995.730481283423,5622.331550802139,7871.264171122995
2022-01-03 18:30:00,552.8609625668449,0.0,0.0,32065.935828877005,2211.4438502673797,8292.914438502674,8845.775401069519,5528.60962566845,7740.053475935829
2022-01-03 19:00:00,533.0260249554367,0.0,0.0,30915.50944741533,2132.104099821747,7995.39037433155,8528.416399286987,5330.260249554367,7462.364349376114
2022-01-03 19:30:00,513.1910873440286,0.0,0.0,29765.08306595366,2052.7643493761143,7697.866310160429,8211.057397504457,5131.910873440285,7184.6752228164005
2022-01-03 20:00:00,493.52781886448975,0.0,0.0,28624.613494140405,1974.111275457959,7402.917282967346,7896.445101831836,4935.278188644897,6909.389464102856
2022-01-03 20:30:00,474.5369211514393,1142.857142857143,0.0,38951.712855354905,1898.1476846057571,11689.482388700162,12164.0193098516,8173.9406400858215,8929.231181834435
2022-01-03 21:00:00,455.5460234383889,1142.857142857143,2000.0,133850.240787998,9822.184093753556,33404.618923004404,35860.16494644279,21984.031662955316,32663.358613851728
2022-01-03 21:30:00,436.44213139801366,1142.857142857143,2000.0,132742.21504965622,9745.768525592055,33118.06054239877,35554.502673796786,21792.992742551563,32395.904125286477
2022-01-03 22:00:00,410.7845683728036,1142.857142857143,2000.0,131254.07639419404,9643.138273491215,32733.197097020624,35143.981665393425,21536.417112299467,32036.698242933537
2022-01-03 22:30:00,383.6941176470588,1142.857142857143,2000.0,129682.83025210083,9534.776470588235,32326.840336134454,34710.53445378151,21265.512605042015,31657.43193277311
2022-01-03 23:00:00,345.9593582887701,1142.857142857143,2000.0,127494.2142093201,9383.83743315508,31760.818945760122,34106.778304048894,20888.16501145913,31129.145301757068
2022-01-03 23:30:00,309.2085561497327,1142.857142857143,2000.0,125362.66768525593,9236.834224598932,31209.55691367456,33518.7654698243,20520.656990068754,30614.634071810542
2022-01-04 00:00:00,275.99999999999994,1142.857142857143,0.0,27436.571428571428,1103.9999999999998,8711.42857142857,8987.42857142857,6188.5714285714275,6149.714285714284
2022-01-04 00:30:00,293.41604278074857,1142.857142857143,0.0,28446.701909854848,1173.6641711229943,8972.669213139801,9266.085255920549,6362.731856378914,6393.538884644766
2022-01-04 01:00:00,287.0233957219251,1142.857142857143,0.0,28075.92838044309,1148.0935828877004,8876.779507257448,9163.802902979372,6298.80538579068,6304.041825821238
2022-01-04 01:30:00,283.23684664481624,1142.857142857143,0.0,27856.30853397077,1132.947386579265,8819.981271100816,9103.218117745631,6260.939895019591,6251.030138741713
2022-01-04 02:00:00,274.8097291702605,1142.857142857143,2000.0,123367.53572044654,9099.238916681043,30693.574508982478,32968.384238152736,20176.668720274032,30133.050494097934
2022-01-04 02:30:00,266.38261169570467,1142.857142857143,2000.0,122878.7629069223,9065.53044678282,30567.167746864143,32833.55035855985,20092.397545528474,30015.07084945415
2022-01-04 03:00:00,257.95549422114885,1142.857142857143,2000.0,122389.99009339805,9031.821976884596,30440.760984745804,32698.716478966955,20008.126370782917,29897.09120481037
2022-01-04 03:30:00,249.52837674659304,1142.857142857143,2000.0,121901.21727987382,8998.113506986372,30314.354222627466,32563.88259937406,19923.85519603736,29779.111560166588
2022-01-04 04:00:00,241.84989858012165,1142.857142857143,2000.0,121455.86554621848,8967.399594320486,30199.177050130398,32441.026948710518,19847.070414372647,29671.61286583599
2022-01-04 04:30:00,234.3429835884196,1142.857142857143,2000.0,121020.46447669977,8937.371934353678,30086.573325254867,32320.916308843283,19772.001264455626,29566.51605595216
2022-01-04 05:00:00,240.57754010695183,1142.857142857143,2000.0,121382.06875477463,8962.310160427807,30180.09167303285,32420.6692131398,19834.34682964095,29653.799847211612
2022-01-04 05:30:00,255.31229946524067,1142.857142857143,0.0,26236.68479755539,1021.2491978609627,8401.113063407181,8656.425362872422,5981.694423223835,5860.086478227655
2022-01-04 06:00:00,301.97647058823543,1142.857142857143,0.0,28943.206722689087,1207.9058823529417,9101.075630252104,9403.052100840338,6448.3361344537825,6513.3848739495825
2022-01-04 06:30:00,355.6759358288771,1142.857142857143,0.0,32057.775706646302,1422.7037433155083,9906.567608861727,10262.243544690606,6985.330786860199,7265.177387318565
2022-01-04 07:00:00,409.3754010695187,1142.857142857143,0.0,35172.34469060352,1637.5016042780749,10712.059587471353,11121.43498854087,7522.325439266616,8016.969900687547
2022-01-04 07:30:00,433.5330882352941,1142.857142857143,998.130624503586,84483.76052239061,5726.6548509555205,22053.86176449743,23485.52547723631,14750.816682449471,20332.745015051434
2022-01-04 08:00:00,434.3276616431696,1142.857142857143,1144.1904761714345,91540.71866010412,6314.072551258417,23672.438733961895,25250.9568717765,15781.181378203168,22096.587262775873
2022-01-04 08:30:00,428.3903743315508,1142.857142857143,1145.6190475999947,91264.92742460112,6296.037687726182,23599.093710001776,25173.10313193332,15731.8085050869,22030.60809755593
2022-01-04 09:00:00,422.4530870199319,1142.857142857143,1141.7142857142828,90733.13619001306,6256.669490936859,23467.08201958466,25031.249392318878,15645.102298770727,21900.628932564727
2022-01-04 09:30:00,409.29545454545456,1142.857142857143,0.0,35167.707792207795,1637.1818181818182,10710.860389610389,11120.155844155845,7521.5259740259735,8015.85064935065
2022-01-04 10:00:00,381.6770053475936,1142.857142857143,0.0,33565.837738731854,1526.7080213903744,10296.583651642475,10678.260656990069,7245.3414820473645,7629.192360580597
2022-01-04 10:30:00,356.4385026737968,1142.857142857143,0.0,32102.004583651644,1425.7540106951872,9918.006111535524,10274.44461420932,6992.956455309397,7275.853323147441
2022-01-04 11:00:00,343.6624331550802,1142.857142857143,0.0,31360.99255156608,1374.6497326203207,9726.365068754774,10070.027501909855,6865.19576012223,7096.988349885409
2022-01-04 11:30:00,338.7042112299465,1142.857142857143,0.0,31073.41567990833,1354.816844919786,9651.991739877769,9990.695951107715,6815.613540870893,7027.573242933537
2022-01-04 12:00:00,343.89304812834223,1142.857142857143,1556.2294566325238,106073.38213837642,7600.490019043464,26848.348316311465,28748.470821072333,17761.108106282518,25774.970439101366
2022-01-04 12:30:00,351.22660427807483,1142.857142857143,2000.0,127799.71447669977,9404.9064171123,31839.827635599693,34191.05423987777,20940.837471352177,31202.886745607335
2022-01-04 13:00:00,348.27165775401073,1142.857142857143,2000.0,127628.32757830404,9393.086631016044,31795.503437738735,34143.77509549275,20911.288006111536,31161.517494270436
2022-01-04 13:30:00,335.16921313980146,1142.857142857143,2000.0,126868.38579067992,9340.676852559205,31598.96676852559,33934.13598166539,20780.263559969444,30978.083269671508
2022-01-04 14:00:00,324.1155080213904,1142.857142857143,2000.0,126227.27089381206,9296.462032085561,31433.161191749427,33757.27669977082,20669.72650878533,30823.331398013754
2022-01-04 14:30:00,322.3766711229946,1142.857142857143,2000.0,126126.41835370511,9289.506684491978,31407.07863827349,33729.455309396486,20652.338139801373,30798.98768143621
2022-01-04 15:00:00,328.1005347593582,1142.857142857143,2000.0,126458.40244461421,9312.402139037433,31492.936592818944,33821.0371275783,20709.57677616501,30879.1217723453
2022-01-04 15:30:00,344.7786096256684,1142.857142857143,2000.0,127425.7307868602,9379.114438502675,31743.107715813596,34087.88632543926,20876.357524828112,31112.614820473646
2022-01-04 16:00:00,379.1515151515149,1142.857142857143,2000.0,129419.3593073593,9516.60606060606,32258.701298701293,34637.852813852805,21220.08658008658,31593.835497835495
2022-01-04 16:30:00,435.269875222816,1142.857142857143,2000.0,132674.22419149475,9741.079500891265,33100.47669977081,35535.746574993624,21781.270180799587,32379.492538833707
2022-01-04 17:00:00,491.3882352941173,0.0,0.0,28500.517647058805,1965.5529411764692,7370.823529411759,7862.211764705877,4913.882352941173,6879.435294117642
2022-01-04 17:30:00,540.5368983957217,0.0,0.0,31351.140106951858,2162.1475935828867,8108.053475935825,8648.590374331547,5405.368983957216,7567.516577540104
2022-01-04 18:00:00,562.2331550802139,0.0,0.0,32609.52299465241,2248.9326203208557,8433.497326203209,8995.730481283423,5622.331550802139,7871.264171122995
2022-01-04 18:30:00,552.8609625668449,0.0,0.0,32065.935828877005,2211.4438502673797,8292.914438502674,8845.775401069519,5528.60962566845,7740.053475935829
2022-01-04 19:00:00,533.0260249554367,0.0,0.0,30915.50944741533,2132.104099821747,7995.39037433155,8528.416399286987,5330.260249554367,7462.364349376114
2022-01-04 19:30:00,513.1910873440286,0.0,0.0,29765.08306595366,2052.7643493761143,7697.866310160429,8211.057397504457,5131.910873440285,7184.6752228164005
2022-01-04 20:00:00,493.52781886448975,0.0,0.0,28624.613494140405,1974.111275457959,7402.917282967346,7896.445101831836,4935.278188644897,6909.389464102856
2022-01-04 20:30:00,474.5369211514393,0.0,0.0,27523.141426783477,1898.1476846057571,7118.05381727159,7592.590738423029,4745.369211514393,6643.51689612015
2022-01-04 21:00:00,455.5460234383889,1142.857142857143,2000.0,133850.240787998,9822.184093753556,33404.618923004404,35860.16494644279,21984.031662955316,32663.358613851728
2022-01-04 21:30:00,436.44213139801366,1142.857142857143,2000.0,132742.21504965622,9745.768525592055,33118.06054239877,35554.502673796786,21792.992742551563,32395.904125286477
2022-01-04 22:00:00,410.7845683728036,1142.857142857143,2000.0,131254.07639419404,9643.138273491215,32733.197097020624,35143.981665393425,21536.417112299467,32036.698242933537
2022-01-04 22:30:00,383.6941176470588,1142.857142857143,2000.0,129682.83025210083,9534.776470588235,32326.840336134454,34710.53445378151,21265.512605042015,31657.43193277311
2022-01-04 23:00:00,345.9593582887701,1142.857142857143,2000.0,127494.2142093201,9383.83743315508,31760.818945760122,34106.778304048894,20888.16501145913,31129.145301757068
2022-01-04 23:30:00,309.2085561497327,1142.857142857143,2000.0,125362.66768525593,9236.834224598932,31209.55691367456,33518.7654698243,20520.656990068754,30614.634071810542
2022-01-05 00:00:00,275.99999999999994,0.0,0.0,16007.999999999996,1103.9999999999998,4139.999999999999,4415.999999999999,2759.9999999999995,3863.999999999999
2022-01-05 00:30:00,293.41604278074857,957.6598610972482,0.0,26594.729092255897,1173.6641711229943,8231.880086100222,8525.29612888097,5807.14001109923,6023.144321124976
2022-01-05 01:00:00,287.0233957219251,1142.857142857143,0.0,28075.92838044309,1148.0935828877004,8876.779507257448,9163.802902979372,6298.80538579068,6304.041825821238
2022-01-05 01:30:00,283.23684664481624,1142.857142857143,0.0,27856.30853397077,1132.947386579265,8819.981271100816,9103.218117745631,6260.939895019591,6251.030138741713
