,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-01 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-01 00:30:00,0.0,0.0,20.873122529644267,15.0,15.0,,0.0,0.0
2022-01-01 01:00:00,0.0,0.0,20.748935305972594,15.0,15.0,,0.0,0.0
2022-01-01 01:30:00,0.0,0.0,20.62740642882667,15.0,15.0,,0.0,0.0
2022-01-01 02:00:00,0.0,0.0,20.50909726168643,15.0,15.0,,0.0,0.0
2022-01-01 02:30:00,0.0,0.0,20.393969626172364,15.0,15.0,,0.0,0.0
2022-01-01 03:00:00,0.0,0.0,20.283171567363993,15.0,15.0,,0.0,0.0
2022-01-01 03:30:00,0.0,0.0,20.176651746407106,15.0,15.0,,0.0,0.0
2022-01-01 04:00:00,4000.0,0.0,20.073173662457616,15.0,15.0,,1142.857142857143,0.0
2022-01-01 04:30:00,4000.0,0.0,20.20985539768539,15.0,15.0,,1142.857142857143,0.0
2022-01-01 05:00:00,4000.0,0.0,20.345509286250387,15.0,15.0,,1142.857142857143,0.0
2022-01-01 05:30:00,4000.0,0.0,20.480147516057695,15.0,15.0,,1142.857142857143,0.0
2022-01-01 06:00:00,4000.0,0.0,20.613782130491792,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-01 06:30:00,4000.0,0.0,20.746425030130226,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-01 07:00:00,4000.0,0.0,20.878087974436983,21.0,20.5,21.5,1142.857142857143,0.0
2022-01-01 07:30:00,0.0,0.0,21.008782583435753,21.0,20.5,21.5,0.0,0.0
2022-01-01 08:00:00,0.0,0.0,20.90136618916576,21.0,20.5,21.5,0.0,0.0
2022-01-01 08:30:00,0.0,0.0,20.795816392456285,21.0,20.5,21.5,0.0,0.0
2022-01-01 09:00:00,0.0,0.0,20.694482601241386,21.0,20.5,21.5,0.0,0.0
2022-01-01 09:30:00,0.0,0.0,20.597314823361053,21.0,20.5,21.5,0.0,0.0
2022-01-01 10:00:00,0.0,0.0,20.507376307669023,15.0,15.0,,0.0,0.0
2022-01-01 10:30:00,0.0,0.0,20.424581331688756,15.0,15.0,,0.0,0.0
2022-01-01 11:00:00,0.0,0.0,20.346177205226045,15.0,15.0,,0.0,0.0
2022-01-01 11:30:00,0.0,0.0,20.272111862871586,15.0,15.0,,0.0,0.0
2022-01-01 12:00:00,878.4529128327584,0.0,20.207373382284175,15.0,15.0,,250.98654652364527,0.0
2022-01-01 12:30:00,4000.0,0.0,20.203933356772865,15.0,15.0,,1142.857142857143,0.0
2022-01-01 13:00:00,4000.0,0.0,20.387384739894134,15.0,15.0,,1142.857142857143,0.0
2022-01-01 13:30:00,4000.0,0.0,20.570439466298552,15.0,15.0,,1142.857142857143,0.0
2022-01-01 14:00:00,4000.0,0.0,20.744653622824657,15.0,15.0,,1142.857142857143,0.0
2022-01-01 14:30:00,4000.0,0.0,20.910132038364285,15.0,15.0,,1142.857142857143,0.0
2022-01-01 15:00:00,4000.0,0.0,21.06519964265246,15.0,15.0,,1142.857142857143,0.0
2022-01-01 15:30:00,4000.0,0.0,21.20997988404393,15.0,15.0,,1142.857142857143,0.0
2022-01-01 16:00:00,0.0,0.0,21.341037434826017,15.0,15.0,,0.0,0.0
2022-01-01 16:30:00,0.0,0.0,21.221380864452588,15.0,15.0,,0.0,0.0
2022-01-01 17:00:00,0.0,0.0,21.100475162502562,21.0,20.5,21.5,0.0,0.0
2022-01-01 17:30:00,0.0,0.0,20.978335140812806,21.0,20.5,21.5,0.0,0.0
2022-01-01 18:00:00,0.0,0.0,20.85705053440001,21.0,20.5,21.5,0.0,0.0
2022-01-01 18:30:00,0.0,0.0,20.736611200000006,21.0,20.5,21.5,0.0,0.0
2022-01-01 19:00:00,0.0,0.0,20.617600000000003,21.0,20.5,21.5,0.0,0.0
2022-01-01 19:30:00,1980.0000000000073,0.0,20.5,21.0,20.5,21.5,565.7142857142878,0.0
2022-01-01 20:00:00,2000.0000000000334,0.0,20.5,21.0,20.5,21.5,571.428571428581,0.0
2022-01-01 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2022-01-01 21:00:00,0.0,0.0,20.377272727272725,15.0,15.0,,0.0,0.0
2022-01-01 21:30:00,0.0,0.0,20.251850521020476,15.0,15.0,,0.0,0.0
2022-01-01 22:00:00,0.0,0.0,20.125543993103236,15.0,15.0,,0.0,0.0
2022-01-01 22:30:00,0.0,0.0,19.99836362954865,15.0,15.0,,0.0,0.0
2022-01-01 23:00:00,0.0,0.0,19.87091267741961,15.0,15.0,,0.0,0.0
2022-01-01 23:30:00,0.0,0.0,19.743194345276294,15.0,15.0,,0.0,0.0
2022-01-02 00:00:00,0.0,0.0,19.743194345276294,15.0,15.0,,0.0,0.0
2022-01-02 00:30:00,527.4896667677976,0.0,19.614618918257207,15.0,15.0,,150.7113333622279,0.0
2022-01-02 01:00:00,4000.0,0.0,19.516470650457784,15.0,15.0,,1142.857142857143,0.0
2022-01-02 01:30:00,4000.0,0.0,19.622994713891092,15.0,15.0,,1142.857142857143,0.0
2022-01-02 02:00:00,4000.0,0.0,19.72706987538645,15.0,15.0,,1142.857142857143,0.0
