,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-01 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-01 00:30:00,0.0,0.0,20.873122529644267,15.0,15.0,,0.0,0.0
2022-01-01 01:00:00,0.0,0.0,20.748935305972594,15.0,15.0,,0.0,0.0
2022-01-01 01:30:00,0.0,0.0,20.62740642882667,15.0,15.0,,0.0,0.0
2022-01-01 02:00:00,0.0,0.0,20.50909726168643,15.0,15.0,,0.0,0.0
2022-01-01 02:30:00,0.0,0.0,20.393969626172364,15.0,15.0,,0.0,0.0
2022-01-01 03:00:00,0.0,0.0,20.283171567363993,15.0,15.0,,0.0,0.0
2022-01-01 03:30:00,0.0,0.0,20.176651746407106,15.0,15.0,,0.0,0.0
2022-01-01 04:00:00,0.0,0.0,20.073173662457616,15.0,15.0,,0.0,0.0
2022-01-01 04:30:00,0.0,0.0,19.972701247487763,15.0,15.0,,0.0,0.0
2022-01-01 05:00:00,6880.115159951223,0.0,19.874013090402926,15.0,15.0,,1965.7471885574923,0.0
2022-01-01 05:30:00,7000.0,0.0,20.185,15.0,15.0,,2000.0,0.0
2022-01-01 06:00:00,1739.9999999999939,0.0,20.5,21.0,20.5,21.5,497.1428571428554,0.0
2022-01-01 06:30:00,3328.832430900624,0.0,20.5,21.0,20.5,21.5,951.0949802573211,0.0
2022-01-01 07:00:00,7000.0,0.0,20.59479243661466,21.0,20.5,21.5,2000.0,0.0
2022-01-01 07:30:00,0.0,0.0,20.906711893888005,21.0,20.5,21.5,0.0,0.0
2022-01-01 08:00:00,0.0,0.0,20.800505824000002,21.0,20.5,21.5,0.0,0.0
2022-01-01 08:30:00,0.0,0.0,20.696152,21.0,20.5,21.5,0.0,0.0
2022-01-01 09:00:00,0.0,0.0,20.596,21.0,20.5,21.5,0.0,0.0
2022-01-01 09:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2022-01-01 10:00:00,0.0,0.0,20.41121541501976,15.0,15.0,,0.0,0.0
2022-01-01 10:30:00,0.0,0.0,20.32956068677842,15.0,15.0,,0.0,0.0
2022-01-01 11:00:00,0.0,0.0,20.252283287330457,15.0,15.0,,0.0,0.0
2022-01-01 11:30:00,0.0,0.0,20.179331311591362,15.0,15.0,,0.0,0.0
2022-01-01 12:00:00,0.0,0.0,20.115692995643638,15.0,15.0,,0.0,0.0
2022-01-01 12:30:00,0.0,0.0,20.061257900833635,15.0,15.0,,0.0,0.0
2022-01-01 13:00:00,0.0,0.0,20.009246937582642,15.0,15.0,,0.0,0.0
2022-01-01 13:30:00,6435.983177200494,0.0,19.95963136124767,15.0,15.0,,1838.8523363429981,0.0
2022-01-01 14:00:00,7000.0,0.0,20.28551418169931,15.0,15.0,,2000.0,0.0
2022-01-01 14:30:00,7000.0,0.0,20.63430255108627,15.0,15.0,,2000.0,0.0
2022-01-01 15:00:00,7000.0,0.0,20.970506473405408,15.0,15.0,,2000.0,0.0
2022-01-01 15:30:00,7000.0,0.0,21.29427517134922,15.0,15.0,,2000.0,0.0
2022-01-01 16:00:00,0.0,0.0,21.602198785918198,15.0,15.0,,0.0,0.0
2022-01-01 16:30:00,0.0,0.0,21.47944544063063,15.0,15.0,,0.0,0.0
2022-01-01 17:00:00,0.0,0.0,21.355479684417624,21.0,20.5,21.5,0.0,0.0
2022-01-01 17:30:00,0.0,0.0,21.2303158936933,21.0,20.5,21.5,0.0,0.0
2022-01-01 18:00:00,0.0,0.0,21.106043373214725,21.0,20.5,21.5,0.0,0.0
2022-01-01 18:30:00,0.0,0.0,20.982651554560004,21.0,20.5,21.5,0.0,0.0
2022-01-01 19:00:00,0.0,0.0,20.86072288,21.0,20.5,21.5,0.0,0.0
2022-01-01 19:30:00,0.0,0.0,20.74024,21.0,20.5,21.5,0.0,0.0
2022-01-01 20:00:00,0.0,0.0,20.62,21.0,20.5,21.5,0.0,0.0
2022-01-01 20:30:00,0.0,0.0,20.5,21.0,20.5,21.5,0.0,0.0
2022-01-01 21:00:00,0.0,0.0,20.377272727272725,15.0,15.0,,0.0,0.0
2022-01-01 21:30:00,0.0,0.0,20.251850521020476,15.0,15.0,,0.0,0.0
2022-01-01 22:00:00,0.0,0.0,20.125543993103236,15.0,15.0,,0.0,0.0
2022-01-01 22:30:00,0.0,0.0,19.99836362954865,15.0,15.0,,0.0,0.0
2022-01-01 23:00:00,0.0,0.0,19.87091267741961,15.0,15.0,,0.0,0.0
2022-01-01 23:30:00,0.0,0.0,19.743194345276294,15.0,15.0,,0.0,0.0
2022-01-02 00:00:00,0.0,0.0,19.743194345276294,15.0,15.0,,0.0,0.0
2022-01-02 00:30:00,0.0,0.0,19.614618918257207,15.0,15.0,,0.0,0.0
2022-01-02 01:00:00,0.0,0.0,19.485196559542693,15.0,15.0,,0.0,0.0
2022-01-02 01:30:00,0.0,0.0,19.35493731180108,15.0,15.0,,0.0,0.0
2022-01-02 02:00:00,0.0,0.0,19.225036869368655,15.0,15.0,,0.0,0.0
2022-01-02 02:30:00,0.0,0.0,19.09549097763701,15.0,15.0,,0.0,0.0
2022-01-02 03:00:00,4479.513019987075,0.0,18.966295432447637,15.0,15.0,,1279.8608628534498,0.0
