,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2018-02-20 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2018-02-20 00:30:00,0.0,0.0,20.838735177865612,15.0,15.0,,0.0,0.0
2018-02-20 01:00:00,0.0,0.0,20.677603930697245,15.0,15.0,,0.0,0.0
2018-02-20 01:30:00,0.0,0.0,20.516604674602018,15.0,15.0,,0.0,0.0
2018-02-20 02:00:00,0.0,0.0,20.352771417590926,15.0,15.0,,0.0,0.0
2018-02-20 02:30:00,0.0,0.0,20.18613776441791,15.0,15.0,,0.0,0.0
2018-02-20 03:00:00,0.0,0.0,20.01792269211256,15.0,15.0,,0.0,0.0
2018-02-20 03:30:00,0.0,0.0,19.848144952680393,15.0,15.0,,0.0,0.0
2018-02-20 04:00:00,0.0,0.0,19.676823075771136,15.0,15.0,,0.0,0.0
2018-02-20 04:30:00,3776.476345743445,0.0,19.503975371315352,15.0,15.0,,1078.9932416409843,0.0
2018-02-20 05:00:00,7000.0,0.0,19.554114577134346,15.0,15.0,,2000.0,0.0
2018-02-20 05:30:00,7000.0,0.0,19.79181282325528,15.0,15.0,,2000.0,0.0
2018-02-20 06:00:00,7000.0,0.0,20.026099627722612,21.0,20.0,22.0,2000.0,0.0
2018-02-20 06:30:00,7000.0,0.0,20.257015442413646,21.0,20.0,22.0,2000.0,0.0
2018-02-20 07:00:00,7000.0,0.0,20.48460023953918,21.0,20.0,22.0,2000.0,0.0
2018-02-20 07:30:00,0.0,0.0,20.7088935173312,21.0,20.0,22.0,0.0,0.0
2018-02-20 08:00:00,0.0,0.0,20.516544977600002,21.0,20.0,22.0,0.0,0.0
2018-02-20 08:30:00,0.0,0.0,20.3275148,21.0,20.0,22.0,0.0,0.0
2018-02-20 09:00:00,0.0,0.0,20.1554,21.0,20.0,22.0,0.0,0.0
2018-02-20 09:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0
2018-02-20 10:00:00,0.0,0.0,19.867490118577074,15.0,15.0,,0.0,0.0
2018-02-20 10:30:00,0.0,0.0,19.75759893140027,15.0,15.0,,0.0,0.0
2018-02-20 11:00:00,0.0,0.0,19.669317125889595,15.0,15.0,,0.0,0.0
2018-02-20 11:30:00,0.0,0.0,19.602388464317784,15.0,15.0,,0.0,0.0
2018-02-20 12:00:00,0.0,0.0,19.548852237468164,15.0,15.0,,0.0,0.0
2018-02-20 12:30:00,0.0,0.0,19.508549641766958,15.0,15.0,,0.0,0.0
2018-02-20 13:00:00,5192.953006762,0.0,19.472578697398177,15.0,15.0,,1483.7008590748571,0.0
2018-02-20 13:30:00,7000.0,0.0,19.748770630241005,15.0,15.0,,2000.0,0.0
2018-02-20 14:00:00,7000.0,0.0,20.121117223558304,15.0,15.0,,2000.0,0.0
2018-02-20 14:30:00,7000.0,0.0,20.481341129998324,15.0,15.0,,2000.0,0.0
2018-02-20 15:00:00,7000.0,0.0,20.82365724308135,15.0,15.0,,2000.0,0.0
2018-02-20 15:30:00,7000.0,0.0,21.14827790818315,15.0,15.0,,2000.0,0.0
2018-02-20 16:00:00,0.0,0.0,21.457932715595998,15.0,15.0,,0.0,0.0
2018-02-20 16:30:00,0.0,0.0,21.33777936323715,15.0,15.0,,0.0,0.0
2018-02-20 17:00:00,0.0,0.0,21.201708856953704,21.0,20.0,22.0,0.0,0.0
2018-02-20 17:30:00,0.0,0.0,21.049909937701287,21.0,20.0,22.0,0.0,0.0
2018-02-20 18:00:00,0.0,0.0,20.88790507677993,21.0,20.0,22.0,0.0,0.0
