,Q_hp,Q_bo,Tin,T_set,T_low,T_high,Pe_hp,Pg_bo
2022-01-01 00:00:00,0.0,0.0,21.0,15.0,15.0,,0.0,0.0
2022-01-01 00:30:00,0.0,0.0,20.873122529644267,15.0,15.0,,0.0,0.0
2022-01-01 01:00:00,0.0,0.0,20.748935305972594,15.0,15.0,,0.0,0.0
2022-01-01 01:30:00,0.0,0.0,20.62740642882667,15.0,15.0,,0.0,0.0
2022-01-01 02:00:00,0.0,0.0,20.50909726168643,15.0,15.0,,0.0,0.0
2022-01-01 02:30:00,0.0,0.0,20.393969626172364,15.0,15.0,,0.0,0.0
2022-01-01 03:00:00,0.0,0.0,20.283171567363993,15.0,15.0,,0.0,0.0
2022-01-01 03:30:00,0.0,0.0,20.176651746407106,15.0,15.0,,0.0,0.0
2022-01-01 04:00:00,0.0,0.0,20.073173662457616,15.0,15.0,,0.0,0.0
2022-01-01 04:30:00,0.0,0.0,19.972701247487763,15.0,15.0,,0.0,0.0
2022-01-01 05:00:00,1381.581826617941,0.0,19.874013090402926,15.0,15.0,,394.73766474798316,0.0
2022-01-01 05:30:00,4000.0,0.0,19.859,15.0,15.0,,1142.857142857143,0.0
2022-01-01 06:00:00,1639.9999999999832,0.0,20.0,21.0,20.0,22.0,468.5714285714238,0.0
2022-01-01 06:30:00,1630.0,0.0,20.0,21.0,20.0,22.0,465.7142857142857,0.0
2022-01-01 07:00:00,1620.0000000000168,0.0,20.0,21.0,20.0,22.0,462.85714285714766,0.0
2022-01-01 07:30:00,1610.0000000000339,0.0,20.0,21.0,20.0,22.0,460.00000000000966,0.0
2022-01-01 08:00:00,1599.999999999991,0.0,20.0,21.0,20.0,22.0,457.14285714285455,0.0
2022-01-01 08:30:00,1550.0000000000155,0.0,20.0,21.0,20.0,22.0,442.85714285714727,0.0
2022-01-01 09:00:00,1499.9999999999802,0.0,20.0,21.0,20.0,22.0,428.5714285714229,0.0
2022-01-01 09:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0
2022-01-01 10:00:00,0.0,0.0,19.917144268774702,15.0,15.0,,0.0,0.0
2022-01-01 10:30:00,0.0,0.0,19.841348091674607,15.0,15.0,,0.0,0.0
2022-01-01 11:00:00,0.0,0.0,19.769859774382024,15.0,15.0,,0.0,0.0
2022-01-01 11:30:00,0.0,0.0,19.70262823555536,15.0,15.0,,0.0,0.0
2022-01-01 12:00:00,0.0,0.0,19.64464252525233,15.0,15.0,,0.0,0.0
2022-01-01 12:30:00,0.0,0.0,19.595793009142618,15.0,15.0,,0.0,0.0
2022-01-01 13:00:00,0.0,0.0,19.549301392433417,15.0,15.0,,0.0,0.0
2022-01-01 13:30:00,0.0,0.0,19.5051397158433,15.0,15.0,,0.0,0.0
2022-01-01 14:00:00,0.0,0.0,19.45483173502302,15.0,15.0,,0.0,0.0
2022-01-01 14:30:00,1385.0183611435027,0.0,19.398450331050416,15.0,15.0,,395.7195317552865,0.0
2022-01-01 15:00:00,4000.0,0.0,19.4164045777856,15.0,15.0,,1142.857142857143,0.0
2022-01-01 15:30:00,4000.0,0.0,19.580735748800002,15.0,15.0,,1142.857142857143,0.0
2022-01-01 16:00:00,4000.0,0.0,19.7311124,15.0,15.0,,1142.857142857143,0.0
2022-01-01 16:30:00,4000.0,0.0,19.8677,15.0,15.0,,1142.857142857143,0.0
2022-01-01 17:00:00,1840.0000000000043,0.0,20.0,21.0,20.0,22.0,525.7142857142869,0.0
2022-01-01 17:30:00,1849.9999999999875,0.0,20.0,21.0,20.0,22.0,528.571428571425,0.0
2022-01-01 18:00:00,1860.0000000000305,0.0,20.0,21.0,20.0,22.0,531.4285714285801,0.0
2022-01-01 18:30:00,1860.0000000000305,0.0,20.0,21.0,20.0,22.0,531.4285714285801,0.0
2022-01-01 19:00:00,1860.0000000000305,0.0,20.0,21.0,20.0,22.0,531.4285714285801,0.0
2022-01-01 19:30:00,1879.9999999999968,0.0,20.0,21.0,20.0,22.0,537.1428571428562,0.0
2022-01-01 20:00:00,1900.0000000000227,0.0,20.0,21.0,20.0,22.0,542.8571428571494,0.0
2022-01-01 20:30:00,0.0,0.0,20.0,21.0,20.0,22.0,0.0,0.0
2022-01-01 21:00:00,0.0,0.0,19.883201581027667,15.0,15.0,,0.0,0.0
2022-01-01 21:30:00,0.0,0.0,19.763637925916665,15.0,15.0,,0.0,0.0
2022-01-01 22:00:00,0.0,0.0,19.643120480154806,15.0,15.0,,0.0,0.0
2022-01-01 22:30:00,0.0,0.0,19.521660553512653,15.0,15.0,,0.0,0.0
2022-01-01 23:00:00,0.0,0.0,19.399862207028313,15.0,15.0,,0.0,0.0
2022-01-01 23:30:00,0.0,0.0,19.277729453585287,15.0,15.0,,0.0,0.0
2022-01-02 00:00:00,0.0,0.0,19.277729453585287,15.0,15.0,,0.0,0.0
2022-01-02 00:30:00,0.0,0.0,19.15467337310799,15.0,15.0,,0.0,0.0
2022-01-02 01:00:00,2706.997456182234,0.0,19.03070491413833,15.0,15.0,,773.4278446234955,0.0
2022-01-02 01:30:00,4000.0,0.0,19.066328815720617,15.0,15.0,,1142.857142857143,0.0
2022-01-02 02:00:00,4000.0,0.0,19.17700475861721,15.0,15.0,,1142.857142857143,0.0
