run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
1,791.303507481996,791.3035074819992,791.303507481996,5000,42
2,782.8410397827399,791.6089235063298,800.3768072299172,5000,42
3,778.8485130198179,791.6860686312456,805.0470652352597,5000,42
4,776.211652484785,791.7266643822412,808.1792907785034,5000,42
5,774.2972480636824,791.680519134008,810.3679843867355,5000,42
6,772.9139466377645,791.6649201688568,812.1044840412372,5000,42
7,771.7623779068907,791.6382742436194,813.4756166032547,5000,42
8,770.8792769811956,791.6492309461169,814.6152714453103,5000,42
9,770.1008612359924,791.6492083755363,815.5910783995371,5000,42
10,769.5088533272598,791.6804887945851,816.393354151569,5000,42
11,768.9128643695678,791.6413492050656,817.0861398335298,5000,42
12,768.4183909285184,791.6179207676903,817.6716697250039,5000,42
13,767.9798013671071,791.6263106459547,818.3118858091862,5000,42
14,767.5589787097526,791.6057164734539,818.8198122888788,5000,42
15,767.2141960977832,791.6257627700614,819.3470654589075,5000,42
16,766.9064904289246,791.6203304351674,819.7301389746021,5000,42
17,766.6636862330389,791.6364568091827,820.1206012559003,5000,42
18,766.4335968587168,791.6595861007157,820.5238762502803,5000,42
19,766.1628871940416,791.6291866993073,820.8114265247423,5000,42
20,765.9822985897681,791.6350363052593,821.0742142212448,5000,42
21,765.8042766279282,791.6327764527896,821.2932307731344,5000,42
22,765.6474565458219,791.633612252061,821.5410237404853,5000,42
23,765.496398649867,791.6257194688093,821.7621093158269,5000,42
24,765.3889333944172,791.6254881047645,821.9660345377677,5000,42
25,765.2687756453118,791.640706320072,822.148559365483,5000,42
26,765.1430480710102,791.6418317941014,822.3166794760248,5000,42
27,765.0347784295138,791.644279015616,822.4822961507367,5000,42
28,764.9096324009972,791.6291999360756,822.5828530650302,5000,42
29,764.8306067057971,791.6260292159357,822.7020501322486,5000,42
30,764.7731280789226,791.62721136274,822.7919521673088,5000,42
31,764.6734136978,791.6082088031569,822.8685277584094,5000,42
32,764.6083881649288,791.6094800200497,822.9210049268896,5000,42
33,764.5619422331877,791.5885423755552,822.9633422109107,5000,42
34,764.5171432353093,791.5826376400433,823.0369603865325,5000,42
35,764.4662705340804,791.5765250210636,823.0878169087665,5000,42
36,764.4212934944586,791.5793719942185,823.1291700810389,5000,42
37,764.3633081775869,791.5809354969643,823.206553053674,5000,42
38,764.3051675961302,791.5728149945476,823.223850534472,5000,42
39,764.2719649912441,791.5679284316338,823.2976203332647,5000,42
40,764.2308083495305,791.5618182813117,823.3424082117831,5000,42
41,764.2057641460851,791.5708445674461,823.3779341304931,5000,42
42,764.1431551689204,791.557014247223,823.4582286553823,5000,42
43,764.0560809634477,791.550871507349,823.5200451526707,5000,42
44,763.9915196227968,791.5590243894767,823.6156619072713,5000,42
45,763.8941162518877,791.5550932263147,823.7211746930867,5000,42
46,763.8108390242656,791.5482765399181,823.773925462131,5000,42
47,763.7072584658099,791.5569933859806,823.8908495296348,5000,42
48,763.6358295833644,791.5538623797519,823.9625638265327,5000,42
49,763.5821793655575,791.5523961280697,824.0401504876515,5000,42
50,763.5100600449231,791.5537356907664,824.092085591328,5000,42
51,763.4663680007493,791.5594993395999,824.158130594121,5000,42
52,763.3941771646196,791.5588021635681,824.2089733825995,5000,42
53,763.336299504978,791.5622937143461,824.2740820767332,5000,42
54,763.3095140361393,791.5598852220916,824.3062921108883,5000,42
55,763.2754920623437,791.5635453563485,824.3544467206158,5000,42
56,763.2347125275049,791.5645477652599,824.3964256141988,5000,42
57,763.2049301424574,791.5608517154332,824.433216971244,5000,42
58,763.1676990073714,791.5671900422575,824.4935467339089,5000,42
59,763.1323966271522,791.5669081946379,824.530853439807,5000,42
60,763.1006599756979,791.5694776214864,824.5854292524448,5000,42
61,763.079710643798,791.5677732662324,824.6320150053199,5000,42
62,763.0482975282576,791.5668056107264,824.6706880582972,5000,42
63,763.0213766291937,791.5659347283298,824.6902622201429,5000,42
64,763.001831322232,791.5663434553538,824.7155583401857,5000,42
65,762.9793892152995,791.5624213320443,824.7462995419015,5000,42
66,762.9686684096023,791.5611991371861,824.7680736017203,5000,42
67,762.954414829541,791.5586928759785,824.7856619477113,5000,42
68,762.9327084521508,791.5602217530773,824.8238424376899,5000,42
69,762.917148862898,791.5599544806279,824.8374830021901,5000,42
70,762.9199505390352,791.557925225049,824.863732407522,5000,42
71,762.9082877798099,791.5572207373064,824.8805733976408,5000,42
72,762.9116882514804,791.5605546732453,824.8994462931644,5000,42
73,762.894693511077,791.5598695804524,824.9190922008243,5000,42
74,762.8966864938291,791.5617418341786,824.929262193941,5000,42
75,762.8830763925124,791.5613403179779,824.9417626878071,5000,42
76,762.8754081964636,791.5607193182706,824.9556300704095,5000,42
77,762.8749144258509,791.5649686006369,824.987589508236,5000,42
78,762.8713646911182,791.5640777667113,825.0077229308041,5000,42
79,762.850532983613,791.5647266008875,825.0039256631534,5000,42
80,762.8560013214507,791.5664071417154,825.0140921674732,5000,42
81,762.8393985720429,791.5658715261519,825.0207463713193,5000,42
82,762.8025595551829,791.5653251508966,825.0536913497647,5000,42
83,762.7756314291319,791.565244033428,825.0799999847699,5000,42
84,762.751902242904,791.5706918288589,825.1169346305326,5000,42
85,762.7168367534425,791.5687655437881,825.1531090718431,5000,42
86,762.6888018623439,791.5677912707582,825.1884033383997,5000,42
87,762.6582151958497,791.5746588504136,825.2123478962975,5000,42
88,762.6482598681711,791.5807944411536,825.2486543144481,5000,42
89,762.6380625487061,791.5807264901708,825.2740160395314,5000,42
90,762.6092546120155,791.5766030242695,825.288149811055,5000,42
91,762.5970859117201,791.5799285014272,825.3094246246658,5000,42
92,762.586570163245,791.5782169203536,825.3179543767785,5000,42
93,762.5602919828368,791.5817991335124,825.346355670622,5000,42
94,762.5414624457215,791.5833309549682,825.3625429035347,5000,42
95,762.5211596947149,791.5819549267156,825.3841154239825,5000,42
96,762.5082091858727,791.5821587979265,825.4018166160151,5000,42
97,762.4991795857172,791.580557159379,825.4258813912786,5000,42
98,762.4704246003632,791.5769689441187,825.4463747026376,5000,42
99,762.4472137088525,791.5739906992106,825.4737346056685,5000,42
100,762.4307308795807,791.5745585622451,825.4876448432769,5000,42
101,762.4159253288079,791.573124674699,825.5042082214927,5000,42
102,762.3973020417144,791.5727050183096,825.5173509853165,5000,42
103,762.3772735897437,791.573052875495,825.5270410929209,5000,42
104,762.3662524645689,791.5726235347104,825.5404808383385,5000,42
105,762.3430327568052,791.5723269142467,825.5444362647962,5000,42
106,762.330957632303,791.5709350108231,825.5524530138235,5000,42
107,762.319867876386,791.5676193304283,825.5590663379144,5000,42
108,762.3068207681889,791.5671762662256,825.5809810498303,5000,42
109,762.3037803260715,791.5675586666765,825.5920080265026,5000,42
110,762.309440218244,791.5708071164532,825.6016903023265,5000,42
111,762.3075014903044,791.5695070143569,825.6060839502992,5000,42
112,762.2900380836231,791.5640608278637,825.599630042725,5000,42
113,762.2854083871731,791.5606705371296,825.6013097950272,5000,42
114,762.2814808556022,791.5630056874804,825.6000158873437,5000,42
115,762.2668340800484,791.5628778541002,825.5953177203127,5000,42
116,762.2706714897059,791.5637451423572,825.5974652689507,5000,42
117,762.2695028760329,791.5632070239285,825.6000515112818,5000,42
118,762.2642024360922,791.5637572364942,825.6097267315148,5000,42
