run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
1,7.518273809935112,7.518273809935045,7.518273809935112,5000,42
2,7.056772371720687,7.516693040508006,7.976613709295333,5000,42
3,6.856190433613648,7.51172065854636,8.235349265866198,5000,42
4,6.74519731577011,7.511690857388782,8.413145510614948,5000,42
5,6.678462509318592,7.514994437126107,8.549925340676767,5000,42
6,6.628305411186849,7.516936940620889,8.651414685439018,5000,42
7,6.590059384619051,7.5177378282018985,8.732276851990102,5000,42
8,6.563352303886583,7.520799200639798,8.801268289604204,5000,42
9,6.538245144254622,7.51990808867321,8.85823148565856,5000,42
10,6.52256948120411,7.522949684142916,8.909154959703793,5000,42
11,6.506156820990436,7.522990810387357,8.954676114412283,5000,42
12,6.4948057623785065,7.520933145072069,8.990953408255757,5000,42
13,6.485493403199565,7.520843027513625,9.021543276292311,5000,42
14,6.476728897591501,7.520599560324205,9.051072575658143,5000,42
15,6.4697024873715065,7.521643861521561,9.077802326926424,5000,42
16,6.462851797825545,7.521007558166305,9.102690540169297,5000,42
17,6.457617055224844,7.522193893522979,9.124534921475146,5000,42
18,6.45322428472871,7.522306366031857,9.142105226032031,5000,42
19,6.449055257625555,7.522616010980503,9.160229028960893,5000,42
20,6.4461178694838015,7.522372534515306,9.176422153133643,5000,42
21,6.44309487870275,7.523314377715942,9.192182437592978,5000,42
22,6.440275194449068,7.521720033619138,9.202925583332808,5000,42
23,6.437617235889421,7.521072602691157,9.21433523255231,5000,42
24,6.43575456020907,7.5211436952935635,9.225543586462866,5000,42
25,6.433638242528719,7.520161832567422,9.234216251605144,5000,42
26,6.431571018348368,7.519105286093868,9.240383065468949,5000,42
27,6.429906000190476,7.519384614588559,9.248751119857141,5000,42
28,6.428153101857143,7.519066826759954,9.257291720523808,5000,42
29,6.426901081523809,7.519285214463871,9.265537645519755,5000,42
30,6.42548914602381,7.519276368778301,9.272827655523809,5000,42
31,6.424416217857144,7.520178283997773,9.280338201190476,5000,42
32,6.423425083690476,7.519729741720721,9.284724839857143,5000,42
33,6.422292110857143,7.519970517702857,9.290770124190475,5000,42
34,6.42168734352381,7.5204501196087135,9.295649714857142,5000,42
