run,peak_electricity_kw,demand_target,source_columns,source_file,cumulative_avg_peak_kw
1,775.0511695807606,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_01.csv,775.0511695807606
2,803.753606406608,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_02.csv,789.4023879936843
3,774.6402118000905,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_03.csv,784.4816625958197
4,777.4159588940071,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_04.csv,782.7152366703665
5,770.033158261844,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_05.csv,780.178820988662
6,818.6493807359246,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_06.csv,786.590580946539
7,797.127347619047,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_07.csv,788.095833328326
8,811.9766426416957,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_08.csv,791.0809344924971
9,761.2042589370266,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_09.csv,787.7613038752227
10,769.5968086847664,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_10.csv,785.9448543561771
11,811.2625285714283,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_11.csv,788.2464611030181
12,791.6763684928524,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_12.csv,788.5322867188376
13,813.0655060040792,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_13.csv,790.4194574330869
14,793.7063428571431,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_14.csv,790.6542349633767
15,781.9080054525366,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_15.csv,790.0711529959874
16,807.1813733282746,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_16.csv,791.1405417667553
17,825.0680698642005,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_17.csv,793.1362787136638
18,768.6929663912456,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_18.csv,791.7783169179739
19,760.2805460599267,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_19.csv,790.1205395043925
20,790.8268590420236,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_20.csv,790.155855481274
21,806.6174174899926,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_21.csv,790.9397393864512
22,775.8530444090486,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_22.csv,790.253980523842
23,776.3958433717704,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_23.csv,789.6514528215779
24,781.9545690329613,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_24.csv,789.3307493303855
25,786.5086825279026,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_25.csv,789.2178666582862
26,817.4288031498555,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_26.csv,790.3029026771928
27,790.3374780702986,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_27.csv,790.3041832473078
28,783.6548095238094,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_28.csv,790.0667056143258
29,808.6504285714291,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_29.csv,790.7075236473293
