run,peak_electricity_kw,demand_target,source_columns,source_file,cumulative_avg_peak_kw
1,8.184190476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_01.csv,8.184190476190476
2,6.791990476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_02.csv,7.488090476190476
3,7.8445238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_03.csv,7.606901587301587
4,7.5008904761904756,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_04.csv,7.5803988095238095
5,7.506757142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_05.csv,7.565670476190476
6,6.605723809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_06.csv,7.405679365079365
7,6.390723809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_07.csv,7.260685714285714
8,7.18812380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_08.csv,7.2516154761904765
9,6.638357142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_09.csv,7.183475661375662
10,6.547323809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_10.csv,7.1198604761904765
11,8.222790476190475,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_11.csv,7.220126839826841
12,6.541757142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_12.csv,7.163596031746032
13,7.3788238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_13.csv,7.180152014652014
14,7.932857142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_14.csv,7.2339166666666666
15,7.189057142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_15.csv,7.230926031746032
16,8.222790476190475,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_16.csv,7.29291755952381
17,6.474523809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_17.csv,7.24477675070028
18,6.553257142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_18.csv,7.206358994708994
19,6.476290476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_19.csv,7.167934335839599
20,6.732257142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_20.csv,7.146150476190476
21,8.463357142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_21.csv,7.208874603174603
22,8.863190476190475,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_22.csv,7.284070779220778
23,10.166790476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_23.csv,7.409406418219462
24,7.349757142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_24.csv,7.406921031746031
25,7.10912380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_25.csv,7.395009142857143
26,7.467390476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_26.csv,7.39779304029304
27,7.9874238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_27.csv,7.419631216931216
28,7.3697904761904764,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_28.csv,7.417851190476191
