run_count,empirical_p2_5_peak_kw,empirical_p50_peak_kw,empirical_p97_5_peak_kw
1,775.0511695807606,775.0511695807606,775.0511695807606
2,775.7687305014068,789.4023879936843,803.0360454859618
3,774.660759689124,775.0511695807606,802.3184845653157
4,774.6710336336407,776.2335642373839,801.778282843163
5,770.4938636156687,775.0511695807606,801.119841655348
6,770.6090399541249,776.2335642373839,816.78740894476
7,770.724216292581,777.4159588940071,816.4150145865271
8,770.8393926310372,787.2716532565271,817.4816515694346
9,762.9700388019901,777.4159588940071,817.3148331170788
10,763.092582630268,776.2335642373839,817.1480146647231
11,763.3023963739615,777.4159588940071,816.9811962123674
12,763.5122101176551,784.5461636934297,816.8143777600117
13,763.7220238613485,791.6763684928524,816.974218316371
14,763.931837605042,792.6913556749978,816.8346214480749
15,764.1416513487355,791.6763684928524,816.6950245797788
16,764.351465092429,792.6913556749978,816.5554277114826
17,764.5612788361225,793.7063428571431,822.5005942128902
18,764.3869596050697,792.6913556749978,822.3401269846833
19,760.6962168546216,791.6763684928524,822.1796597564764
20,760.7193096765491,791.2516137674379,822.0191925282695
21,760.7424024984766,791.6763684928524,821.8587253000626
22,760.7654953204042,791.2516137674379,821.6982580718557
23,760.7885881423316,790.8268590420236,821.5377908436487
24,760.8116809642592,786.3907140374924,821.3773236154419
25,760.8347737861866,786.5086825279026,821.216856387235
26,760.8578666081141,788.6677707849631,821.0563891590281
27,760.8809594300416,790.3374780702986,820.8959219308211
28,760.9040522519691,788.4230802991005,820.7354547026143
29,760.9271450738966,790.3374780702986,820.5749874744074
30,760.9502378958241,790.5821685561612,820.4145202462005
31,760.9733307177517,790.3374780702986,820.2540530179936
32,760.9964235396791,788.4230802991005,820.0935857897867
33,761.0195163616066,790.3374780702986,819.9331185615798
34,761.0426091835341,788.4230802991005,819.7726513333729
35,761.0657020054616,786.5086825279026,819.612184105166
36,761.088794827389,788.4230802991005,819.4517168769592
37,761.1118876493166,786.5086825279026,819.2912496487522
38,761.134980471244,788.4230802991005,819.1307824205453
39,761.1580732931716,790.3374780702986,818.9703151923384
40,761.181166115099,788.4230802991005,818.8098479641316
41,761.2042589370266,790.3374780702986,825.0680698642005
42,761.391476623382,788.4230802991005,824.9076026359936
43,761.5786943097376,790.3374780702986,824.7471354077867
44,761.765911996093,789.6714710401402,824.5866681795799
45,761.9531296824484,790.3374780702986,824.426200951373
46,762.140347368804,790.5821685561612,824.265733723166
47,761.6185635629694,790.3374780702986,824.1052664949592
48,761.6876143339598,789.6714710401402,823.9447992667523
49,761.7566651049502,790.3374780702986,823.7843320385454
50,761.8257158759407,790.5821685561612,823.6238648103384
51,761.8947666469312,790.3374780702986,823.4633975821316
52,761.427678178776,789.6714710401402,823.3029303539247
53,761.447989018935,790.3374780702986,823.1424631257178
54,761.468299859094,789.6714710401402,822.9819958975108
55,761.4886106992531,789.0054640099819,822.8215286693039
56,761.5089215394121,789.6714710401402,822.6610614410971
57,761.5292323795711,789.0054640099819,822.5005942128902
58,761.5495432197301,789.6714710401402,822.3401269846833
59,761.5698540598892,790.3374780702986,822.1796597564763
60,761.5901649000482,789.6714710401402,822.0191925282695
61,761.6104757402072,789.0054640099819,821.8587253000626
62,761.6307865803664,789.6714710401402,824.9705331854955
63,761.6510974205254,790.3374780702986,824.9658885817477
64,761.6714082606844,790.5821685561612,824.9612439779997
65,761.6917191008434,790.3374780702986,824.9565993742519
66,761.7120299410025,789.6714710401402,824.951954770504
67,761.7323407811615,790.3374780702986,824.9473101667562
68,761.7526516213205,789.6714710401402,824.9426655630083
69,761.7729624614796,789.0054640099819,824.9380209592605
70,761.7932733016386,788.2422929172692,824.9333763555126
71,761.8135841417976,789.0054640099819,824.9287317517648
72,761.8338949819566,788.2422929172692,824.9240871480168
73,761.8542058221157,789.0054640099819,824.919442544269
74,761.8745166622747,789.6714710401402,824.9147979405211
75,761.8948275024338,789.0054640099819,824.9101533367733
76,761.9151383425929,789.6714710401402,824.9055087330254
77,761.9354491827519,789.0054640099819,824.9008641292776
78,761.9557600229109,788.9213349553445,824.8962195255297
79,761.9760708630699,788.8372059007071,824.8915749217819
80,761.996381703229,788.1581638626319,824.8869303180339
81,762.016692543388,788.8372059007071,824.8822857142861
82,762.0654324742194,788.9213349553445,824.874612219388
83,762.1141724050508,789.0054640099819,824.8669387244901
84,761.4294832318072,788.9213349553445,824.859265229592
85,761.4453537537419,788.8372059007071,824.8515917346939
86,761.4612242756764,788.1581638626319,824.8439182397959
87,761.477094797611,787.4791218245566,824.8362447448978
88,761.4929653195456,788.1581638626319,825.0355576379656
89,761.5088358414803,787.4791218245566,825.0309130342176
90,761.5247063634149,788.1581638626319,825.0262684304698
91,761.5405768853495,788.8372059007071,825.0216238267219
92,761.5564474072842,788.9213349553445,825.0169792229741
93,761.5723179292188,788.8372059007071,825.0123346192262
94,761.5881884511533,788.9213349553445,825.0076900154784
95,761.604058973088,788.8372059007071,825.0030454117305
96,761.6199294950226,788.9213349553445,824.9984008079826
97,761.6358000169572,788.8372059007071,824.9937562042347
98,761.6516705388918,788.2544100209882,824.9891116004869
