ev_penetration,hhp_percentage,n_dwellings,n_ev_homes,n_hhp_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.0,0.0,147,0,0,500,326.052490234375,3.9664371013641357,325.9679718017578,331.0487823486328,332.27916259765624,338.43743896484375,312.3193359375
0.02,0.0,147,3,0,500,333.2950134277344,5.036637783050537,333.3115539550781,339.5065399169922,341.3537124633789,352.8266296386719,316.7818908691406
0.04,0.0,147,6,0,500,339.92681884765625,5.573783874511719,340.1117248535156,346.96210327148435,349.21766204833983,355.13104248046875,316.8252868652344
0.06,0.0,147,9,0,500,346.8167419433594,6.277858734130859,346.3719940185547,354.7962249755859,357.6700927734375,363.8223876953125,324.6583557128906
0.08,0.0,147,12,0,500,352.6628723144531,6.592405796051025,352.4961395263672,360.89373474121095,363.0192901611328,377.1021423339844,334.9464416503906
0.1,0.0,147,15,0,500,359.2427673339844,6.6809539794921875,359.1770782470703,367.21941223144535,369.7710021972656,380.638671875,335.919189453125
0.12,0.0,147,18,0,500,364.8621520996094,7.826306343078613,364.13331604003906,375.32085876464845,379.0785369873047,390.4639892578125,342.50103759765625
0.14,0.0,147,21,0,500,370.5719299316406,7.9626665115356445,370.62432861328125,380.31329040527345,383.66785736083983,395.7554931640625,345.09149169921875
0.16,0.0,147,24,0,500,377.1729736328125,8.887242317199707,376.75445556640625,388.6383880615234,393.15248413085936,414.6209716796875,352.02618408203125
0.18,0.0,147,26,0,500,381.4742126464844,8.772809028625488,381.42185974121094,392.85890502929686,396.8863464355469,409.044189453125,356.5958557128906
0.2,0.0,147,29,0,500,387.19854736328125,8.943544387817383,386.9333190917969,398.92738037109376,402.499609375,418.1136474609375,362.7732849121094
0.22,0.0,147,32,0,500,393.10943603515625,9.671173095703125,392.95318603515625,405.4991882324219,409.431672668457,424.3892822265625,363.6453552246094
0.24,0.0,147,35,0,500,399.06787109375,10.03044319152832,398.3267517089844,413.26572875976564,416.3839309692383,430.40875244140625,376.484130859375
0.26,0.0,147,38,0,500,404.12371826171875,9.835671424865723,403.02783203125,416.8605895996094,421.06459655761716,444.7585754394531,379.1728515625
0.28,0.0,147,41,0,500,409.7482604980469,10.285343170166016,408.57838439941406,423.5794342041016,427.23453979492183,451.38800048828125,383.3104553222656
0.3,0.0,147,44,0,500,416.28936767578125,10.751492500305176,415.4522247314453,431.00865173339844,434.51372985839845,453.69488525390625,391.150390625
0.32,0.0,147,47,0,500,420.7170715332031,9.864458084106445,420.2669219970703,433.494970703125,437.97756347656247,449.7824401855469,389.1737060546875
0.34,0.0,147,50,0,500,427.96380615234375,10.545809745788574,427.0626678466797,441.92737731933596,445.6437118530273,460.62957763671875,396.58148193359375
0.36,0.0,147,53,0,500,434.0016784667969,11.746564865112305,433.7776794433594,449.30198669433594,453.1734390258789,469.7466735839844,392.9658508300781
0.38,0.0,147,56,0,500,439.10113525390625,12.00942325592041,437.90147399902344,454.50352783203124,459.64141387939446,483.367431640625,411.6418151855469
0.4,0.0,147,59,0,500,444.89208984375,11.498915672302246,444.1109619140625,459.91863708496095,464.28895721435543,482.31689453125,417.34765625
0.42,0.0,147,62,0,500,451.1803894042969,13.07207202911377,450.9080352783203,468.09735717773435,472.23571166992184,501.0928649902344,418.85992431640625
0.44,0.0,147,65,0,500,454.90838623046875,12.371345520019531,454.3228454589844,471.23707580566406,476.97263793945314,493.8778991699219,421.4518127441406
0.46,0.0,147,68,0,500,461.0552062988281,13.19169807434082,459.7164306640625,478.7824188232422,482.9847381591797,506.6248779296875,429.69415283203125
0.48,0.0,147,71,0,500,467.3534851074219,13.146719932556152,466.424560546875,484.73211364746095,491.00840759277344,511.78497314453125,435.69342041015625
0.5,0.0,147,74,0,500,471.9878845214844,13.14395809173584,470.69293212890625,489.1000549316406,494.170816040039,514.50634765625,431.6666259765625
0.52,0.0,147,76,0,500,476.3661804199219,14.076252937316895,475.300048828125,494.1639038085938,501.63463287353517,537.401123046875,441.4879150390625
0.54,0.0,147,79,0,500,482.6224365234375,13.315878868103027,481.8250732421875,499.2613037109375,504.8275909423828,526.4268188476562,447.75738525390625
0.56,0.0,147,82,0,500,488.82806396484375,14.939964294433594,487.5406188964844,508.8191436767578,515.0135833740234,532.586181640625,446.0082092285156
0.58,0.0,147,85,0,500,491.70098876953125,13.091168403625488,490.3588409423828,508.6254638671875,514.4638549804688,531.927978515625,457.666259765625
0.6,0.0,147,88,0,500,499.13909912109375,14.39352035522461,498.11236572265625,518.7729553222656,524.3773620605468,540.5284423828125,460.79296875
0.62,0.0,147,91,0,500,503.10772705078125,14.032526969909668,502.2657928466797,521.00751953125,526.2243835449218,553.9727172851562,468.85015869140625
0.64,0.0,147,94,0,500,510.63006591796875,14.976737976074219,509.41551208496094,531.1168029785156,536.8560119628906,570.2221069335938,474.849365234375
0.66,0.0,147,97,0,500,515.4375610351562,15.207087516784668,514.1266174316406,535.667333984375,543.2511047363281,562.83447265625,483.15087890625
0.68,0.0,147,100,0,500,520.93603515625,15.977185249328613,520.289794921875,538.9639526367188,549.5842559814453,585.333251953125,482.29254150390625
0.7000000000000001,0.0,147,103,0,500,526.1437377929688,15.996338844299316,526.2133178710938,545.9341674804688,552.2482116699218,592.751708984375,489.92877197265625
0.72,0.0,147,106,0,500,532.4466552734375,14.96919059753418,532.085693359375,551.0793273925782,556.6464324951172,590.1107788085938,494.35650634765625
0.74,0.0,147,109,0,500,537.0687255859375,15.105854988098145,535.9828491210938,558.2157470703125,562.9415283203125,585.9341430664062,495.31585693359375
0.76,0.0,147,112,0,500,543.2232666015625,16.21202850341797,542.2141418457031,563.6260864257813,571.0172790527344,593.097900390625,499.77496337890625
0.78,0.0,147,115,0,500,550.130615234375,16.220077514648438,549.30224609375,572.1331420898438,577.5054473876953,603.1920166015625,514.6483764648438
0.8,0.0,147,118,0,500,552.932861328125,16.17462921142578,552.0999145507812,573.4792541503906,579.6487426757812,614.43505859375,507.22509765625
