ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.1,0.0,0.0,1.0,True,147,15,0,0,147,500,110.42433166503906,4.697421073913574,109.95035934448242,116.60353622436524,118.65690803527832,125.35779571533203,96.38957977294922
0.1,0.0,0.02,0.98,True,147,15,0,3,144,500,111.1212158203125,5.169432640075684,110.59579467773438,117.89343795776368,119.99864425659179,132.13357543945312,100.30830383300781
0.1,0.0,0.04,0.96,True,147,15,0,6,141,500,111.77974700927734,5.010631084442139,111.43358993530273,118.39186019897461,121.14512672424316,128.6248779296875,98.87388610839844
0.1,0.0,0.06,0.94,True,147,15,0,9,138,500,112.92414855957031,5.168910026550293,112.51367568969727,119.84508819580078,121.99229507446289,130.5199737548828,102.31163024902344
0.1,0.0,0.08,0.92,True,147,15,0,12,135,500,113.94062042236328,5.148115158081055,113.6955451965332,120.4471061706543,122.43715400695801,139.7134246826172,101.35957336425781
0.1,0.0,0.1,0.9,True,147,15,0,15,132,500,115.00941467285156,5.240154266357422,114.41146469116211,122.22131423950195,124.44505348205566,133.08834838867188,102.50595092773438
0.1,0.0,0.12,0.88,True,147,15,0,18,129,500,116.07923889160156,5.009772300720215,115.50266647338867,122.66631469726563,125.09491577148437,136.1809844970703,101.32598114013672
0.1,0.0,0.14,0.86,True,147,15,0,21,126,500,117.61065673828125,5.38374662399292,117.17459106445312,124.6873680114746,127.38643684387208,141.8351593017578,105.2007827758789
0.1,0.0,0.16,0.84,True,147,15,0,24,123,500,119.56285858154297,5.145262718200684,119.00764083862305,126.40523376464844,128.55740661621093,140.42434692382812,107.74346923828125
0.1,0.0,0.18,0.8200000000000001,True,147,15,0,26,121,500,121.21636199951172,5.118381500244141,121.06496047973633,128.0581314086914,130.25530548095702,142.51348876953125,106.1712646484375
0.1,0.0,0.2,0.8,True,147,15,0,29,118,500,124.71295166015625,5.145249366760254,124.24798583984375,132.1531951904297,133.41051635742187,146.55902099609375,113.83110046386719
0.1,0.0,0.22,0.78,True,147,15,0,32,115,500,129.18162536621094,5.550723552703857,128.56015014648438,136.12061157226563,139.3788848876953,151.65126037597656,113.37186431884766
0.1,0.0,0.24,0.76,True,147,15,0,35,112,500,134.36727905273438,5.868518352508545,133.83383178710938,142.1037399291992,144.63407669067382,154.48146057128906,118.13408660888672
0.1,0.0,0.26,0.74,True,147,15,0,38,109,500,140.11709594726562,6.147274494171143,139.8027572631836,147.6193099975586,150.13849868774415,168.8926544189453,121.69047546386719
0.1,0.0,0.28,0.72,True,147,15,0,41,106,500,145.50332641601562,5.779720783233643,145.58086395263672,153.10150604248048,154.78947982788085,162.5841522216797,130.002197265625
0.1,0.0,0.3,0.7,True,147,15,0,44,103,500,151.29592895507812,6.032756805419922,151.18670654296875,159.18985595703126,161.47835998535157,174.6922149658203,134.6204376220703
0.1,0.0,0.32,0.6799999999999999,True,147,15,0,47,100,500,157.0307159423828,6.395510196685791,156.10198974609375,165.68787536621093,169.577099609375,181.6888427734375,140.5187225341797
0.1,0.0,0.34,0.6599999999999999,True,147,15,0,50,97,500,163.0154266357422,6.397453784942627,162.6295394897461,170.9119659423828,173.83315658569336,181.07691955566406,145.6174774169922
0.1,0.0,0.36,0.64,True,147,15,0,53,94,500,169.11256408691406,6.243127822875977,168.9906463623047,177.5152160644531,179.41040954589843,189.30316162109375,153.96054077148438
0.1,0.0,0.38,0.62,True,147,15,0,56,91,500,175.5226287841797,6.771712779998779,175.6426773071289,184.03285522460936,186.80084075927735,199.880615234375,153.8956298828125
0.1,0.0,0.4,0.6,True,147,15,0,59,88,500,181.11268615722656,6.440308094024658,180.9303436279297,189.1272171020508,192.11912612915037,204.7306365966797,162.0259246826172
0.1,0.0,0.42,0.5800000000000001,True,147,15,0,62,85,500,187.43421936035156,6.044484615325928,187.4475860595703,195.00054626464845,197.42920684814453,204.7018585205078,168.0501708984375
0.1,0.0,0.44,0.56,True,147,15,0,65,82,500,192.7098388671875,6.680108547210693,192.3193359375,201.34190979003907,204.45155181884766,217.38906860351562,176.7122344970703
0.1,0.0,0.46,0.54,True,147,15,0,68,79,500,199.42550659179688,6.738073348999023,199.69315338134766,208.17684783935547,210.3740364074707,221.3719482421875,179.97793579101562
0.1,0.0,0.48,0.52,True,147,15,0,71,76,500,205.43649291992188,6.552592754364014,205.10440826416016,213.78693084716798,216.7404067993164,227.95364379882812,187.97911071777344
0.1,0.0,0.5,0.5,True,147,15,0,74,73,500,211.07847595214844,6.881836891174316,211.33361053466797,219.5078567504883,222.64379959106444,233.2160186767578,191.900634765625
0.1,0.0,0.52,0.48,True,147,15,0,76,71,500,215.43299865722656,6.9266462326049805,215.3120574951172,224.1646728515625,227.5710319519043,240.23895263671875,195.56845092773438
0.1,0.0,0.54,0.45999999999999996,True,147,15,0,79,68,500,221.54354858398438,6.584809303283691,221.76402282714844,229.98529663085938,232.60693206787107,244.56915283203125,202.76535034179688
0.1,0.0,0.56,0.43999999999999995,True,147,15,0,82,65,500,227.45347595214844,6.606261253356934,227.32936096191406,236.3917205810547,238.5913261413574,246.21340942382812,208.77928161621094
0.1,0.0,0.58,0.42000000000000004,True,147,15,0,85,62,500,233.4427032470703,6.914565086364746,233.15833282470703,242.41124725341797,245.75742721557617,262.39080810546875,212.719482421875
0.1,0.0,0.6,0.4,True,147,15,0,88,59,500,239.71566772460938,6.96408224105835,239.71217346191406,248.35391082763672,251.50071411132814,267.95245361328125,213.54635620117188
