ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.2,0.0,0.0,1.0,True,147,29,0,0,147,500,110.71244049072266,5.0122971534729,110.31649780273438,117.01556015014648,118.96360855102539,130.55767822265625,98.22470092773438
0.2,0.0,0.05,0.95,True,147,29,0,7,140,500,113.98382568359375,5.570412635803223,113.22517776489258,121.24076995849609,124.04904785156249,139.57247924804688,102.06468963623047
0.2,0.0,0.1,0.9,True,147,29,0,15,132,500,123.26176452636719,6.460731506347656,122.43195343017578,131.9434783935547,135.20576248168945,148.20777893066406,109.12751770019531
0.2,0.0,0.15000000000000002,0.85,True,147,29,0,22,125,500,136.38287353515625,7.4863600730896,136.0609130859375,145.96390686035156,149.38954620361326,169.19998168945312,118.37545013427734
0.2,0.0,0.2,0.8,True,147,29,0,29,118,500,149.97406005859375,7.685378551483154,149.06061553955078,159.4618347167969,164.0122863769531,182.97378540039062,130.71975708007812
0.2,0.0,0.25,0.75,True,147,29,0,37,110,500,165.78704833984375,7.850034236907959,165.2082977294922,176.25830688476563,178.77057495117188,187.9145050048828,144.2334747314453
0.2,0.0,0.30000000000000004,0.7,True,147,29,0,44,103,500,180.5809783935547,8.339314460754395,180.19215393066406,191.7639373779297,195.08159484863282,209.2594451904297,159.64987182617188
0.2,0.0,0.35000000000000003,0.6499999999999999,True,147,29,0,51,96,500,193.75112915039062,8.0139741897583,193.11095428466797,203.5542190551758,208.5069496154785,225.9060516357422,175.27291870117188
0.2,0.0,0.4,0.6,True,147,29,0,59,88,500,210.01742553710938,8.6131591796875,209.9214859008789,221.59107360839843,223.72324295043944,240.4906768798828,182.89987182617188
0.2,0.0,0.45,0.55,True,147,29,0,66,81,500,223.3267822265625,8.336774826049805,223.12881469726562,234.25979309082032,237.14032974243165,252.70428466796875,194.23861694335938
0.2,0.0,0.5,0.5,True,147,29,0,74,73,500,239.97865295410156,8.638614654541016,239.68778228759766,251.04953308105468,254.23760681152342,275.6426086425781,218.98486328125
0.2,0.0,0.55,0.44999999999999996,True,147,29,0,81,66,500,254.28506469726562,8.944549560546875,253.3195571899414,266.84852905273436,270.45241699218747,280.3045654296875,233.64141845703125
0.2,0.0,0.6000000000000001,0.3999999999999999,True,147,29,0,88,59,500,267.5775451660156,8.577176094055176,267.51678466796875,278.71446838378904,281.61911926269534,292.1180725097656,240.27175903320312
0.2,0.0,0.65,0.35,True,147,29,0,96,51,500,284.3012390136719,8.939391136169434,283.7576599121094,295.6337463378906,299.66698608398434,324.17669677734375,260.0350646972656
0.2,0.0,0.7000000000000001,0.29999999999999993,True,147,29,0,103,44,500,297.87109375,8.319342613220215,297.6355285644531,308.7600494384766,311.1351577758789,325.0785827636719,271.6100769042969
0.2,0.0,0.75,0.25,True,147,29,0,110,37,500,312.32318115234375,8.75500774383545,312.17637634277344,323.73735656738285,327.4573806762695,336.9218444824219,289.8030090332031
0.2,0.0,0.8,0.19999999999999996,True,147,29,0,118,29,500,328.65313720703125,9.371859550476074,328.3012237548828,341.0648132324219,343.6910064697266,364.4105529785156,301.19464111328125
0.2,0.0,0.8500000000000001,0.1499999999999999,True,147,29,0,125,22,500,342.3192443847656,8.922613143920898,341.76768493652344,354.2785675048828,358.20043945312494,368.0419616699219,315.80059814453125
0.2,0.0,0.9,0.09999999999999998,True,147,29,0,132,15,500,356.2377014160156,9.094563484191895,355.50782775878906,368.6787506103516,371.6591171264648,387.73095703125,331.6912841796875
0.2,0.0,0.9500000000000001,0.04999999999999993,True,147,29,0,140,7,500,373.61517333984375,8.958434104919434,372.93223571777344,385.0933837890625,387.22227935791017,404.3723449707031,346.8324279785156
0.2,0.0,1.0,0.0,True,147,29,0,147,0,500,387.60748291015625,8.78003215789795,387.19517517089844,398.5157867431641,402.3870849609375,419.0266418457031,362.4745788574219
0.2,0.05,0.0,0.95,True,147,29,7,0,140,500,112.78498077392578,5.021872520446777,112.39201736450195,119.19601821899414,121.8646213531494,135.32579040527344,101.73388671875
0.2,0.05,0.05,0.8999999999999999,True,147,29,7,7,133,500,117.98707580566406,6.030120372772217,117.6083869934082,125.89254760742188,128.1590965270996,143.24627685546875,105.7838363647461
0.2,0.05,0.1,0.85,True,147,29,7,15,125,500,130.08912658691406,6.944316864013672,129.2513427734375,139.71487579345703,141.99890060424804,153.5870819091797,109.42794799804688
0.2,0.05,0.15000000000000002,0.7999999999999999,True,147,29,7,22,118,500,143.8741912841797,7.700559616088867,143.20481872558594,153.72447357177734,158.03961639404298,170.03106689453125,124.99008178710938
0.2,0.05,0.2,0.75,True,147,29,7,29,111,500,157.98757934570312,7.463750839233398,157.41685485839844,166.84565277099608,171.27387542724608,194.11767578125,139.06910705566406
0.2,0.05,0.25,0.7,True,147,29,7,37,103,500,173.58592224121094,8.417616844177246,173.14959716796875,184.12221984863282,187.62463150024413,207.37124633789062,152.78506469726562
0.2,0.05,0.30000000000000004,0.6499999999999999,True,147,29,7,44,96,500,188.08660888671875,8.0776948928833,187.67559051513672,197.77153778076172,201.11126098632812,213.34609985351562,162.16250610351562
0.2,0.05,0.35000000000000003,0.5999999999999999,True,147,29,7,51,89,500,201.37196350097656,7.9836835861206055,200.9752197265625,211.5940399169922,215.551163482666,227.97471618652344,179.6363525390625
0.2,0.05,0.4,0.5499999999999999,True,147,29,7,59,81,500,217.72625732421875,8.57755184173584,217.13177490234375,229.97391204833986,232.2011817932129,244.4205322265625,196.86915588378906
0.2,0.05,0.45,0.49999999999999994,True,147,29,7,66,74,500,231.09629821777344,7.993690013885498,230.52224731445312,242.2807586669922,244.9997657775879,252.521728515625,210.01632690429688
0.2,0.05,0.5,0.44999999999999996,True,147,29,7,74,66,500,247.38070678710938,8.406929016113281,246.8738784790039,258.16636962890624,263.4981628417969,273.1993713378906,226.57093811035156
0.2,0.05,0.55,0.3999999999999999,True,147,29,7,81,59,500,260.89605712890625,8.357885360717773,261.27752685546875,271.4458862304688,273.9848388671875,286.5406494140625,232.17233276367188
0.2,0.05,0.6000000000000001,0.34999999999999987,True,147,29,7,88,52,500,275.03192138671875,8.928055763244629,274.68919372558594,286.8470092773438,290.83344116210935,301.10418701171875,250.6739501953125
0.2,0.05,0.65,0.29999999999999993,True,147,29,7,96,44,500,292.9110107421875,9.23300838470459,292.3796691894531,305.75867614746096,309.38025970458983,320.8390197753906,269.54290771484375
0.2,0.05,0.7000000000000001,0.2499999999999999,True,147,29,7,103,37,500,305.8815002441406,8.881647109985352,305.3513488769531,316.8636444091797,320.8247360229492,335.71917724609375,283.2628173828125
0.2,0.05,0.75,0.19999999999999996,True,147,29,7,110,30,500,319.03070068359375,8.98272705078125,318.70274353027344,330.5415283203125,333.7872344970703,352.83538818359375,294.3595275878906
0.2,0.05,0.8,0.1499999999999999,True,147,29,7,118,22,500,336.0769958496094,8.999802589416504,335.80284118652344,347.0445281982422,351.27419128417966,363.9697265625,308.2560729980469
0.2,0.05,0.8500000000000001,0.09999999999999987,True,147,29,7,125,15,500,350.66680908203125,9.123549461364746,350.57420349121094,362.11753234863284,365.86913452148434,376.17449951171875,324.0568542480469
