ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.4,0.0,0.0,1.0,True,147,59,0,0,147,500,150.7104034423828,10.028475761413574,150.2545623779297,164.19262237548827,167.83019790649413,190.84234619140625,125.46770477294922
0.4,0.0,0.05,0.95,True,147,59,0,7,140,500,164.16209411621094,10.0398588180542,162.7314453125,178.34227294921877,182.70232696533202,212.05307006835938,142.27374267578125
0.4,0.0,0.1,0.9,True,147,59,0,15,132,500,180.03805541992188,10.239518165588379,179.430419921875,193.66916809082034,197.76042938232422,225.50970458984375,155.18399047851562
0.4,0.0,0.15000000000000002,0.85,True,147,59,0,22,125,500,194.14019775390625,10.001330375671387,193.4665985107422,207.62154541015627,212.31030960083004,224.65957641601562,164.83837890625
0.4,0.0,0.2,0.8,True,147,59,0,29,118,500,207.73538208007812,10.014371871948242,207.26705932617188,220.1384490966797,224.13658599853514,241.93124389648438,181.1578826904297
0.4,0.0,0.25,0.75,True,147,59,0,37,110,500,224.23330688476562,10.920430183410645,223.09012603759766,238.3584991455078,243.96222763061522,262.0043640136719,194.10394287109375
0.4,0.0,0.30000000000000004,0.7,True,147,59,0,44,103,500,237.61158752441406,11.315397262573242,236.65421295166016,252.19230194091796,257.84425048828126,276.1153564453125,209.92251586914062
0.4,0.0,0.35000000000000003,0.6499999999999999,True,147,59,0,51,96,500,251.13914489746094,10.896318435668945,250.42420196533203,264.9739440917969,269.9598190307617,304.93048095703125,221.68014526367188
0.4,0.0,0.4,0.6,True,147,59,0,59,88,500,268.48760986328125,11.25444507598877,267.08673095703125,282.9055603027344,288.45751495361327,304.2066650390625,232.87518310546875
0.4,0.0,0.45,0.55,True,147,59,0,66,81,500,282.21881103515625,11.546534538269043,281.4861145019531,296.27854309082034,302.2309341430664,322.12213134765625,253.39901733398438
