ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,dt_hours,co2_kg_per_kwh,annual_gas_mean_kwh,annual_gas_std_kwh,annual_gas_p50_kwh,annual_gas_p90_kwh,annual_gas_p95_kwh,annual_gas_max_kwh,annual_gas_min_kwh,annual_co2_mean_kg,annual_co2_std_kg,annual_co2_p50_kg,annual_co2_p90_kg,annual_co2_p95_kg,annual_co2_max_kg,annual_co2_min_kg
0.0,0.0,0.0,1.0,True,147,0,0,0,147,100,0.5,0.183,1601079.96278241,722.6471285173493,1601075.5454447279,1601892.4366056554,1602323.626600145,1603697.3753654077,1599284.8768341017,292997.63318918104,132.2444245186754,292996.8248163852,293146.3158988349,293225.2236678265,293476.6196918696,292669.1324606406
0.0,0.0,0.05,0.95,True,147,0,0,7,140,100,0.5,0.183,1523613.748031236,13760.56549346982,1525053.4315156024,1539976.3746498919,1542929.6588054192,1549864.007361624,1481845.596173021,278821.31588971626,2518.1834853049777,279084.7779673552,281815.6765609302,282356.1275613917,283625.11334717716,271177.7440996628
0.0,0.0,0.1,0.9,True,147,0,0,15,132,100,0.5,0.183,1431567.3940396276,21245.969398293284,1433400.3265025013,1457128.6548307464,1461677.9438687763,1474035.8520114683,1351751.7064048331,261976.8331092518,3888.0123998876707,262312.2597499577,266654.54383402655,267487.06372798607,269748.56091809866,247370.56227208447
0.0,0.0,0.15000000000000002,0.85,True,147,0,0,22,125,100,0.5,0.183,1358295.722406502,21610.23032971767,1358370.1583615183,1382547.596748121,1387730.1063419282,1404714.8539134278,1285256.3662440379,248568.11720038988,3954.6721503383337,248581.73898015782,253006.21020490618,253954.6094605729,257062.8182661573,235201.9150226589
0.0,0.0,0.2,0.8,True,147,0,0,29,118,100,0.5,0.183,1285809.5155765156,26902.195099496173,1287158.7820215118,1319903.8125511499,1325662.2361046723,1336080.5102503402,1199107.8634964824,235303.14135050238,4923.1017032078,235550.05710993666,241542.39769686043,242596.189207155,244502.73337581224,219436.73901985626
0.0,0.0,0.25,0.75,True,147,0,0,37,110,100,0.5,0.183,1199799.769730192,27291.2217324917,1200201.7414575121,1235986.5945726184,1245383.7218992838,1275062.5412766798,1126024.4040274043,219563.35786062505,4994.29357704598,219636.91868672473,226185.54680678918,227905.22110756894,233336.4450536324,206062.465937015
0.0,0.0,0.30000000000000004,0.7,True,147,0,0,44,103,100,0.5,0.183,1119472.6854768503,32197.34121241002,1120779.3593614788,1162804.1173834794,1172118.028674846,1206706.2361292932,1034634.6399535934,204863.50144226357,5892.113441871033,205102.6227631506,212793.15348117673,214497.59924749684,220827.24121166064,189338.1391115076
0.0,0.0,0.35000000000000003,0.6499999999999999,True,147,0,0,51,96,100,0.5,0.183,1045852.2133930656,26032.18923319767,1049062.3513599175,1076557.5845796135,1084576.122991806,1095143.0903409342,974707.7730063787,191390.95505093105,4763.890629675172,191978.4102988649,197010.03797806927,198477.43050750045,200411.18553239095,178371.5224601673
0.0,0.0,0.4,0.6,True,147,0,0,59,88,100,0.5,0.183,959707.2823082816,31396.45565916377,953969.8223406875,1004244.3176935506,1017892.0246252195,1039446.2318225685,865985.5407790542,175626.4326624155,5745.551385626968,174576.47748834582,183776.71013791976,186274.24050641517,190218.66042353003,158475.3539625669
0.0,0.0,0.45,0.55,True,147,0,0,66,81,100,0.5,0.183,882773.458994032,35059.99630851685,884089.0968205858,928530.1725991939,940664.4185804571,949135.5900065104,776888.8707312351,161547.54299590786,6415.979324458584,161788.3047181672,169921.0215856525,172141.58860022365,173691.8129711914,142170.66334381604
0.0,0.0,0.5,0.5,True,147,0,0,74,73,100,0.5,0.183,796056.3845745976,34663.031418336184,791713.2152827377,843486.9882232003,857600.328757176,872518.8637339069,708952.4474417125,145678.3183771514,6343.334749555521,144883.518396741,154358.11884484568,156940.8601625632,159670.95206330495,129738.29788183338
0.0,0.0,0.55,0.44999999999999996,True,147,0,0,81,66,100,0.5,0.183,723640.7139099721,31407.480989800373,724246.3802879227,766572.1788502426,771127.6762226257,800171.0363368699,654820.9036903062,132426.2506455249,5747.569021133468,132537.08759268984,140282.7087295944,141116.36474874048,146431.2996496472,119832.22537532604
0.0,0.0,0.6000000000000001,0.3999999999999999,True,147,0,0,88,59,100,0.5,0.183,644232.1610166504,29197.15232494284,640668.6317357762,687097.9386454585,691795.3847699339,709764.097410069,558701.6918741942,117894.485466047,5343.07887546454,117242.35960764704,125738.92277211892,126598.55541289791,129886.82982604262,102242.40961297753
0.0,0.0,0.65,0.35,True,147,0,0,96,51,100,0.5,0.183,551571.1558862308,28376.4653849428,550626.2182246952,587205.0482192293,597671.4191455517,634212.9738297747,486860.3139988813,100937.52152718024,5192.893165444531,100764.5979351192,107458.52382411897,109373.86970363598,116060.97421084876,89095.43746179529
0.0,0.0,0.7000000000000001,0.29999999999999993,True,147,0,0,103,44,100,0.5,0.183,477235.0840355353,30388.210115249436,478114.27694672334,513191.1427153955,525258.914974642,558671.412514419,416964.9083657411,87334.02037850294,5561.042451090648,87494.91268125037,93913.97911691737,96122.38144035949,102236.86849013866,76304.57823093062
0.0,0.0,0.75,0.25,True,147,0,0,110,37,100,0.5,0.183,399096.52279625885,26916.769209660182,397631.20416312147,436537.38835696055,447550.06277533225,459871.57533515285,307826.8588906715,73034.66367171536,4925.768765367814,72766.51036185122,79886.34206932379,81901.6614878858,84156.49828633296,56332.31517699289
0.0,0.0,0.8,0.19999999999999996,True,147,0,0,118,29,100,0.5,0.183,316705.76759754267,27622.563416207082,315313.6325646924,353697.64781598485,363583.4930149647,383862.9779471836,237811.09000061764,57957.15547035031,5054.929105165897,57702.3947593387,64726.669550325234,66535.77922173854,70246.9249643346,43519.42947011303
0.0,0.0,0.8500000000000001,0.1499999999999999,True,147,0,0,125,22,100,0.5,0.183,241657.47254776306,25465.220050884618,239502.84770049492,275877.7985371834,284361.7506237974,294224.003495725,188244.04154258865,44223.31747624064,4660.135269311885,43829.021129190565,50485.63713230455,52038.20036415492,53842.992639717675,34448.65960229372
0.0,0.0,0.9,0.09999999999999998,True,147,0,0,132,15,100,0.5,0.183,163429.5079797155,19139.734743311714,162965.93976638617,186458.5782555302,192788.6783141328,218938.9361751697,120330.81329733045,29907.59996028793,3502.571458026044,29822.766977248673,34121.91982076203,35280.3281314863,40065.82532005606,22020.538833411472
0.0,0.0,0.9500000000000001,0.04999999999999993,True,147,0,0,140,7,100,0.5,0.183,75686.1679975219,13833.746509621495,75085.10187464631,91143.04163406217,104307.16313872598,115166.87978667588,42494.99461146984,13850.56874354651,2531.5756112607337,13740.573643060274,16679.17661903338,19088.210854386856,21075.539000961686,7776.584013898981
0.0,0.0,1.0,0.0,True,147,0,0,147,0,100,0.5,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.0,0.95,True,147,0,7,0,140,100,0.5,0.183,1544194.4281916446,9769.571776468896,1545720.601491888,1555535.4457330725,1557301.9228239732,1566618.035497393,1517388.8977869384,282587.5803590709,1787.8316350938094,282866.8700730155,284662.9865691522,284986.2518767871,286691.1004960229,277682.1682950097
0.0,0.05,0.05,0.8999999999999999,True,147,0,7,7,133,100,0.5,0.183,1469718.8882241976,16703.1111355435,1468312.1911476832,1491996.6701286014,1493320.9431032662,1507772.7924507484,1430707.868644969,268958.5565450282,3056.6693378044606,268701.13098002604,273035.39063353406,273277.7325878977,275922.42101848696,261819.53996202935
0.0,0.05,0.1,0.85,True,147,0,7,15,125,100,0.5,0.183,1381941.6424654815,20728.168082135406,1383607.32230529,1406484.136780888,1410813.3793250334,1422324.0398371436,1337196.0430002538,252895.32057118314,3793.2547590307786,253200.13998186807,257386.59703090249,258178.84841648108,260285.2992901973,244706.87586904646
0.0,0.05,0.15000000000000002,0.7999999999999999,True,147,0,7,22,118,100,0.5,0.183,1310731.9279098136,25484.886089178784,1312986.5412607067,1340793.4397419353,1344746.9830881369,1365449.7392794697,1214331.5759915987,239863.94280749589,4663.734154319718,240276.53705070936,245365.19947277414,246088.69790512905,249877.30228814296,222222.67840646254
0.0,0.05,0.2,0.75,True,147,0,7,29,111,100,0.5,0.183,1226968.8909398476,28339.56884706681,1228559.2941978099,1260157.5053006061,1272465.738029088,1289520.8237443268,1146914.4620953656,224535.30704199214,5186.141099013226,224826.35083819923,230608.8234700109,232861.23005932308,235982.3107452118,209885.3465634519
0.0,0.05,0.25,0.7,True,147,0,7,37,103,100,0.5,0.183,1146976.4428039864,28505.432209773266,1149101.7953666404,1181035.975119907,1187565.2052137936,1228348.544835302,1075674.7805058847,209896.68903312949,5216.494094388507,210285.6285520952,216129.583446943,217324.4325541242,224787.78370486028,196848.48483257688
0.0,0.05,0.30000000000000004,0.6499999999999999,True,147,0,7,44,96,100,0.5,0.183,1066029.4181740046,30343.7701476174,1070251.7738632807,1102047.6960210437,1105062.0866706162,1146783.3396401517,980003.7923501582,195083.38352584283,5552.909937013984,195856.07461698033,201674.728371851,202226.36186072274,209861.35115414776,179340.69400007895
0.0,0.05,0.35000000000000003,0.5999999999999999,True,147,0,7,51,89,100,0.5,0.183,991026.3949056092,33930.20504202364,989620.8228369241,1034327.3090525654,1043075.4521101543,1082431.867113552,915079.8547428243,181357.83026772644,6209.227522690327,181100.6105791571,189281.89755661946,190882.80773615823,198085.03168178003,167459.61341793684
0.0,0.05,0.4,0.5499999999999999,True,147,0,7,59,81,100,0.5,0.183,901454.3049058637,32209.718089515525,899341.9077893926,940599.717567735,951868.1248549692,987898.9682120318,818294.9292333095,164966.13779777306,5894.3784103813405,164579.56912545886,172129.7483148955,174191.86684845938,180785.5111828018,149747.9720496956
0.0,0.05,0.45,0.49999999999999994,True,147,0,7,66,74,100,0.5,0.183,830637.8234418401,28767.517419427608,834837.8009868442,865464.3887425741,876134.5355144624,899650.7144468937,728874.5788272175,152006.72168985673,5264.455687755252,152775.3175805925,158379.98313989106,160332.61999914664,164636.08074378152,133384.0479253808
0.0,0.05,0.5,0.44999999999999996,True,147,0,7,74,66,100,0.5,0.183,746321.4576128913,35383.837157440394,748858.5050151707,788595.3826343917,799571.6996203709,821950.804155351,651371.5924924654,136576.82674315906,6475.242199811592,137041.1064177762,144312.95502209367,146321.62103052787,150416.99716042922,119201.00142612116
0.0,0.05,0.55,0.3999999999999999,True,147,0,7,81,59,100,0.5,0.183,662230.002361112,35482.03133907198,660866.3893998147,706170.7308645684,714988.5478509469,777247.9805000944,584602.6719674543,121188.09043208353,6493.211735050171,120938.5492601661,129229.24374821602,130842.90425672327,142236.38043151726,106982.28897004413
0.0,0.05,0.6000000000000001,0.34999999999999987,True,147,0,7,88,52,100,0.5,0.183,584779.0020362244,30680.993144996522,586104.3327531015,626537.8270877965,643168.485108836,677407.6703651729,502627.1132695332,107014.55737262905,5614.621745534363,107257.09289381758,114656.42235706677,117699.83277491698,123965.60367682663,91980.76172832458
0.0,0.05,0.65,0.29999999999999993,True,147,0,7,96,44,100,0.5,0.183,501870.54921398364,29058.743745258525,499217.69086355634,536675.2305237973,551435.0187715644,595652.6373222597,424088.3665601613,91842.31050615899,5317.75010538231,91356.83742803082,98211.5671858549,100912.60843519628,109004.43262997353,77608.17108050952
0.0,0.05,0.7000000000000001,0.2499999999999999,True,147,0,7,103,37,100,0.5,0.183,423638.47973937495,28872.145089102625,425641.8589868637,461358.91116099444,465789.2038042754,493975.73899326427,364902.79922272987,77525.84179230561,5283.60255130578,77892.46019459606,84428.68074246198,85239.4242961824,90397.56023576736,66777.21225775956
0.0,0.05,0.75,0.19999999999999996,True,147,0,7,110,30,100,0.5,0.183,346488.04778491776,27836.15504074049,345617.7031094409,381827.83675368025,386265.70547390287,432105.2636961511,280178.2302011843,63407.312744639945,5094.01637245551,63248.03966902768,69874.49412592348,70686.62410172423,79075.26325639564,51272.61612681672
