run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
1,378.26979834594727,378.26979834594727,378.26979834594727,5000,42
2,371.93027355880736,378.08297788391116,384.23568220901495,5000,42
3,368.8778395495606,378.0153665873209,387.35598890563966,5000,42
4,367.08163323333736,377.9866947341919,389.29265472213746,5000,42
5,365.73168408447265,377.91884702636656,390.6441143615723,5000,42
6,364.75518711242677,377.9279485850007,391.8164692604065,5000,42
7,363.9927371548462,377.91992340872537,392.61370555084227,5000,42
8,363.4252611749268,377.93451210098266,393.3736394589234,5000,42
9,362.92945454467775,377.9347231397834,393.948668984375,5000,42
10,362.494907325592,377.9183149267568,394.45876576782234,5000,42
11,362.1180342071533,377.93007048117823,394.9170479248047,5000,42
12,361.7485170292664,377.91922229716,395.30040878784183,5000,42
13,361.42665698547364,377.9146770991397,395.6593165289307,5000,42
14,361.1512769587708,377.9115151476188,395.9246171490479,5000,42
15,360.95791096954343,377.92737420369605,396.1971451702881,5000,42
16,360.7502087715149,377.9346345252991,396.4547065437317,5000,42
17,360.57862673950194,377.94270079561016,396.6581172668457,5000,42
18,360.4244939154053,377.9376169925257,396.8437157043457,5000,42
19,360.26297882629393,377.9244199867655,397.00834655242926,5000,42
20,360.1281888948059,377.92771951385356,397.1572883306885,5000,42
21,359.9804430603027,377.9154876700263,397.2516359130859,5000,42
22,359.84378817749024,377.91178730607396,397.3945272195435,5000,42
23,359.7482098574829,377.9179959483281,397.5028355404663,5000,42
24,359.6480672428894,377.9142711794526,397.6071552186585,5000,42
25,359.57130756225587,377.92468925048894,397.7053511962891,5000,42
26,359.50054839477536,377.9266380258413,397.8088299682617,5000,42
27,359.42759232025145,377.93140809371295,397.88263081634517,5000,42
28,359.33273875854496,377.91999001203266,397.9572185258484,5000,42
29,359.2789585552979,377.91900619717234,398.01935909545904,5000,42
30,359.2225387011719,377.914609325154,398.0745533468628,5000,42
31,359.1766383239746,377.9193392251287,398.14588534545896,5000,42
32,359.1608657092285,377.92195016555786,398.19891799255373,5000,42
33,359.1163722485352,377.91984473617975,398.2283950280762,5000,42
34,359.10752884078977,377.9174604734537,398.24521098556517,5000,42
35,359.0935914163208,377.91958973685007,398.2721028182983,5000,42
36,359.0665230949402,377.9183455830894,398.31967902374265,5000,42
37,359.04514176452636,377.915094753286,398.3372946661377,5000,42
38,359.0402962142944,377.9146991172391,398.3591424815369,5000,42
39,359.02521577514653,377.9177121962332,398.3989057873535,5000,42
40,359.00865983795165,377.91925469131485,398.39632812454226,5000,42
41,359.0032473022461,377.91900691409194,398.44269407348634,5000,42
42,358.95619773742675,377.9228676682242,398.48810324081427,5000,42
43,358.90528786712645,377.9184564614947,398.54129732421876,5000,42
44,358.8465742327881,377.9142153484004,398.59719091583247,5000,42
45,358.7949730065918,377.9132264012317,398.64713358947756,5000,42
46,358.7573068901062,377.909827837207,398.7002700691223,5000,42
47,358.7233242251587,377.9082636613559,398.7412467614746,5000,42
48,358.6782950317383,377.90815283266767,398.80083726715094,5000,42
49,358.6358116918945,377.9062775750609,398.8416673376465,5000,42
50,358.61278925888064,377.90759131628346,398.8858203327942,5000,42
51,358.5893905288696,377.9055526752546,398.92748018341064,5000,42
52,358.56888853607177,377.90866107342106,398.9749565278625,5000,42
53,358.5279892364502,377.9047001606502,399.0150930480957,5000,42
54,358.504447492218,377.9074075019003,399.05106687225344,5000,42
55,358.48366856781007,377.9050859757864,399.08421834320075,5000,42
56,358.4612923835754,377.90605802470395,399.1413886817932,5000,42
57,358.4444594445801,377.90949939735833,399.16379740478516,5000,42
58,358.4113530062866,377.91170635986435,399.2101335549927,5000,42
59,358.39583870391846,377.91343898067294,399.2320457321167,5000,42
60,358.37353578414917,377.9117869474287,399.25260012695315,5000,42
61,358.3469904449463,377.9073227789206,399.26567397766115,5000,42
62,358.3326057165528,377.90624040694786,399.2846116241455,5000,42
63,358.3211078762817,377.9069878373413,399.30466011901854,5000,42
64,358.30054092025756,377.90775361194613,399.3319854452515,5000,42
65,358.29103538574225,377.9074263763904,399.3497932055664,5000,42
66,358.2714856704712,377.9076385646943,399.37219382629394,5000,42
67,358.2631496609497,377.9070120036106,399.37777652282716,5000,42
68,358.254305431366,377.9058592423383,399.3898754902649,5000,42
69,358.2516028643799,377.9103587264352,399.41154343811036,5000,42
70,358.24589071502686,377.9105640809847,399.4262179484558,5000,42
71,358.23730474243166,377.9107654931299,399.43821967926027,5000,42
72,358.233208769989,377.90916878518027,399.45589433578493,5000,42
73,358.2259062072754,377.9072388942772,399.4600380932618,5000,42
74,358.2230786943054,377.9077450626693,399.4739842892456,5000,42
75,358.2138001367187,377.906008906087,399.47380979064945,5000,42
76,358.2144436508179,377.90424514433124,399.4797849479675,5000,42
77,358.20044135986325,377.9043898659438,399.48730672668455,5000,42
78,358.20342640289306,377.9067849441151,399.4940939453125,5000,42
79,358.1974421954346,377.90786391941464,399.50123678955083,5000,42
80,358.1955514318848,377.9093470920578,399.5047886282349,5000,42
81,358.19340456542966,377.9110585396478,399.5050947509766,5000,42
82,358.1736042437744,377.9124426771215,399.5192923554992,5000,42
83,358.16179468536376,377.90933297339757,399.5438937762451,5000,42
84,358.1579737686157,377.90986560916105,399.5597391407776,5000,42
85,358.1389345513917,377.9083623224953,399.57301246520996,5000,42
86,358.1245664665222,377.91102414820483,399.58474607696536,5000,42
87,358.1042092526245,377.91113704630493,399.60065316314694,5000,42
88,358.0882276164246,377.91356029066554,399.62375180725104,5000,42
