peak_demand_kw,segment_id,point_index,path_distance_pct_points,mhp_share_pct,hhp_share_pct,boiler_share_pct,baseline_annual_co2_mean_kg,annual_co2_mean_kg,carbon_saving_kg,carbon_saving_pct
236.25,1,0,0.0,0.0,30.81575288756218,69.18424711243782,292997.63318918104,226806.83672467526,66190.79646450578,22.59089800284089
236.25,1,1,0.911255770452746,0.4061210479861799,30.0,69.59387895201382,292997.63318918104,227403.30782894304,65594.325360238,22.38732260266602
236.25,1,2,6.915778633279089,5.0,26.133403177929114,68.86659682207089,292997.63318918104,223061.95955500798,69935.67363417306,23.86902340232127
236.25,1,3,8.18271403027385,5.566147097862788,25.0,69.43385290213722,292997.63318918104,223603.87973023686,69393.75345894418,23.68406621705999
236.25,1,4,13.185267747487288,5.4063231522038295,20.0,74.59367684779617,292997.63318918104,235476.80187305575,57520.83131612529,19.631841626169578
236.25,1,5,18.553161677104562,7.359342670698711,15.0,77.64065732930129,292997.63318918104,239251.66461624383,53745.968572937214,18.343482159883123
236.25,1,6,21.686340245120704,10.0,13.313661715941,76.686338284059,292997.63318918104,234359.99383381894,58637.6393553621,20.01300785849737
236.25,1,7,25.811655291703747,12.45720781902374,10.0,77.54279218097626,292997.63318918104,234109.3721550595,58888.26103412153,20.09854495858637
236.25,1,8,30.236375068821843,15.0,6.378901681756487,78.62109831824351,292997.63318918104,236301.18286395806,56696.45032522298,19.350480653410443
236.25,1,9,31.74627606829717,15.615167603394166,5.0,79.38483239660583,292997.63318918104,237978.00678206247,55019.62640711857,18.778181177864262
236.25,1,10,37.44789703689365,18.355328487272903,0.0,81.6446715127271,292997.63318918104,239666.446929967,53331.18625921404,18.20191708674297
236.25,2,0,0.0,10.0,4.996124482199617,85.00387551780038,292997.63318918104,252902.3596838823,40095.27350529874,13.684504229223672
236.25,2,1,0.011703539851718956,10.011043242587197,5.0,84.98895675741281,292997.63318918104,252866.53883800522,40131.09435117582,13.696729872648564
236.25,2,2,0.023575408155067815,10.0,5.004357527988708,84.9956424720113,292997.63318918104,252884.98205823475,40112.651130946295,13.690435207388377
236.25,2,3,0.028224876945428315,9.998378423649603,5.0,85.0016215763504,292997.63318918104,252900.53012389637,40097.10306528467,13.685128657471099
236.25,2,4,0.03242596586156075,10.0,4.996124482199617,85.00387551780038,292997.63318918104,252902.3596838823,40095.27350529874,13.684504229223672
375.0,1,1,1.6007008540191843,19.082096362227325,80.0,0.9179036377726675,292997.63318918104,64953.395098609035,228044.238090572,77.83142669392477
375.0,1,2,4.720482989808655,20.0,77.01830694293413,2.9816930570658684,292997.63318918104,69375.25266941995,223622.3805197611,76.32224809658237
375.0,1,3,8.435026341517894,23.118376083129036,75.0,1.8816239168709643,292997.63318918104,64268.33559044672,228729.29759873432,78.06523728846973
375.0,1,4,13.874322856803325,20.976893750445377,70.0,9.023106249554615,292997.63318918104,81033.440437452,211964.19275172905,72.34331228022897
375.0,1,5,18.875636403596726,25.0,67.02884647011741,7.971153529882585,292997.63318918104,74649.47928622313,218348.1539029579,74.52215621208657
375.0,1,6,21.53788096635811,26.723754075454114,65.0,8.27624592454589,292997.63318918104,74170.35208447801,218827.28110470303,74.68568217525903
375.0,1,7,26.56040994993412,27.19893550486936,60.00000000000001,12.801064495130639,292997.63318918104,84290.8651086003,208706.76808058075,71.23155426508997
375.0,1,8,30.050214295630294,30.0,57.9184688171064,12.081531182893599,292997.63318918104,80844.78914988012,212152.84403930092,72.40769890530797
375.0,1,9,35.24349442955225,34.29566040475339,55.00000000000001,10.704339595246601,292997.63318918104,74958.68917557388,218038.94401360716,74.41662297416069
375.0,1,10,36.259836457543194,35.0,54.26729483935994,10.732705160640059,292997.63318918104,74485.6284711198,218512.00471806125,74.57807844371686
375.0,1,11,40.9967727727459,37.05639500297442,50.0,12.94360499702558,292997.63318918104,76779.3208626177,216218.31232656335,73.79524195233233
375.0,1,12,46.48636987219493,39.32259806410535,45.0,15.67740193589465,292997.63318918104,80974.15859545354,212023.4745937275,72.36354515424682
375.0,1,13,51.4899011906641,39.51054926761792,40.0,20.489450732382082,292997.63318918104,90145.40568094584,202852.2275082352,69.23340141019457
375.0,1,14,52.97810614864949,40.0,38.594584766859654,21.405415233140346,292997.63318918104,92007.89168179614,200989.7415073849,68.59773552423579
375.0,1,15,57.904550629337066,43.36880031690179,35.0,21.63119968309821,292997.63318918104,91003.39362697944,201994.2395622016,68.94057039422538
375.0,1,16,62.982339846655194,45.0,30.191348325219167,24.808651674780833,292997.63318918104,96722.43001308321,196275.20317609783,66.98866507545063
375.0,1,17,63.18825837648969,45.0760806109664,30.0,24.9239193890336,292997.63318918104,96901.42475354759,196096.20843563345,66.92757422686044
375.0,1,18,69.66154089165286,50.0,25.797809574588968,24.202190425411032,292997.63318918104,89815.01940401463,203182.6137851664,69.34616214253738
375.0,1,19,70.59821094014275,50.490765384305185,25.0,24.509234615694815,292997.63318918104,90030.63544513067,202966.99774405037,69.27257245555967
375.0,1,20,76.56849900126609,53.753331787122434,20.0,26.246668212877566,292997.63318918104,92309.16703435982,200688.46615482122,68.4949103412183
