case_dir,case_type,dwelling_id,run,run_optimal,annual_gas_kwh
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,1,1,True,21804.260261534706
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,1,2,True,21851.482145370977
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,1,3,True,21657.374101160494
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,1,4,True,21750.480326871726
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,1,5,True,21756.65374931093
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,102,1,True,25752.32008751371
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,102,2,True,25836.840725486563
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,102,3,True,25632.93951941109
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,102,4,True,25617.208055769355
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,102,5,True,25822.08180348542
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,103,1,True,23628.235721531222
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,103,2,True,23759.456657026865
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,103,3,True,23728.819026089004
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,103,4,True,23694.962481757448
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,103,5,True,23782.086107309256
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,110,1,True,13770.624423646468
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,110,2,True,13923.60658569718
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,110,3,True,13915.169423199492
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,110,4,True,13831.316270225416
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,110,5,True,13878.079426501525
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,113,1,True,51592.52527600167
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,113,2,True,51560.689411738065
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,113,3,True,51572.068683889425
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,113,4,True,51775.114263905845
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,113,5,True,51587.542118641955
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,117,1,True,13283.634458561275
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,117,2,True,13269.74973231238
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,117,3,True,13255.153282846828
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,117,4,True,13149.537082524163
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,120,1,True,16385.546539062547
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,120,2,True,16399.671506416154
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,120,3,True,16418.64533776556
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,120,4,True,16290.438401065683
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,120,5,True,16417.71017963685
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,123,1,True,19853.39065783353
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,123,2,True,19942.705427105764
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,123,3,True,20003.37431916625
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,123,4,True,20133.83644054855
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,123,5,True,19944.73300067995
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,126,1,True,17145.94258992086
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,126,2,True,17205.52429636255
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,126,3,True,17106.72701073746
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,126,4,True,17029.58748606964
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,126,5,True,17084.80249867639
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,128,1,True,40854.641359023495
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,128,2,True,40629.94417079491
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,128,3,True,40664.203823049545
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,128,4,True,40911.35617316119
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,128,5,True,40806.62020638714
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,134,1,True,28751.81874663236
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,134,2,True,28692.983790034283
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,134,3,True,28843.400352534165
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,134,4,True,28757.90805733497
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,134,5,True,28737.52432857486
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,135,1,True,16169.322803138299
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,135,2,True,16120.815965219244
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,135,3,True,16196.13431186064
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,135,4,True,16140.752573384278
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,135,5,True,16137.206286323817
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,136,1,True,12695.567274762929
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,136,2,True,12443.576050809968
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,136,3,True,12578.130262364142
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,136,4,True,12585.847498813104
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,136,5,True,12455.028786923689
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,140,1,True,16570.912368040492
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,140,3,True,16724.550194927713
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,140,4,True,16714.002379342368
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,140,5,True,16686.797519563355
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,141,1,True,12162.49108456885
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,141,2,True,12210.502150841312
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,141,4,True,12318.90052846276
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,141,5,True,12201.221390591962
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,144,1,True,36176.07095401592
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,144,2,True,36379.983517699715
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,144,3,True,36324.58354830378
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,144,4,True,36120.68944697512
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,144,5,True,36147.76940121006
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,145,2,True,21541.06274698643
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,145,5,True,21576.679635122997
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,15,4,True,21782.807061808606
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,15,5,True,21786.759368757852
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,18,1,True,11578.135100578615
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,18,2,True,11504.014955301116
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,18,3,True,11695.507767147872
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,18,4,True,11489.45580222401
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,18,5,True,11534.001503907397
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,19,1,True,12241.265873417504
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,19,3,True,12146.10751337102
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,19,5,True,12343.040117379605
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,2,1,True,17905.337709126998
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,2,2,True,17931.146339141185
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,2,3,True,18007.14018592876
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,2,4,True,17795.344816446697
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,2,5,True,17870.039487843875
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,20,1,True,16566.578060364234
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,20,2,True,16393.788024655874
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,20,3,True,16461.400235521876
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,20,4,True,16313.665194058174
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,20,5,True,16309.251905037643
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,23,1,True,28336.749672131977
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,23,2,True,28271.79721002906
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,23,3,True,28325.434176640825
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,23,4,True,28261.782885871606
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,23,5,True,28469.295912828366
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,3,1,True,10824.133877824252
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,3,2,True,10772.46065895849
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,3,3,True,10770.815424756982
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,3,4,True,10788.444040550758
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,3,5,True,10718.27702147903
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,30,3,True,20998.17710187067
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,33,1,True,25744.1935674727
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,33,2,True,25950.881701552047
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,33,3,True,25816.925757944882
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,33,4,True,25747.559284570852
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,33,5,True,25894.34058539101
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,34,1,True,21566.83083092988
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,34,2,True,21481.806438218096
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,34,3,True,21475.64802124769
