tariff_type,output_layout,case,ev_bypassed,ev_charge_max_kw,offset_max_hours,dwelling_id,breakdown_path,existing_completed_runs,runs_added,target_total_runs,final_total_runs,status_counts,max_monovalent_hp_capacity_kw
agile,offset_scan,boiler_only,True,0.0,2.0,0,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_0_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,1,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_1_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,2,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_2_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,3,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_3_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,4,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_4_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,5,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_5_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,6,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_6_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,7,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_7_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,8,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_8_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,9,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_9_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,10,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_10_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,11,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_11_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
