dwelling_id,max_hp_capacity_kw,n_optimal_runs,n_infeasible_runs,mc_runs
0,7.0,88,2,90
1,7.0,89,1,90
2,7.0,89,1,90
3,7.0,88,2,90
4,7.5,88,2,90
5,7.0,89,1,90
6,7.0,88,2,90
7,7.0,88,2,90
8,8.0,87,3,90
9,7.0,90,0,90
10,7.0,86,4,90
11,7.0,85,5,90
12,7.0,89,1,90
13,7.0,87,3,90
14,7.0,89,1,90
15,7.0,88,2,90
16,7.0,90,0,90
17,7.0,90,0,90
18,7.0,89,1,90
19,7.0,90,0,90
20,7.0,90,0,90
21,7.0,88,2,90
22,7.0,90,0,90
23,9.0,90,0,90
24,7.5,90,0,90
25,7.0,84,6,90
26,8.0,90,0,90
27,7.0,88,2,90
28,7.0,89,1,90
29,9.0,84,6,90
30,7.0,87,3,90
31,12.0,90,0,90
32,7.0,90,0,90
33,8.5,90,0,90
34,7.0,88,2,90
35,8.0,90,0,90
36,9.0,88,2,90
37,7.0,87,3,90
38,7.0,86,4,90
39,7.5,90,0,90
40,7.0,90,0,90
41,7.0,89,1,90
42,15.0,89,1,90
43,7.5,90,0,90
44,13.0,89,1,90
45,7.0,89,1,90
46,7.0,89,1,90
47,7.0,89,1,90
48,7.0,90,0,90
49,7.0,86,4,90
50,7.0,89,1,90
51,7.0,87,3,90
52,7.0,90,0,90
53,8.0,88,2,90
54,7.0,90,0,90
55,7.0,89,1,90
56,7.0,89,1,90
57,7.0,89,1,90
58,7.0,90,0,90
59,7.0,89,1,90
60,7.0,88,2,90
61,8.0,88,2,90
62,9.0,90,0,90
63,7.0,86,4,90
64,7.0,88,2,90
65,8.0,90,0,90
66,7.0,89,1,90
67,7.0,89,1,90
68,7.0,89,1,90
69,7.0,90,0,90
70,8.0,89,1,90
71,7.0,90,0,90
72,7.0,90,0,90
73,7.0,89,1,90
74,8.5,89,1,90
75,8.0,89,1,90
76,7.0,87,3,90
77,11.0,90,0,90
78,7.0,90,0,90
79,7.0,90,0,90
80,11.5,86,4,90
81,7.0,87,3,90
82,7.0,88,2,90
83,9.5,90,0,90
84,7.0,86,4,90
85,9.5,89,1,90
86,7.0,89,1,90
87,13.0,90,0,90
88,7.0,90,0,90
89,7.0,89,1,90
90,7.0,87,3,90
91,7.5,89,1,90
92,7.0,89,1,90
93,16.0,86,4,90
94,7.0,90,0,90
95,7.0,89,1,90
96,7.5,87,3,90
97,8.5,90,0,90
98,8.0,90,0,90
99,7.0,89,1,90
100,7.0,90,0,90
101,8.0,88,2,90
102,8.5,90,0,90
103,7.5,89,1,90
104,7.0,90,0,90
105,7.0,89,1,90
106,7.0,86,4,90
107,7.0,90,0,90
108,7.0,89,1,90
109,7.0,90,0,90
110,8.0,87,3,90
111,7.5,89,1,90
112,7.0,89,1,90
113,15.0,88,2,90
114,7.0,90,0,90
115,7.0,88,2,90
116,7.0,90,0,90
117,7.0,90,0,90
118,8.5,90,0,90
119,8.0,87,3,90
120,7.0,89,1,90
121,7.0,85,5,90
122,7.0,89,1,90
123,7.0,85,5,90
124,10.0,89,1,90
125,7.5,86,4,90
126,7.0,87,3,90
127,7.0,90,0,90
128,12.0,87,3,90
129,7.0,90,0,90
130,8.0,89,1,90
131,7.0,90,0,90
132,8.0,89,1,90
133,8.0,90,0,90
134,9.0,84,6,90
135,7.0,89,1,90
136,7.0,87,3,90
137,8.0,89,1,90
138,7.0,89,1,90
139,8.0,89,1,90
140,7.0,87,3,90
141,8.0,90,0,90
142,7.0,86,4,90
143,7.5,86,4,90
144,11.0,85,5,90
145,7.0,88,2,90
146,7.0,89,1,90
