tariff_type,output_layout,case,ev_bypassed,ev_charge_max_kw,offset_max_hours,dwelling_id,breakdown_path,existing_completed_runs,runs_added,target_total_runs,final_total_runs,status_counts,max_monovalent_hp_capacity_kw
agile,offset_scan,monovalent,False,5.0,2.0,0,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_0_runs_breakdown.csv,0,100,100,100,"{'optimal': 98, 'infeasible': 2}",7.0
agile,offset_scan,monovalent,False,5.0,2.0,1,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_1_runs_breakdown.csv,0,100,100,100,"{'optimal': 99, 'infeasible': 1}",7.0
agile,offset_scan,monovalent,False,5.0,2.0,2,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_2_runs_breakdown.csv,0,100,100,100,"{'optimal': 99, 'infeasible': 1}",7.0
agile,offset_scan,monovalent,False,5.0,2.0,3,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_3_runs_breakdown.csv,0,100,100,100,"{'optimal': 98, 'infeasible': 2}",8.0
agile,offset_scan,monovalent,False,5.0,2.0,4,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_4_runs_breakdown.csv,0,100,100,100,"{'optimal': 97, 'infeasible': 3}",7.5
agile,offset_scan,monovalent,False,5.0,2.0,5,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_5_runs_breakdown.csv,0,100,100,100,"{'optimal': 99, 'infeasible': 1}",7.0
agile,offset_scan,monovalent,False,5.0,2.0,6,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_6_runs_breakdown.csv,0,100,100,100,"{'optimal': 97, 'infeasible': 3}",7.0
agile,offset_scan,monovalent,False,5.0,2.0,7,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_7_runs_breakdown.csv,0,100,100,100,"{'optimal': 98, 'infeasible': 2}",7.0
agile,offset_scan,monovalent,False,5.0,2.0,8,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_8_runs_breakdown.csv,0,100,100,100,"{'optimal': 97, 'infeasible': 3}",8.0
agile,offset_scan,monovalent,False,5.0,2.0,9,E:\GitHubProjects\LV network\Output Data\Single Dwelling Runs\offset_2h_winter_7d_case\agile_monovalent_EV_5kW_offset2p0h\dwelling_9_runs_breakdown.csv,0,100,100,100,{'optimal': 100},7.0
