case_dir,case_type,dwelling_id,run,run_optimal,period_total_gas_kwh,period_space_gas_kwh,period_hw_gas_kwh
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,0,1,True,488.07568699520976,476.1936499581727,11.882037037037035
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,0,2,True,471.9664788334014,459.19425661117924,12.77222222222222
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,0,3,True,489.98358832198585,481.93321795161546,8.05037037037037
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,0,4,True,476.5782933870324,458.9294044981435,17.648888888888887
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,0,5,True,474.6056861541761,453.1638343023243,21.44185185185185
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,1,1,True,627.8873894920981,604.007204306913,23.880185185185184
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,1,2,True,626.8000503660174,594.3276429586101,32.4724074074074
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,1,3,True,617.3108289575121,576.942865994549,40.36796296296296
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,1,4,True,613.813351181862,571.5876104411212,42.22574074074074
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,1,5,True,636.2810368087642,605.7051108828382,30.575925925925922
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,10,1,True,410.31057555823264,375.0902051878623,35.22037037037037
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,10,2,True,385.38337350484744,336.9650401715141,48.41833333333333
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,10,3,True,399.6055054110555,359.85680170735185,39.748703703703704
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,10,4,True,413.31939654484387,354.68328543373275,58.63611111111111
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,10,5,True,416.6615869835564,375.48084624281563,41.18074074074074
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,100,1,True,463.075562783163,427.19722944982965,35.87833333333333
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,100,2,True,449.75902182400995,424.6403181203063,25.1187037037037
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,100,3,True,472.3946996642873,438.9546996642873,33.44
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,100,4,True,456.9575199605083,422.08548292347126,34.87203703703703
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,100,5,True,459.96985824481766,420.95652491148434,39.01333333333333
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,101,1,True,627.2464983692292,607.4689057766367,19.77759259259259
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,101,2,True,614.8347995645631,598.0373921571558,16.797407407407405
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,101,3,True,627.693732098598,618.559658024524,9.134074074074073
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,101,4,True,611.280044152799,594.947081189836,16.332962962962963
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,101,5,True,630.329526953489,609.1957565831186,21.133770370370367
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,102,2,True,716.5861044343968,657.1372155455078,59.44888888888889
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,102,3,True,727.3881576077954,666.9329724226102,60.45518518518519
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,102,4,True,705.8440068744786,661.6056735411453,44.23833333333333
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,102,5,True,724.4907386530415,672.43425717156,52.05648148148148
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,102,6,True,714.9237639403156,665.3830231995748,49.54074074074074
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,103,1,True,672.0054645380649,635.8562052788055,36.14925925925925
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,103,2,True,674.6321538557637,618.2408575594675,56.3912962962963
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,103,3,True,677.0381314602698,611.5127610898994,65.52537037037037
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,103,4,True,679.47677419529,637.1349223434381,42.34185185185185
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,103,5,True,683.8688977237421,625.3876014274458,58.48129629629629
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,104,1,True,513.7540722424264,481.6299981683524,32.12407407407407
agile_boiler_only_EV_5kW_offset2p0h,boiler_only,104,2,True,510.57816266031296,488.7670774751278,21.811085185185185
