dwelling_id,max_hp_capacity_kw,n_optimal_runs,n_infeasible_runs,mc_runs
0,7.0,49,1,50
1,7.0,49,1,50
2,7.0,49,1,50
3,8.0,49,1,50
4,7.5,48,2,50
5,7.0,49,1,50
6,7.0,49,1,50
7,7.0,50,0,50
8,8.0,50,0,50
9,7.0,50,0,50
10,7.0,49,1,50
11,7.0,48,2,50
12,7.0,49,1,50
13,7.0,49,1,50
14,7.0,50,0,50
15,7.0,48,2,50
16,7.0,50,0,50
17,7.0,50,0,50
18,7.0,50,0,50
19,7.0,50,0,50
20,7.0,50,0,50
21,7.0,48,2,50
22,7.0,49,1,50
23,9.0,50,0,50
24,7.0,50,0,50
25,7.0,47,3,50
26,7.0,50,0,50
27,7.0,49,1,50
28,7.0,49,1,50
29,9.0,46,4,50
30,7.0,49,1,50
31,11.5,50,0,50
32,7.0,50,0,50
33,8.5,50,0,50
34,7.0,49,1,50
35,8.0,50,0,50
36,9.0,50,0,50
37,7.0,48,2,50
38,7.0,49,1,50
39,7.5,50,0,50
40,7.0,50,0,50
41,7.0,50,0,50
42,14.5,49,1,50
43,7.5,49,1,50
44,13.0,50,0,50
45,7.0,50,0,50
46,7.0,50,0,50
47,7.0,49,1,50
48,7.0,50,0,50
49,7.0,48,2,50
50,7.0,49,1,50
51,7.0,49,1,50
52,7.0,50,0,50
53,8.0,49,1,50
54,7.0,50,0,50
55,7.0,48,2,50
56,7.0,47,3,50
57,7.0,50,0,50
58,7.0,50,0,50
59,7.0,49,1,50
60,7.0,49,1,50
61,8.0,50,0,50
62,9.0,50,0,50
63,7.0,48,2,50
64,7.0,50,0,50
65,8.0,50,0,50
66,7.0,49,1,50
67,7.0,49,1,50
68,7.0,50,0,50
69,7.0,48,2,50
70,8.0,49,1,50
71,7.0,50,0,50
72,7.0,50,0,50
73,7.0,49,1,50
74,8.5,50,0,50
75,8.0,49,1,50
76,7.0,47,3,50
77,11.0,50,0,50
78,7.0,50,0,50
79,7.0,50,0,50
80,11.0,47,3,50
81,7.0,47,3,50
82,7.0,49,1,50
83,9.0,50,0,50
84,7.0,47,3,50
85,9.5,49,1,50
86,7.0,49,1,50
87,13.0,50,0,50
88,7.0,50,0,50
89,7.0,49,1,50
90,7.0,49,1,50
91,7.5,50,0,50
92,7.0,50,0,50
93,16.0,46,4,50
94,7.0,50,0,50
95,7.0,50,0,50
96,7.5,47,3,50
97,8.5,50,0,50
98,8.0,50,0,50
99,7.0,49,1,50
100,7.0,50,0,50
101,8.0,49,1,50
102,8.0,49,1,50
103,7.5,49,1,50
104,7.0,50,0,50
105,7.0,50,0,50
106,7.0,47,3,50
107,7.0,50,0,50
108,7.0,48,2,50
109,7.0,50,0,50
110,8.0,47,3,50
111,7.5,50,0,50
112,7.0,50,0,50
113,15.0,48,2,50
114,7.0,50,0,50
115,7.0,49,1,50
116,7.0,50,0,50
117,7.0,50,0,50
118,8.5,50,0,50
119,8.0,49,1,50
120,7.0,49,1,50
121,7.0,46,4,50
122,7.0,50,0,50
123,7.0,46,4,50
124,9.5,49,1,50
125,7.5,48,2,50
126,7.0,49,1,50
127,7.0,50,0,50
128,12.0,50,0,50
129,7.0,50,0,50
130,8.0,50,0,50
131,7.0,50,0,50
132,7.0,49,1,50
133,7.5,50,0,50
134,9.0,47,3,50
135,7.0,50,0,50
136,7.0,47,3,50
137,7.5,50,0,50
138,7.0,50,0,50
139,7.0,50,0,50
140,7.0,49,1,50
141,7.0,50,0,50
142,7.0,48,2,50
143,7.5,49,1,50
144,11.0,47,3,50
145,7.0,49,1,50
146,7.0,49,1,50
