case_folder,tariff_type,case,ev_charge_max_kw,offset_max_hours,n_dwelling_files,n_runs,step_hours,n_runs_seen_raw_sum_over_dwellings,n_infeasible_runs_raw_sum_over_dwellings,n_infeasible_runs_replaced_sum_over_dwellings,n_dwellings_with_no_feasible_runs,mean_aggregated_hp_electricity_kwh,mean_aggregated_ev_electricity_kwh,mean_aggregated_baseload_electricity_kwh,mean_aggregated_electricity_kwh,mean_aggregated_gas_kwh,peak_extreme_demand_kw,peak_mean_demand_kw,peak_extreme_demand_ci95_low_kw,peak_extreme_demand_ci95_high_kw,peak_mean_demand_ci95_low_kw,peak_mean_demand_ci95_high_kw,total_hp_electricity_cost_gbp_unoffset_tariff,total_hp_electricity_cost_ci95_low_gbp,total_hp_electricity_cost_ci95_high_gbp,total_ev_electricity_cost_gbp_unoffset_tariff,total_ev_electricity_cost_ci95_low_gbp,total_ev_electricity_cost_ci95_high_gbp,total_baseload_electricity_cost_gbp_unoffset_tariff,total_baseload_electricity_cost_ci95_low_gbp,total_baseload_electricity_cost_ci95_high_gbp,total_electricity_cost_gbp_unoffset_tariff,total_gas_cost_gbp_unoffset_tariff,total_gas_cost_ci95_low_gbp,total_gas_cost_ci95_high_gbp,total_energy_cost_gbp_unoffset_tariff,total_energy_cost_ci95_low_gbp,total_energy_cost_ci95_high_gbp,ci95_bootstrap_samples
agile_hybrid_EV_5kW_offset0p0h,agile,hybrid,5.0,0.0,147,50,0.5,7350,125,125,0,14923.016876207124,7004.107609790406,9832.938745218868,31760.063231216394,17027.568290419007,927.0045964951196,913.6941653952248,927.0045964951196,927.0045964951196,902.9980628002273,923.3247313128298,1769.9492041472352,1763.5009627282786,1776.219941447708,631.9470126590631,609.0429730544222,652.4090034745576,1636.3002980299675,1589.5273831320692,1684.120407271711,4038.1965148362656,1021.6540974251405,1010.1889878593856,1033.2245921710946,5059.850612261406,5009.154837748456,5110.97614848528,500
agile_hybrid_EV_5kW_offset0p5h,agile,hybrid,5.0,0.5,147,50,0.5,7350,125,125,0,14925.270391534355,6987.864620725213,9818.101703150907,31731.23671541048,17028.845722568996,845.5451862537861,787.1818161010833,845.5451862537861,845.5451862537861,748.3574235256368,827.4845354387684,1814.2278831566766,1807.0176046956196,1821.5650744520565,663.0613685599694,640.0934116787869,684.6697312532118,1633.9353881012753,1586.484650544816,1680.1314229833547,4111.224639817921,1021.7307433541397,1010.586213782241,1033.5510756453411,5132.9553831720605,5079.150034012518,5182.877800204823,500
agile_hybrid_EV_5kW_offset1p0h,agile,hybrid,5.0,1.0,147,50,0.5,7350,125,125,0,14924.284448521832,6995.123698299531,9820.0953883016,31739.50353512296,17025.52574926554,713.0602185771543,643.9599406310775,713.0602185771543,713.0602185771543,608.6468320588415,691.0136331018588,1850.6383985244925,1841.9648586285812,1858.8834170519838,669.9879099563783,648.9800947376577,688.8792631915644,1633.7894564693809,1584.2029408977555,1689.4960499289082,4154.415764950251,1021.5315449559323,1009.4309970953241,1033.0974857293613,5175.947309906182,5121.120366459644,5231.739153339532,500
agile_hybrid_EV_5kW_offset2p0h,agile,hybrid,5.0,2.0,147,50,0.5,7350,125,125,0,14931.283803757426,7005.668622121992,9828.613748988018,31765.566174867432,16952.586549351676,527.8088007020908,482.19975545960114,527.8088007020908,527.8088007020908,455.63951727492383,514.2392037180867,1934.264520446281,1922.7228201969435,1945.1771962210955,699.0591097482161,675.1641277291828,721.347896406242,1636.02910670295,1585.2620807020944,1685.2887456426938,4269.352736897447,1017.1551929611005,1005.7224744536826,1028.706673396698,5286.507929858547,5227.629315447955,5342.437389721268,500
agile_hybrid_EV_5kW_offset3p0h,agile,hybrid,5.0,3.0,147,50,0.5,7350,125,125,0,14949.14160548673,7011.628408795346,9822.02018158194,31782.790195864014,16802.107728953524,534.2622143826995,469.79039412660075,534.2622143826995,534.2622143826995,437.2012330779213,511.8129004477454,2010.3987193299108,1997.8517469626122,2024.7367971269894,726.2480212822561,702.8698824465903,749.8122471367454,1634.6919979073389,1585.0313629751934,1682.9393343275397,4371.338738519506,1008.1264637372115,996.5533899422016,1020.5336881224703,5379.465202256717,5331.46808323739,5433.532992867922,500
agile_hybrid_EV_5kW_offset4p0h,agile,hybrid,5.0,4.0,147,50,0.5,7350,125,125,0,14957.804563200225,7003.571055716488,9832.477285898687,31793.8529048154,16682.6560834759,484.7483785953166,433.99604879381076,484.7483785953166,484.7483785953166,407.5714246655897,466.60108080387784,2053.2586601106664,2039.18299960744,2067.1812393793552,742.9278484934152,718.9931727465445,765.147181942926,1635.9711135938082,1586.3340571275191,1686.1982280573216,4432.157622197889,1000.9593650085542,988.4622899923984,1013.6394468484484,5433.116987206444,5376.198686395863,5490.027198315306,500
agile_hybrid_EV_5kW_offset5p0h,agile,hybrid,5.0,5.0,147,50,0.5,7350,125,125,0,14954.106691844136,6998.056198390003,9831.76224928608,31783.92513952022,16626.191061235597,488.30392950497446,419.0557440121213,488.30392950497446,488.30392950497446,390.4352603622635,453.27944186726484,2075.7900139068147,2062.585312472952,2089.151856852023,755.9359310520559,729.8902562189776,783.511391276737,1636.4630759018753,1586.7327617239337,1689.8438161495874,4468.189020860746,997.5714636741358,984.9616653908197,1010.4724417230066,5465.760484534882,5409.441352302644,5520.086358552942,500
agile_hybrid_EV_5kW_offset6p0h,agile,hybrid,5.0,6.0,147,50,0.5,7350,125,125,0,14906.309672528383,6997.638784685161,9817.549520936045,31721.497978149593,16758.870512060254,471.17895066280175,407.25986499003415,471.17895066280175,471.17895066280175,377.83480535399593,444.199096428511,2087.2739363266755,2073.532655606173,2100.519908874296,771.0250004200224,744.1999670426247,797.1381020953658,1633.7920337401156,1585.4288369675667,1681.9309771176781,4492.090970486814,1005.5322307236152,992.1811236902242,1019.5760631763721,5497.623201210428,5443.014889666678,5551.383208095557,500
agile_hybrid_EV_5kW_offset7p0h,agile,hybrid,5.0,7.0,147,50,0.5,7350,125,125,0,14807.76781189374,6991.731382376618,9819.406840495476,31618.906034765838,17071.20489437208,456.29570801562227,394.8605938316911,456.29570801562227,456.29570801562227,367.4316056690168,433.08463116196907,2084.8392406666594,2071.6942182129965,2097.331115997707,787.8989796954451,762.9165002806182,813.8419077180051,1634.1913517489465,1585.3565692534219,1683.2385410725653,4506.929572111051,1024.2722936623247,1010.4482249649909,1038.3935521105118,5531.201865773376,5482.841919476754,5586.267078344984,500
agile_hybrid_EV_5kW_offset8p0h,agile,hybrid,5.0,8.0,147,50,0.5,7350,125,125,0,14664.848236903355,6983.436551971824,9817.856318688206,31466.141107563384,17568.680370656577,474.74517568568365,403.55689911333786,474.74517568568365,474.74517568568365,374.7649951858926,436.03652135064385,2068.3984462249286,2052.547441343914,2082.6055896009016,802.0210584972308,773.0546944541779,831.4669473234288,1633.686248165487,1583.368373842201,1683.9262852706797,4504.105752887646,1054.1208222393948,1037.7693139026806,1068.3481463932499,5558.226575127041,5504.254090591268,5620.856319182982,500
