case_folder,tariff_type,case,ev_charge_max_kw,offset_max_hours,n_dwelling_files,n_runs,step_hours,n_runs_seen_raw_sum_over_dwellings,n_infeasible_runs_raw_sum_over_dwellings,n_infeasible_runs_replaced_sum_over_dwellings,n_dwellings_with_no_feasible_runs,mean_aggregated_hp_electricity_kwh,mean_aggregated_ev_electricity_kwh,mean_aggregated_baseload_electricity_kwh,mean_aggregated_electricity_kwh,mean_aggregated_gas_kwh,peak_extreme_demand_kw,peak_mean_demand_kw,peak_extreme_demand_ci95_low_kw,peak_extreme_demand_ci95_high_kw,peak_mean_demand_ci95_low_kw,peak_mean_demand_ci95_high_kw,total_hp_electricity_cost_gbp_unoffset_tariff,total_hp_electricity_cost_ci95_low_gbp,total_hp_electricity_cost_ci95_high_gbp,total_ev_electricity_cost_gbp_unoffset_tariff,total_ev_electricity_cost_ci95_low_gbp,total_ev_electricity_cost_ci95_high_gbp,total_baseload_electricity_cost_gbp_unoffset_tariff,total_baseload_electricity_cost_ci95_low_gbp,total_baseload_electricity_cost_ci95_high_gbp,total_electricity_cost_gbp_unoffset_tariff,total_gas_cost_gbp_unoffset_tariff,total_gas_cost_ci95_low_gbp,total_gas_cost_ci95_high_gbp,total_energy_cost_gbp_unoffset_tariff,total_energy_cost_ci95_low_gbp,total_energy_cost_ci95_high_gbp,ci95_bootstrap_samples
agile_hybrid_EV_5kW_offset0p5h,agile,hybrid,5.0,0.5,147,10,0.5,1470,22,22,0,17172.440911035035,7046.128470504895,9766.80286501389,33985.372246553816,17760.556451432858,858.505766281245,817.2489730495639,858.505766281245,858.505766281245,777.0266260232083,853.7029642205624,2066.1089928589827,2059.546002619439,2072.7213491335647,670.2040029744877,648.7287694234153,693.2293678112404,1626.3623657183923,1582.9987940062185,1671.8099468692121,4362.675361551863,1065.6333870859717,1056.470824721525,1075.6499221139727,5428.3087486378345,5377.92477929683,5480.287637244856,100
agile_hybrid_EV_5kW_offset1p0h,agile,hybrid,5.0,1.0,147,10,0.5,1470,22,22,0,17169.60235077796,7036.813707040881,9740.515422199074,33946.93148001791,17769.526324025916,712.0143041459072,678.7459353640124,712.0143041459072,712.0143041459072,649.7154409820962,706.7736486106397,2109.306431475049,2101.0564541963386,2117.6670056709286,675.7102558792344,650.3077018647683,696.6844168455194,1622.4663765368832,1582.74058032527,1668.8592504094631,4407.483063891167,1066.171579441555,1054.737355185726,1076.001522922793,5473.65464333272,5426.963102816749,5520.716296886152,100
agile_hybrid_EV_5kW_offset2p0h,agile,hybrid,5.0,2.0,147,10,0.5,1470,22,22,0,17202.474986580764,7021.4355130708245,9752.028394064813,33975.938893716404,17642.550231544672,567.5561488687077,509.2280157363457,567.5561488687077,567.5561488687077,480.400720648923,553.1501785900017,2212.57718821858,2199.9354333332526,2223.3474336910945,702.1433941960904,682.1691894683898,721.2572948451409,1623.6048664699763,1569.4824034266162,1669.5173973404408,4538.325448884647,1058.5530138926804,1047.6208083436638,1069.3703504531356,5596.878462777327,5553.786674999247,5652.310790781656,100
agile_hybrid_EV_5kW_offset3p0h,agile,hybrid,5.0,3.0,147,10,0.5,1470,22,22,0,17228.356006136113,7037.284628936313,9747.627869217591,34013.26850429001,17471.44784938631,545.0295731413948,500.27450384101945,545.0295731413948,545.0295731413948,463.8988798161273,532.6171380594827,2304.638784122314,2289.2188913004697,2318.529900377836,730.0908173345312,709.2209644285207,752.3711096646493,1623.4032414306891,1578.4593567092977,1672.8836064739708,4658.132842887535,1048.2868709631784,1035.9998087989861,1058.0157293656616,5706.4197138507125,5661.360333413787,5757.916381363573,100
agile_hybrid_EV_5kW_offset4p0h,agile,hybrid,5.0,4.0,147,10,0.5,1470,22,22,0,17242.284839891523,7034.687330312801,9742.534124962962,34019.50629516729,17340.992898208686,524.3773723384302,463.94188377830653,524.3773723384302,524.3773723384302,438.71864147405915,490.5251478677028,2357.4036283798346,2339.344542747288,2374.616635522545,747.301739464716,725.6473182924373,771.5021727947617,1622.9498668459478,1574.857475556726,1689.1515651610778,4727.655234690498,1040.4595738925213,1028.5439205274038,1053.3107787614092,5768.11480858302,5723.036204275714,5827.936707847747,100
agile_hybrid_EV_5kW_offset5p0h,agile,hybrid,5.0,5.0,147,10,0.5,1470,22,22,0,17222.06583199403,7056.515191335353,9749.65959753472,34028.24062086411,17317.81826538145,496.0353041547922,451.22628487988237,496.0353041547922,496.0353041547922,422.76621935070904,483.3110249907901,2385.0801867924765,2369.8728586283114,2399.0812497702814,763.7541819216849,735.6644078071106,784.0125176076453,1623.7836346654822,1576.4356456585617,1675.417405638847,4772.618003379644,1039.0690959228868,1024.6194367003484,1055.6726505668794,5811.6870993025295,5763.277756083378,5862.4888472356615,100
agile_hybrid_EV_5kW_offset6p0h,agile,hybrid,5.0,6.0,147,10,0.5,1470,22,22,0,17135.505176406085,7063.673274516847,9766.71099374074,33965.88944466367,17530.668905762886,481.36381815181545,436.81812847986987,481.36381815181545,481.36381815181545,407.5094818966771,479.5653382208838,2395.6780777231775,2378.231497310911,2410.5494812649763,779.7464181835373,754.7946368706796,804.7464078367161,1627.1859756885167,1580.0412437188756,1666.903915444542,4802.6104715952315,1051.8401343457733,1037.7430801380538,1070.314145824461,5854.450605941004,5802.776843399896,5896.105242698937,100
agile_hybrid_EV_5kW_offset7p0h,agile,hybrid,5.0,7.0,147,10,0.5,1470,22,22,0,16994.282527825715,7045.155702270969,9749.876800909722,33789.31503100641,17932.543282178012,478.78926251969654,421.0112623361494,478.78926251969654,478.78926251969654,394.3415067750542,461.24415210418925,2389.203803021394,2370.935699202753,2407.3903199238284,793.5567689932956,769.1467934687178,818.3696061261513,1623.3608931367448,1573.0198981822987,1666.7086810330247,4806.121465151435,1075.9525969306808,1062.9971981228532,1090.043239333131,5882.074062082115,5824.337269607081,5926.599506946649,100
agile_hybrid_EV_5kW_offset8p0h,agile,hybrid,5.0,8.0,147,10,0.5,1470,22,22,0,16806.399849507397,7028.119844497844,9783.022622863424,33617.54231686867,18484.373411208202,486.24707959467935,430.26829729844167,486.24707959467935,486.24707959467935,398.99400923570425,464.88000192504353,2368.919245504248,2350.300587535272,2385.647399774687,808.3078348566719,783.4520372335932,837.4021438551082,1628.656421568182,1587.7851146284652,1690.5705248141699,4805.883501929102,1109.0624046724922,1095.4321783405185,1125.5942468088763,5914.945906601593,5871.327853390981,5974.640217667979,100
agile_hybrid_EV_5kW_offset9p0h,agile,hybrid,5.0,9.0,147,10,0.5,1470,22,22,0,16633.607909819533,7043.276909550454,9752.034025974535,33428.91884534452,19004.477157578174,501.15783701086565,441.947598196193,501.15783701086565,501.15783701086565,413.20609293968766,480.7322759046913,2347.764729117466,2327.2793913347064,2364.9519247576472,818.512413291636,791.747728680774,842.8690279373981,1624.8421939529364,1581.6318251963098,1663.7163317815546,4791.119336362038,1140.2686294546904,1121.8289350486104,1157.4301313114627,5931.387965816727,5885.588385307226,5990.370898457204,100
