dwelling_id,max_hp_capacity_kw,n_optimal_runs,n_infeasible_runs,mc_runs
0,7.0,10,0,10
1,7.0,10,0,10
2,7.0,10,0,10
3,8.0,10,0,10
4,7.0,9,1,10
5,7.0,10,0,10
6,7.0,9,1,10
7,7.0,10,0,10
8,7.0,10,0,10
9,7.0,10,0,10
10,7.0,10,0,10
11,7.0,10,0,10
12,7.0,9,1,10
13,7.0,10,0,10
14,7.0,10,0,10
15,7.0,10,0,10
16,7.0,10,0,10
17,7.0,10,0,10
18,7.0,10,0,10
19,7.0,10,0,10
20,7.0,10,0,10
21,7.0,10,0,10
22,7.0,9,1,10
23,8.5,10,0,10
24,7.0,10,0,10
25,7.0,10,0,10
26,7.0,10,0,10
27,7.0,10,0,10
28,7.0,10,0,10
29,8.5,9,1,10
30,7.0,10,0,10
31,11.5,10,0,10
32,7.0,10,0,10
33,8.0,10,0,10
34,7.0,10,0,10
35,7.0,10,0,10
36,8.5,10,0,10
37,7.0,10,0,10
38,7.0,10,0,10
39,7.0,10,0,10
40,7.0,10,0,10
41,7.0,10,0,10
42,14.0,10,0,10
43,7.5,9,1,10
44,12.5,10,0,10
45,7.0,10,0,10
46,7.0,10,0,10
47,7.0,10,0,10
48,7.0,10,0,10
49,7.0,10,0,10
50,7.0,10,0,10
51,7.0,10,0,10
52,7.0,10,0,10
53,8.0,10,0,10
54,7.0,10,0,10
55,7.0,9,1,10
56,7.0,8,2,10
57,7.0,10,0,10
58,7.0,10,0,10
59,7.0,10,0,10
60,7.0,10,0,10
61,7.0,10,0,10
62,9.0,10,0,10
63,7.0,10,0,10
64,7.0,10,0,10
65,7.0,10,0,10
66,7.0,9,1,10
67,7.0,10,0,10
68,7.0,10,0,10
69,7.0,8,2,10
70,8.0,10,0,10
71,7.0,10,0,10
72,7.0,10,0,10
73,7.0,10,0,10
74,8.5,10,0,10
75,7.5,10,0,10
76,7.0,8,2,10
77,10.5,10,0,10
78,7.0,10,0,10
79,7.0,10,0,10
80,11.0,10,0,10
81,7.0,10,0,10
82,7.0,10,0,10
83,9.0,10,0,10
84,7.0,10,0,10
85,9.0,10,0,10
86,7.0,10,0,10
87,13.0,10,0,10
88,7.0,10,0,10
89,7.0,9,1,10
90,7.0,10,0,10
91,7.0,10,0,10
92,7.0,10,0,10
93,15.5,9,1,10
94,7.0,10,0,10
95,7.0,10,0,10
96,7.0,9,1,10
97,8.0,10,0,10
98,7.0,10,0,10
99,7.0,10,0,10
100,7.0,10,0,10
101,8.0,10,0,10
102,8.0,9,1,10
103,7.5,10,0,10
104,7.0,10,0,10
105,7.0,10,0,10
106,7.0,10,0,10
107,7.0,10,0,10
108,7.0,9,1,10
109,7.0,10,0,10
110,8.0,10,0,10
111,7.0,10,0,10
112,7.0,10,0,10
113,14.5,10,0,10
114,7.0,10,0,10
115,7.0,10,0,10
116,7.0,10,0,10
117,7.0,10,0,10
118,8.0,10,0,10
119,7.0,10,0,10
120,7.0,10,0,10
121,7.0,9,1,10
122,7.0,10,0,10
123,7.0,10,0,10
124,9.5,10,0,10
125,7.0,9,1,10
126,7.0,10,0,10
127,7.0,10,0,10
128,12.0,10,0,10
129,7.0,10,0,10
130,7.0,10,0,10
131,7.0,10,0,10
132,7.0,10,0,10
133,7.0,10,0,10
134,8.5,9,1,10
135,7.0,10,0,10
136,7.0,10,0,10
137,7.5,10,0,10
138,7.0,10,0,10
139,7.0,10,0,10
140,7.0,10,0,10
141,7.0,10,0,10
142,7.0,10,0,10
143,7.0,10,0,10
144,10.5,10,0,10
145,7.0,10,0,10
146,7.0,10,0,10
