tariff_type,offset_hours,ev_charge_kw,ev_penetration,hhp_percentage,mhp_percentage,random_seed,hybrid_cache_dir,monovalent_cache_dir,figure,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,mc_runs,peak_mean_kw,peak_p97_5_kw,peak_max_kw
agile,0.0,3.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,660.1478675399967,684.0098053571428,694.5275218304977
agile,0.0,5.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,971.934666172865,990.2214775,998.5358
agile,0.0,7.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,1256.370278698846,1277.3222997756318,1286.840934652167
agile,0.0,9.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,1518.5060106024132,1544.680837330958,1553.274259240652
agile,0.0,11.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,1751.3474871883034,1785.245598097905,1802.4776820060315
agile,2.0,3.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,488.25184687270917,515.5276481983287,527.6698768869566
agile,2.0,5.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,541.9054339068925,575.7508508575492,598.5076915335148
agile,2.0,7.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,564.5949508490429,606.2719330974539,640.4349007808271
agile,2.0,9.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,586.8672658367399,638.0155062222261,687.0900861458344
agile,2.0,11.0,1.0,0.5,0.5,42,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-monovalent_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\plots\exp4_ev_capacity_sweep_peak_p97p5_tariff-agile_evkw3-11_ev100_hhp50_mhp50_offsets0p0h_2p0h.png,147,147,74,73,500,607.4866167284849,674.556097376189,720.2198408465041
